,Squad,Comp,# Pl,90s,Total - Cmp,Total - Att,Total - Cmp%,Total - TotDist,Total - PrgDist,Short - Cmp,Short - Att,Short - Cmp%,Medium - Cmp,Medium - Att,Medium - Cmp%,Long - Cmp,Long - Att,Long - Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,Prog
10,Bayern Munich,Bundesliga,29.0,34.0,20586.0,24272.0,84.8,362038.0,120129.0,9118.0,10102.0,90.3,8654.0,9667.0,89.5,2153.0,3150.0,68.3,75.0,73.1,80.1,1.9,481.0,1717.0,498.0,120.0,1602.0
11,Betis,La Liga,27.0,38.0,16182.0,19823.0,81.6,284815.0,94498.0,7354.0,8220.0,89.5,6504.0,7416.0,87.7,1774.0,2986.0,59.4,35.0,36.9,33.8,-1.9,360.0,1015.0,322.0,84.0,972.0
12,Bologna,Serie A,31.0,38.0,14608.0,18465.0,79.1,251346.0,95764.0,6955.0,7885.0,88.2,5859.0,6960.0,84.2,1377.0,2513.0,54.8,31.0,41.3,30.8,-10.3,418.0,1201.0,293.0,67.0,1228.0
13,Bordeaux,Ligue 1,26.0,28.0,12252.0,15092.0,81.2,216236.0,76123.0,5301.0,5940.0,89.2,5471.0,6290.0,87.0,1140.0,2058.0,55.4,29.0,21.2,18.0,7.8,217.0,723.0,112.0,31.0,735.0
14,Bournemouth,Premier League,27.0,38.0,12042.0,16387.0,73.5,208868.0,82504.0,5798.0,6832.0,84.9,4689.0,5821.0,80.6,1231.0,2655.0,46.4,24.0,30.6,25.7,-6.6,280.0,921.0,227.0,49.0,896.0
15,Brescia,Serie A,32.0,38.0,10833.0,14648.0,74.0,195788.0,80645.0,4731.0,5583.0,84.7,4291.0,5316.0,80.7,1347.0,2595.0,51.9,22.0,28.8,26.9,-6.8,288.0,830.0,253.0,78.0,947.0
16,Brest,Ligue 1,24.0,28.0,11054.0,14206.0,77.8,208602.0,76091.0,4569.0,5299.0,86.2,4931.0,5835.0,84.5,1383.0,2456.0,56.3,27.0,22.1,21.4,4.9,250.0,786.0,211.0,70.0,803.0
17,Brighton,Premier League,25.0,38.0,15881.0,20056.0,79.2,290666.0,102496.0,6755.0,7803.0,86.6,7139.0,8265.0,86.4,1701.0,3003.0,56.6,24.0,31.6,27.3,-7.6,343.0,1124.0,294.0,62.0,1227.0
18,Burnley,Premier League,22.0,38.0,10049.0,14694.0,68.4,181797.0,76084.0,4700.0,5595.0,84.0,3686.0,4854.0,75.9,1295.0,3221.0,40.2,30.0,32.4,28.5,-2.4,280.0,787.0,217.0,99.0,702.0
19,Cagliari,Serie A,33.0,38.0,13131.0,16868.0,77.8,245290.0,89738.0,5524.0,6270.0,88.1,5722.0,6816.0,83.9,1629.0,2972.0,54.8,34.0,32.0,26.6,2.0,344.0,984.0,246.0,87.0,947.0
20,Celta Vigo,La Liga,30.0,38.0,14552.0,18557.0,78.4,249112.0,90319.0,6742.0,7687.0,87.7,5746.0,6750.0,85.1,1422.0,2704.0,52.6,26.0,26.2,26.2,-0.2,279.0,970.0,253.0,60.0,958.0
21,Chelsea,Premier League,27.0,38.0,20958.0,25213.0,83.1,352091.0,108973.0,9753.0,10903.0,89.5,8527.0,9698.0,87.9,1843.0,2989.0,61.7,46.0,46.7,42.3,-0.7,459.0,1463.0,411.0,108.0,1300.0
22,Crystal Palace,Premier League,25.0,38.0,12274.0,16395.0,74.9,212859.0,86925.0,5857.0,6822.0,85.9,4679.0,5712.0,81.9,1307.0,2747.0,47.6,20.0,26.0,24.4,-6.0,265.0,910.0,243.0,47.0,919.0
23,Dijon,Ligue 1,28.0,28.0,10073.0,13029.0,77.3,191350.0,76241.0,4221.0,4899.0,86.2,4300.0,5125.0,83.9,1352.0,2415.0,56.0,17.0,22.9,18.7,-5.9,243.0,705.0,175.0,52.0,692.0
