,Squad,Comp,# Pl,Age,Playing Time - MP,Playing Time - Min,Playing Time - Mn/MP,Playing Time - Min%,Playing Time - 90s,Starts - Starts,Starts - Mn/Start,Starts - Compl,Subs - Subs,Subs - Mn/Sub,Subs - unSub,Team Success - PPM,Team Success - onG,Team Success - onGA,Team Success - +/-,Team Success - +/-90
35,Hamburger SV,Bundesliga,29.0,25.8,34.0,3060.0,90.0,100.0,34.0,374.0,,,97.0,0.0,142.0,1.12,33.0,61.0,-28.0,-0.82
36,Hertha BSC,Bundesliga,26.0,27.1,34.0,3060.0,90.0,100.0,34.0,374.0,,,98.0,0.0,140.0,1.44,43.0,47.0,-4.0,-0.12
37,Hoffenheim,Bundesliga,23.0,25.0,34.0,3060.0,90.0,100.0,34.0,374.0,,,100.0,0.0,138.0,1.82,64.0,37.0,27.0,0.79
38,Hull City,Premier League,28.0,27.4,38.0,3420.0,90.0,100.0,38.0,418.0,,,101.0,0.0,165.0,0.89,37.0,80.0,-43.0,-1.13
39,Ingolstadt 04,Bundesliga,22.0,26.9,34.0,3060.0,90.0,100.0,34.0,374.0,,,98.0,0.0,140.0,0.94,36.0,57.0,-21.0,-0.62
40,Inter,Serie A,29.0,27.5,38.0,3420.0,90.0,100.0,38.0,418.0,,,108.0,0.0,328.0,1.63,72.0,49.0,23.0,0.61
41,Juventus,Serie A,27.0,29.1,38.0,3420.0,90.0,100.0,38.0,418.0,,,113.0,0.0,288.0,2.39,77.0,27.0,50.0,1.32
42,Köln,Bundesliga,26.0,26.2,34.0,3060.0,90.0,100.0,34.0,374.0,,,88.0,0.0,149.0,1.44,51.0,42.0,9.0,0.26
43,La Coruña,La Liga,28.0,27.7,38.0,3420.0,90.0,100.0,38.0,418.0,84.0,307.0,107.0,21.0,159.0,0.95,43.0,61.0,-18.0,-0.47
44,Las Palmas,La Liga,29.0,27.3,38.0,3420.0,90.0,100.0,38.0,418.0,84.0,301.0,112.0,20.0,153.0,1.03,53.0,74.0,-21.0,-0.55
45,Lazio,Serie A,30.0,26.0,38.0,3420.0,90.0,100.0,38.0,418.0,,,114.0,0.0,316.0,1.84,74.0,51.0,23.0,0.61
46,Leganés,La Liga,31.0,26.3,38.0,3420.0,90.0,100.0,38.0,418.0,84.0,303.0,112.0,23.0,154.0,0.92,36.0,55.0,-19.0,-0.5
47,Leicester City,Premier League,25.0,27.8,38.0,3420.0,90.0,100.0,38.0,418.0,,,106.0,0.0,160.0,1.16,48.0,63.0,-15.0,-0.39
48,Leverkusen,Bundesliga,24.0,24.2,34.0,3060.0,90.0,100.0,34.0,374.0,,,99.0,0.0,138.0,1.21,53.0,55.0,-2.0,-0.06
49,Lille,Ligue 1,31.0,26.9,38.0,3420.0,90.0,100.0,38.0,418.0,,,108.0,0.0,158.0,1.21,40.0,47.0,-7.0,-0.18
50,Liverpool,Premier League,23.0,26.1,38.0,3420.0,90.0,100.0,38.0,418.0,,,100.0,0.0,166.0,2.0,78.0,42.0,36.0,0.95
51,Lorient,Ligue 1,30.0,26.8,38.0,3420.0,90.0,100.0,38.0,418.0,,,110.0,0.0,157.0,0.95,44.0,70.0,-26.0,-0.68
52,Lyon,Ligue 1,27.0,25.0,38.0,3420.0,90.0,100.0,38.0,418.0,,,104.0,0.0,161.0,1.76,77.0,48.0,29.0,0.76
53,M'Gladbach,Bundesliga,24.0,25.3,34.0,3060.0,90.0,100.0,34.0,374.0,,,99.0,0.0,138.0,1.32,45.0,49.0,-4.0,-0.12
54,Mainz 05,Bundesliga,28.0,25.1,34.0,3060.0,90.0,100.0,34.0,374.0,,,101.0,0.0,137.0,1.09,44.0,55.0,-11.0,-0.32
55,Málaga,La Liga,29.0,26.0,38.0,3420.0,90.0,100.0,38.0,418.0,83.0,300.0,112.0,25.0,153.0,1.21,49.0,55.0,-6.0,-0.16
56,Manchester City,Premier League,25.0,28.5,38.0,3420.0,90.0,100.0,38.0,418.0,,,106.0,0.0,159.0,2.05,80.0,39.0,41.0,1.08
57,Manchester Utd,Premier League,31.0,26.7,38.0,3420.0,90.0,100.0,38.0,418.0,,,110.0,0.0,156.0,1.82,54.0,29.0,25.0,0.66
58,Marseille,Ligue 1,27.0,27.4,38.0,3420.0,90.0,100.0,38.0,418.0,,,112.0,0.0,154.0,1.63,57.0,41.0,16.0,0.42
59,Metz,Ligue 1,31.0,26.5,38.0,3420.0,90.0,100.0,38.0,418.0,,,105.0,0.0,161.0,1.13,39.0,72.0,-33.0,-0.87
60,Middlesbrough,Premier League,27.0,27.3,38.0,3420.0,90.0,100.0,38.0,418.0,,,94.0,0.0,172.0,0.74,27.0,53.0,-26.0,-0.68
61,Milan,Serie A,28.0,25.0,38.0,3420.0,90.0,100.0,38.0,418.0,,,114.0,0.0,327.0,1.66,57.0,45.0,12.0,0.32
62,Monaco,Ligue 1,29.0,25.0,38.0,3420.0,90.0,100.0,38.0,418.0,,,112.0,0.0,154.0,2.5,107.0,31.0,76.0,2.0
63,Montpellier,Ligue 1,32.0,26.8,38.0,3420.0,90.0,100.0,38.0,418.0,,,101.0,0.0,150.0,1.03,48.0,66.0,-18.0,-0.47
64,Nancy,Ligue 1,27.0,27.2,38.0,3420.0,90.0,100.0,38.0,418.0,,,109.0,0.0,158.0,0.92,29.0,52.0,-23.0,-0.61
65,Nantes,Ligue 1,27.0,24.8,38.0,3420.0,90.0,100.0,38.0,418.0,,,113.0,0.0,153.0,1.34,40.0,54.0,-14.0,-0.37
66,Napoli,Serie A,26.0,26.9,38.0,3420.0,90.0,100.0,38.0,418.0,,,112.0,0.0,337.0,2.26,94.0,39.0,55.0,1.45
67,Nice,Ligue 1,27.0,24.3,38.0,3420.0,90.0,100.0,38.0,418.0,,,85.0,0.0,179.0,2.05,63.0,36.0,27.0,0.71
68,Osasuna,La Liga,35.0,26.3,38.0,3420.0,90.0,100.0,38.0,418.0,83.0,305.0,112.0,26.0,154.0,0.58,40.0,94.0,-54.0,-1.42
69,Palermo,Serie A,30.0,26.1,38.0,3420.0,90.0,100.0,38.0,418.0,,,112.0,0.0,330.0,0.68,33.0,77.0,-44.0,-1.16
70,Paris S-G,Ligue 1,28.0,26.4,38.0,3420.0,90.0,100.0,38.0,418.0,,,111.0,0.0,155.0,2.29,83.0,27.0,56.0,1.47
71,Pescara,Serie A,34.0,26.6,38.0,3420.0,90.0,100.0,38.0,418.0,,,113.0,0.0,282.0,0.47,37.0,81.0,-44.0,-1.16
72,RB Leipzig,Bundesliga,23.0,24.0,34.0,3060.0,90.0,100.0,34.0,374.0,,,97.0,0.0,141.0,1.97,66.0,39.0,27.0,0.79
73,Real Madrid,La Liga,24.0,27.0,38.0,3420.0,90.0,100.0,38.0,419.0,84.0,306.0,111.0,21.0,155.0,2.45,106.0,41.0,65.0,1.71
74,Real Sociedad,La Liga,27.0,26.0,38.0,3420.0,90.0,100.0,38.0,418.0,84.0,302.0,109.0,21.0,156.0,1.68,59.0,53.0,6.0,0.16
75,Rennes,Ligue 1,31.0,26.3,38.0,3420.0,90.0,100.0,38.0,418.0,,,110.0,0.0,156.0,1.32,36.0,42.0,-6.0,-0.16
76,Roma,Serie A,22.0,26.7,38.0,3420.0,90.0,100.0,38.0,418.0,,,107.0,0.0,276.0,2.29,90.0,38.0,52.0,1.37
77,Saint-Étienne,Ligue 1,34.0,26.1,38.0,3420.0,90.0,100.0,38.0,418.0,,,111.0,0.0,153.0,1.32,41.0,42.0,-1.0,-0.03
78,Sampdoria,Serie A,24.0,26.6,38.0,3420.0,90.0,100.0,38.0,418.0,,,113.0,0.0,333.0,1.26,49.0,55.0,-6.0,-0.16
79,Sassuolo,Serie A,28.0,26.7,38.0,3420.0,90.0,100.0,38.0,418.0,,,113.0,0.0,312.0,1.21,58.0,63.0,-5.0,-0.13
80,Schalke 04,Bundesliga,29.0,25.3,34.0,3060.0,90.0,100.0,34.0,374.0,,,101.0,0.0,137.0,1.26,45.0,40.0,5.0,0.15
81,Sevilla,La Liga,28.0,26.8,38.0,3420.0,90.0,100.0,38.0,418.0,83.0,303.0,111.0,23.0,154.0,1.89,69.0,49.0,20.0,0.53
82,Southampton,Premier League,26.0,26.0,38.0,3420.0,90.0,100.0,38.0,418.0,,,109.0,0.0,157.0,1.21,41.0,48.0,-7.0,-0.18
83,Sporting Gijón,La Liga,29.0,26.4,38.0,3420.0,90.0,100.0,38.0,418.0,84.0,303.0,113.0,22.0,150.0,0.82,42.0,72.0,-30.0,-0.79
84,Stoke City,Premier League,26.0,28.7,38.0,3420.0,90.0,100.0,38.0,418.0,,,93.0,0.0,173.0,1.16,41.0,56.0,-15.0,-0.39
85,Sunderland,Premier League,31.0,26.8,38.0,3420.0,90.0,100.0,38.0,418.0,,,94.0,0.0,172.0,0.63,29.0,69.0,-40.0,-1.05
86,Swansea City,Premier League,27.0,27.4,38.0,3420.0,90.0,100.0,38.0,418.0,,,105.0,0.0,161.0,1.08,45.0,70.0,-25.0,-0.66
87,Torino,Serie A,29.0,26.4,38.0,3420.0,90.0,100.0,38.0,418.0,,,113.0,0.0,326.0,1.39,71.0,66.0,5.0,0.13
88,Tottenham,Premier League,24.0,25.3,38.0,3420.0,90.0,100.0,38.0,418.0,,,111.0,0.0,155.0,2.26,86.0,26.0,60.0,1.58
89,Toulouse,Ligue 1,30.0,23.3,38.0,3420.0,90.0,100.0,38.0,418.0,,,112.0,0.0,153.0,1.16,37.0,41.0,-4.0,-0.11
90,Udinese,Serie A,29.0,26.7,38.0,3420.0,90.0,100.0,38.0,418.0,,,112.0,0.0,312.0,1.18,47.0,56.0,-9.0,-0.24
91,Valencia,La Liga,31.0,25.9,38.0,3420.0,90.0,100.0,38.0,418.0,84.0,306.0,106.0,21.0,160.0,1.21,56.0,65.0,-9.0,-0.24
92,Villarreal,La Liga,27.0,26.7,38.0,3420.0,90.0,100.0,38.0,418.0,85.0,303.0,111.0,18.0,152.0,1.76,56.0,33.0,23.0,0.61
93,Watford,Premier League,33.0,29.0,38.0,3420.0,90.0,100.0,38.0,418.0,,,108.0,0.0,158.0,1.05,40.0,68.0,-28.0,-0.74
94,Werder Bremen,Bundesliga,31.0,27.0,34.0,3060.0,90.0,100.0,34.0,374.0,,,100.0,0.0,138.0,1.32,61.0,64.0,-3.0,-0.09
95,West Brom,Premier League,23.0,29.4,38.0,3420.0,90.0,100.0,38.0,418.0,,,109.0,0.0,158.0,1.18,43.0,51.0,-8.0,-0.21
96,West Ham,Premier League,29.0,27.1,38.0,3420.0,90.0,100.0,38.0,418.0,,,109.0,0.0,156.0,1.18,47.0,64.0,-17.0,-0.45
97,Wolfsburg,Bundesliga,31.0,25.7,34.0,3060.0,90.0,100.0,34.0,374.0,,,96.0,0.0,142.0,1.09,34.0,52.0,-18.0,-0.53
