,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches - Touches,Touches - Def Pen,Touches - Def 3rd,Touches - Mid 3rd,Touches - Att 3rd,Touches - Att Pen,Touches - Live,Take-Ons - Att,Take-Ons - Succ,Take-Ons - Succ%,Take-Ons - Tkld,Take-Ons - Tkld%,Carries - Carries,Carries - TotDist,Carries - PrgDist,Carries - PrgC,Carries - 1/3,Carries - CPA,Carries - Mis,Carries - Dis,Receiving - Rec,Receiving - PrgR
2329,Marco Reus,de GER,"MF,FW",Dortmund,Bundesliga,32.0,1989.0,27.8,1579.0,52.0,195.0,750.0,641.0,114.0,1579.0,66.0,28.0,42.4,38.0,57.6,954.0,4878.0,2065.0,57.0,51.0,13.0,62.0,33.0,1171.0,172.0
2330,Elvis Rexhbeçaj,de GER,MF,Bochum,Bundesliga,23.0,1997.0,28.2,1087.0,36.0,217.0,590.0,293.0,26.0,1087.0,36.0,17.0,47.2,19.0,52.8,541.0,2465.0,1108.0,21.0,22.0,3.0,61.0,31.0,585.0,54.0
2331,Gio Reyna,us USA,MF,Dortmund,Bundesliga,18.0,2002.0,4.9,309.0,4.0,45.0,130.0,140.0,20.0,309.0,13.0,6.0,46.2,7.0,53.8,186.0,1034.0,390.0,13.0,10.0,6.0,12.0,13.0,225.0,32.0
2332,Bryan Reynolds,us USA,DF,Roma,Serie A,20.0,2001.0,0.0,4.0,0.0,2.0,1.0,1.0,0.0,4.0,0.0,0.0,,0.0,,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
2333,Nico Ribaudo,es ESP,"MF,FW",Espanyol,La Liga,20.0,2001.0,12.4,570.0,7.0,83.0,281.0,211.0,30.0,570.0,39.0,23.0,59.0,16.0,41.0,389.0,2630.0,1347.0,40.0,25.0,9.0,31.0,18.0,438.0,74.0
2334,Tiago Ribeiro,pt POR,FW,Monaco,Ligue 1,19.0,2002.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,,0.0,,2.0,21.0,17.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0
2335,Franck Ribéry,fr FRA,"MF,FW",Salernitana,Serie A,38.0,1983.0,15.8,865.0,3.0,80.0,407.0,386.0,59.0,865.0,63.0,28.0,44.4,35.0,55.6,569.0,3842.0,1864.0,65.0,48.0,30.0,70.0,52.0,621.0,95.0
2336,Samuele Ricci,it ITA,MF,Torino,Serie A,19.0,2001.0,8.0,467.0,27.0,92.0,310.0,71.0,5.0,467.0,7.0,4.0,57.1,3.0,42.9,291.0,1462.0,625.0,5.0,13.0,0.0,6.0,3.0,339.0,8.0
2337,Samuele Ricci,it ITA,MF,Empoli,Serie A,19.0,2001.0,17.0,1078.0,53.0,291.0,673.0,125.0,2.0,1078.0,11.0,9.0,81.8,2.0,18.2,668.0,3799.0,1909.0,24.0,15.0,1.0,10.0,12.0,746.0,13.0
2338,Declan Rice,eng ENG,MF,West Ham,Premier League,22.0,1999.0,35.3,2548.0,127.0,638.0,1548.0,400.0,51.0,2548.0,72.0,50.0,69.4,22.0,30.6,1640.0,11377.0,5857.0,104.0,99.0,16.0,26.0,20.0,1777.0,44.0
2340,Chris Richards,us USA,DF,Hoffenheim,Bundesliga,21.0,2000.0,14.5,1147.0,110.0,541.0,562.0,46.0,17.0,1147.0,4.0,4.0,100.0,0.0,0.0,689.0,3406.0,1503.0,12.0,11.0,0.0,8.0,2.0,759.0,7.0
2341,Chris Richards,us USA,DF,Bayern Munich,Bundesliga,21.0,2000.0,0.0,4.0,0.0,3.0,1.0,0.0,0.0,4.0,0.0,0.0,,0.0,,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
2342,Omar Richards,eng ENG,DF,Bayern Munich,Bundesliga,23.0,1998.0,4.9,421.0,12.0,104.0,187.0,134.0,9.0,421.0,15.0,11.0,73.3,4.0,26.7,240.0,1020.0,515.0,11.0,8.0,4.0,8.0,5.0,284.0,42.0
2343,Taylor Richards,eng ENG,MF,Brighton,Premier League,20.0,2000.0,0.3,32.0,0.0,0.0,17.0,15.0,0.0,32.0,1.0,0.0,0.0,1.0,100.0,26.0,108.0,48.0,1.0,1.0,0.0,0.0,0.0,26.0,7.0
2344,Richarlison,br BRA,FW,Everton,Premier League,24.0,1997.0,28.0,999.0,37.0,137.0,347.0,536.0,135.0,996.0,82.0,40.0,48.8,41.0,50.0,576.0,3374.0,1271.0,44.0,26.0,16.0,93.0,54.0,658.0,146.0
2345,Marco Richter,de GER,"FW,MF",Hertha BSC,Bundesliga,23.0,1997.0,18.9,838.0,26.0,163.0,345.0,341.0,51.0,838.0,46.0,16.0,34.8,30.0,65.2,441.0,2290.0,996.0,34.0,20.0,11.0,69.0,35.0,533.0,97.0
2346,Diego Rico,es ESP,DF,Real Sociedad,La Liga,28.0,1993.0,18.3,1372.0,66.0,437.0,580.0,367.0,11.0,1372.0,29.0,12.0,41.4,17.0,58.6,686.0,2756.0,1251.0,24.0,26.0,2.0,26.0,7.0,721.0,70.0
2347,Sergio Rico,es ESP,GK,Mallorca,La Liga,27.0,1993.0,14.0,385.0,327.0,384.0,1.0,0.0,0.0,385.0,0.0,0.0,,0.0,,183.0,945.0,558.0,0.0,0.0,0.0,0.0,0.0,133.0,0.0
2348,Sergio Rico,es ESP,GK,Paris S-G,Ligue 1,27.0,1993.0,0.3,10.0,9.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,,0.0,,6.0,26.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
2349,Jaïro Riedewald,nl NED,MF,Crystal Palace,Premier League,24.0,1996.0,1.3,65.0,3.0,19.0,37.0,12.0,1.0,65.0,2.0,1.0,50.0,1.0,50.0,39.0,155.0,74.0,1.0,4.0,0.0,1.0,1.0,43.0,2.0
2350,Manuel Riemann,de GER,GK,Bochum,Bundesliga,32.0,1988.0,31.0,1678.0,1148.0,1607.0,72.0,1.0,1.0,1677.0,0.0,0.0,,0.0,,1053.0,5688.0,3848.0,0.0,0.0,0.0,1.0,0.0,848.0,0.0
2351,Tomás Rincón,ve VEN,MF,Torino,Serie A,33.0,1988.0,1.8,112.0,5.0,22.0,70.0,21.0,1.0,112.0,3.0,3.0,100.0,0.0,0.0,53.0,176.0,68.0,0.0,1.0,0.0,4.0,0.0,62.0,1.0
2352,Tomás Rincón,ve VEN,MF,Sampdoria,Serie A,33.0,1988.0,13.0,681.0,24.0,179.0,418.0,94.0,6.0,681.0,19.0,16.0,84.2,3.0,15.8,399.0,1755.0,861.0,12.0,10.0,2.0,11.0,13.0,481.0,19.0
2353,Luis Rioja,es ESP,"MF,FW",Alavés,La Liga,27.0,1993.0,34.6,1316.0,18.0,204.0,447.0,703.0,90.0,1316.0,130.0,70.0,53.8,60.0,46.2,811.0,6037.0,3374.0,122.0,75.0,39.0,99.0,51.0,815.0,213.0
2354,Renaud Ripart,fr FRA,"MF,FW",Troyes,Ligue 1,28.0,1993.0,21.0,949.0,32.0,157.0,455.0,350.0,62.0,949.0,48.0,23.0,47.9,25.0,52.1,626.0,3299.0,1443.0,39.0,28.0,7.0,53.0,35.0,682.0,147.0
2355,Mihailo Ristić,rs SRB,DF,Montpellier,Ligue 1,25.0,1995.0,20.0,1274.0,78.0,406.0,596.0,288.0,16.0,1274.0,41.0,28.0,68.3,13.0,31.7,702.0,4472.0,2362.0,53.0,40.0,1.0,28.0,20.0,710.0,86.0
2356,Matt Ritchie,sct SCO,DF,Newcastle Utd,Premier League,31.0,1989.0,14.9,828.0,43.0,257.0,341.0,237.0,7.0,828.0,6.0,4.0,66.7,2.0,33.3,372.0,1353.0,584.0,8.0,8.0,1.0,11.0,5.0,409.0,40.0
2357,Maxence Rivera,fr FRA,FW,Saint-Étienne,Ligue 1,19.0,2002.0,0.1,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2358,Rober,es ESP,DF,Levante,La Liga,26.0,1995.0,22.3,1265.0,160.0,712.0,499.0,72.0,16.0,1265.0,6.0,5.0,83.3,1.0,16.7,640.0,3437.0,2128.0,17.0,18.0,0.0,16.0,3.0,749.0,5.0
2359,Sergi Roberto,es ESP,"MF,DF",Barcelona,La Liga,29.0,1992.0,4.4,284.0,9.0,51.0,155.0,80.0,8.0,284.0,3.0,3.0,100.0,0.0,0.0,170.0,824.0,389.0,6.0,7.0,0.0,5.0,2.0,204.0,15.0
2360,Connor Roberts,wls WAL,DF,Burnley,Premier League,25.0,1995.0,18.8,1045.0,76.0,297.0,482.0,274.0,18.0,1045.0,12.0,6.0,50.0,6.0,50.0,443.0,2347.0,1324.0,23.0,20.0,4.0,10.0,6.0,502.0,44.0
2361,Patrick Roberts,eng ENG,MF,Troyes,Ligue 1,24.0,1997.0,0.2,9.0,0.0,1.0,4.0,4.0,1.0,9.0,0.0,0.0,,0.0,,7.0,30.0,14.0,1.0,0.0,0.0,2.0,1.0,7.0,0.0
2362,Tyler Roberts,wls WAL,"MF,FW",Leeds United,Premier League,22.0,1999.0,11.0,430.0,13.0,62.0,196.0,177.0,38.0,430.0,22.0,12.0,54.5,10.0,45.5,252.0,1552.0,675.0,17.0,18.0,5.0,26.0,14.0,293.0,63.0
2363,Andrew Robertson,sct SCO,DF,Liverpool,Premier League,27.0,1994.0,28.2,2556.0,77.0,528.0,1172.0,882.0,88.0,2556.0,23.0,13.0,56.5,10.0,43.5,1436.0,7043.0,4330.0,96.0,85.0,19.0,24.0,15.0,1731.0,239.0
2364,Marc Roca,es ESP,MF,Bayern Munich,Bundesliga,24.0,1996.0,4.2,343.0,6.0,69.0,199.0,76.0,5.0,343.0,6.0,3.0,50.0,3.0,50.0,183.0,844.0,413.0,6.0,5.0,1.0,8.0,3.0,234.0,2.0
2366,Rubén Rochina,es ESP,"MF,FW",Granada,La Liga,30.0,1991.0,8.3,490.0,10.0,69.0,261.0,171.0,4.0,490.0,19.0,14.0,73.7,5.0,26.3,284.0,1490.0,664.0,13.0,17.0,1.0,26.0,16.0,334.0,38.0
2367,Cimo Röcker,de GER,DF,Hertha BSC,Bundesliga,27.0,1994.0,0.2,19.0,3.0,11.0,7.0,1.0,1.0,19.0,0.0,0.0,,0.0,,10.0,51.0,16.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0
2368,Enzo Roco,cl CHI,DF,Elche,La Liga,28.0,1992.0,28.4,1434.0,217.0,842.0,556.0,44.0,18.0,1434.0,10.0,5.0,50.0,5.0,50.0,667.0,3004.0,1617.0,12.0,3.0,0.0,15.0,2.0,800.0,8.0
2369,Stian Rode Gregersen,no NOR,DF,Bordeaux,Ligue 1,26.0,1995.0,21.7,1159.0,166.0,675.0,431.0,61.0,13.0,1159.0,7.0,5.0,71.4,2.0,28.6,652.0,3149.0,1846.0,20.0,16.0,1.0,8.0,7.0,705.0,7.0
2370,Sebastian Rode,de GER,MF,Eint Frankfurt,Bundesliga,30.0,1990.0,8.4,492.0,18.0,98.0,308.0,88.0,9.0,492.0,3.0,3.0,100.0,0.0,0.0,231.0,1000.0,449.0,10.0,7.0,1.0,8.0,7.0,301.0,17.0
2371,Joe Rodon,wls WAL,DF,Tottenham,Premier League,23.0,1997.0,1.0,46.0,12.0,19.0,27.0,0.0,0.0,46.0,0.0,0.0,,0.0,,22.0,50.0,11.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0
2372,Rodri,es ESP,MF,Manchester City,Premier League,25.0,1996.0,32.0,3171.0,90.0,585.0,1985.0,622.0,58.0,3171.0,22.0,12.0,54.5,10.0,45.5,2003.0,8513.0,4473.0,43.0,54.0,7.0,18.0,23.0,2429.0,47.0
2373,Rodrigo,es ESP,"MF,FW",Leeds United,Premier League,30.0,1991.0,25.2,1160.0,29.0,162.0,570.0,439.0,77.0,1159.0,42.0,22.0,52.4,20.0,47.6,670.0,3443.0,1551.0,47.0,39.0,9.0,74.0,27.0,859.0,164.0
2374,Rodrigo,es ESP,FW,Betis,La Liga,21.0,2000.0,9.8,505.0,10.0,66.0,235.0,212.0,31.0,505.0,26.0,16.0,61.5,10.0,38.5,360.0,2152.0,950.0,24.0,24.0,9.0,14.0,11.0,405.0,78.0
2375,Gerson Rodrigues,lu LUX,"FW,MF",Troyes,Ligue 1,26.0,1995.0,9.4,368.0,2.0,27.0,192.0,155.0,25.0,368.0,30.0,8.0,26.7,22.0,73.3,237.0,1393.0,625.0,25.0,23.0,6.0,46.0,36.0,285.0,60.0
