,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Standard - Gls,Standard - Sh,Standard - SoT,Standard - SoT%,Standard - Sh/90,Standard - SoT/90,Standard - G/Sh,Standard - G/SoT,Standard - Dist,Standard - FK,Standard - PK,Standard - PKatt,Expected - xG,Expected - npxG,Expected - npxG/Sh,Expected - G-xG,Expected - np:G-xG
32,Jean-Eudes Aholou,ci CIV,MF,Strasbourg,Ligue 1,27.0,1994.0,11.2,1.0,17.0,2.0,11.8,1.52,0.18,0.06,0.5,21.2,0.0,0.0,0.0,1.9,1.9,0.11,-0.9,-0.9
33,Joseph Aidoo,gh GHA,DF,Celta Vigo,La Liga,25.0,1995.0,29.3,0.0,6.0,1.0,16.7,0.2,0.03,0.0,0.0,13.3,0.0,0.0,0.0,0.3,0.3,0.04,-0.3,-0.3
34,Ola Aina,ng NGA,DF,Torino,Serie A,24.0,1996.0,16.0,0.0,10.0,4.0,40.0,0.63,0.25,0.0,0.0,23.6,0.0,0.0,0.0,0.2,0.2,0.02,-0.2,-0.2
35,Rayan Aït Nouri,dz ALG,"DF,MF",Wolves,Premier League,20.0,2001.0,20.3,1.0,13.0,4.0,30.8,0.64,0.2,0.08,0.25,17.6,0.0,0.0,0.0,0.6,0.6,0.04,0.4,0.4
36,Kristoffer Ajer,no NOR,DF,Brentford,Premier League,23.0,1998.0,22.2,1.0,7.0,1.0,14.3,0.32,0.05,0.14,1.0,8.8,0.0,0.0,0.0,0.8,0.8,0.11,0.2,0.2
37,Ludovic Ajorque,fr FRA,FW,Strasbourg,Ligue 1,27.0,1994.0,30.4,12.0,56.0,24.0,42.9,1.84,0.79,0.16,0.38,13.5,0.0,3.0,3.0,10.6,8.3,0.15,1.4,0.7
38,Manuel Akanji,ch SUI,DF,Dortmund,Bundesliga,26.0,1995.0,25.1,1.0,13.0,3.0,23.1,0.52,0.12,0.08,0.33,11.2,1.0,0.0,0.0,1.9,1.9,0.15,-0.9,-0.9
39,Carlos Akapo,gq EQG,DF,Cádiz,La Liga,28.0,1993.0,20.5,0.0,10.0,1.0,10.0,0.49,0.05,0.0,0.0,19.8,0.0,0.0,0.0,0.5,0.5,0.05,-0.5,-0.5
40,Marley Aké,fr FRA,"FW,MF",Juventus,Serie A,20.0,2001.0,0.9,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
41,Nathan Aké,nl NED,DF,Manchester City,Premier League,26.0,1995.0,10.3,2.0,5.0,2.0,40.0,0.49,0.2,0.4,1.0,7.3,0.0,0.0,0.0,0.7,0.7,0.13,1.3,1.3
42,Ilias Akhomach,es ESP,FW,Barcelona,La Liga,17.0,2004.0,1.4,0.0,4.0,2.0,50.0,2.9,1.45,0.0,0.0,19.0,0.0,0.0,0.0,0.1,0.1,0.04,-0.1,-0.1
43,Maghnes Akliouche,fr FRA,"MF,FW",Monaco,Ligue 1,19.0,2002.0,0.6,0.0,2.0,1.0,50.0,3.33,1.67,0.0,0.0,16.0,0.0,0.0,0.0,0.1,0.1,0.07,-0.1,-0.1
44,Paul Akouokou,ci CIV,MF,Betis,La Liga,23.0,1997.0,5.7,0.0,2.0,0.0,0.0,0.35,0.0,0.0,,22.8,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0
45,Jean-Daniel Akpa-Akpro,ci CIV,MF,Lazio,Serie A,28.0,1992.0,3.5,0.0,3.0,0.0,0.0,0.86,0.0,0.0,,18.6,0.0,0.0,0.0,0.1,0.1,0.05,-0.1,-0.1
46,Kevin Akpoguma,ng NGA,"DF,FW",Hoffenheim,Bundesliga,26.0,1995.0,17.0,2.0,12.0,4.0,33.3,0.71,0.24,0.17,0.5,12.8,0.0,0.0,0.0,1.2,1.2,0.1,0.8,0.8
47,David Alaba,at AUT,DF,Real Madrid,La Liga,29.0,1992.0,29.4,2.0,21.0,7.0,33.3,0.72,0.24,0.1,0.29,21.8,7.0,0.0,0.0,1.6,1.6,0.09,0.4,0.4
48,Sofiane Alakouch,ma MAR,"DF,MF",Metz,Ligue 1,23.0,1998.0,1.8,0.0,1.0,0.0,0.0,0.57,0.0,0.0,,27.4,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0
49,Tomás Alarcón,cl CHI,MF,Cádiz,La Liga,22.0,1999.0,15.8,0.0,15.0,2.0,13.3,0.95,0.13,0.0,0.0,24.1,0.0,0.0,0.0,1.1,1.1,0.07,-1.1,-1.1
50,Lucas Alario,ar ARG,FW,Leverkusen,Bundesliga,28.0,1992.0,7.3,6.0,22.0,13.0,59.1,3.02,1.79,0.27,0.46,11.7,0.0,0.0,1.0,6.0,5.2,0.24,0.0,0.8
52,Jordi Alba,es ESP,DF,Barcelona,La Liga,32.0,1989.0,29.4,2.0,31.0,6.0,19.4,1.06,0.2,0.06,0.33,23.2,1.0,0.0,0.0,1.5,1.5,0.05,0.5,0.5
53,Josué Albert,gf GUF,DF,Clermont Foot,Ligue 1,29.0,1992.0,0.2,0.0,1.0,0.0,0.0,4.09,0.0,0.0,,19.3,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0
54,Luis Alberto,es ESP,MF,Lazio,Serie A,28.0,1992.0,26.1,5.0,47.0,16.0,34.0,1.8,0.61,0.11,0.31,21.0,2.0,0.0,0.0,3.3,3.3,0.07,1.7,1.7
55,Raúl Albiol,es ESP,DF,Villarreal,La Liga,35.0,1985.0,27.4,0.0,5.0,1.0,20.0,0.18,0.04,0.0,0.0,7.5,0.0,0.0,0.0,0.4,0.4,0.08,-0.4,-0.4
56,Marc Albrighton,eng ENG,"FW,DF",Leicester City,Premier League,31.0,1989.0,12.6,1.0,4.0,1.0,25.0,0.32,0.08,0.25,1.0,16.3,0.0,0.0,0.0,0.5,0.5,0.12,0.5,0.5
57,Paco Alcácer,es ESP,FW,Villarreal,La Liga,27.0,1993.0,8.7,1.0,18.0,7.0,38.9,2.06,0.8,0.06,0.14,13.4,1.0,0.0,0.0,3.9,3.9,0.22,-2.9,-2.9
58,Thiago Alcántara,es ESP,MF,Liverpool,Premier League,30.0,1991.0,17.0,1.0,25.0,6.0,24.0,1.47,0.35,0.04,0.17,19.3,0.0,0.0,0.0,1.9,1.9,0.08,-0.9,-0.9
59,Rubén Alcaraz,es ESP,MF,Cádiz,La Liga,30.0,1991.0,12.3,2.0,23.0,6.0,26.1,1.87,0.49,0.09,0.33,23.1,5.0,0.0,0.0,1.3,1.3,0.06,0.7,0.7
60,Omar Alderete,py PAR,DF,Valencia,La Liga,24.0,1996.0,26.7,2.0,18.0,5.0,27.8,0.67,0.19,0.11,0.4,16.7,0.0,0.0,0.0,0.8,0.8,0.05,1.2,1.2
61,Iván Alejo,es ESP,"MF,FW",Cádiz,La Liga,26.0,1995.0,11.8,2.0,12.0,4.0,33.3,1.01,0.34,0.17,0.5,21.5,0.0,0.0,0.0,1.4,1.4,0.12,0.6,0.6
62,Doğan Alemdar,tr TUR,GK,Rennes,Ligue 1,18.0,2002.0,12.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
63,Carles Aleñá,es ESP,MF,Getafe,La Liga,23.0,1998.0,25.8,1.0,46.0,14.0,30.4,1.78,0.54,0.02,0.07,24.2,0.0,0.0,0.0,1.8,1.8,0.04,-0.8,-0.8
64,Trent Alexander-Arnold,eng ENG,DF,Liverpool,Premier League,22.0,1998.0,31.7,2.0,51.0,15.0,29.4,1.61,0.47,0.04,0.13,24.0,8.0,0.0,0.0,2.4,2.4,0.05,-0.4,-0.4
65,Mohamed Ali Cho,fr FRA,FW,Angers,Ligue 1,17.0,2004.0,20.4,4.0,42.0,15.0,35.7,2.06,0.73,0.1,0.27,15.3,0.0,0.0,0.0,6.4,6.4,0.15,-2.4,-2.4
66,Alisson,br BRA,GK,Liverpool,Premier League,28.0,1992.0,36.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
67,Allan,br BRA,MF,Everton,Premier League,30.0,1991.0,24.3,0.0,7.0,3.0,42.9,0.29,0.12,0.0,0.0,24.5,0.0,0.0,0.0,0.2,0.2,0.03,-0.2,-0.2
68,Jim Allevinah,ga GAB,FW,Clermont Foot,Ligue 1,26.0,1995.0,16.5,1.0,43.0,15.0,34.9,2.6,0.91,0.02,0.07,19.2,1.0,0.0,0.0,2.8,2.8,0.07,-1.8,-1.8
69,Dele Alli,eng ENG,MF,Tottenham,Premier League,25.0,1996.0,7.3,1.0,3.0,2.0,66.7,0.41,0.27,0.0,0.0,21.4,0.0,1.0,1.0,1.6,0.8,0.26,-0.6,-0.8
70,Dele Alli,eng ENG,"MF,FW",Everton,Premier League,25.0,1996.0,3.8,0.0,3.0,0.0,0.0,0.8,0.0,0.0,,19.4,0.0,0.0,0.0,0.1,0.1,0.04,-0.1,-0.1
71,Miguel Almirón,py PAR,"MF,FW",Newcastle Utd,Premier League,27.0,1994.0,19.1,1.0,32.0,7.0,21.9,1.68,0.37,0.03,0.14,19.6,0.0,0.0,0.0,1.7,1.7,0.05,-0.7,-0.7
72,Marcos Alonso,es ESP,DF,Chelsea,Premier League,30.0,1990.0,24.1,4.0,43.0,10.0,23.3,1.79,0.42,0.09,0.4,18.7,9.0,0.0,0.0,2.8,2.8,0.07,1.2,1.2
73,Giorgio Altare,it ITA,DF,Cagliari,Serie A,22.0,1998.0,16.3,1.0,18.0,6.0,33.3,1.11,0.37,0.06,0.17,13.7,0.0,0.0,0.0,1.0,1.0,0.06,0.0,0.0
74,Hugo Álvarez,es ESP,FW,Celta Vigo,La Liga,18.0,2003.0,0.1,0.0,1.0,0.0,0.0,8.18,0.0,0.0,,11.5,0.0,0.0,0.0,0.2,0.2,0.17,-0.2,-0.2
75,Yeray Álvarez,es ESP,DF,Athletic Club,La Liga,26.0,1995.0,20.7,0.0,7.0,0.0,0.0,0.34,0.0,0.0,,14.1,0.0,0.0,0.0,0.5,0.5,0.07,-0.5,-0.5
76,Dani Alves,br BRA,DF,Barcelona,La Liga,38.0,1983.0,12.2,1.0,5.0,2.0,40.0,0.41,0.16,0.2,0.5,31.4,0.0,0.0,0.0,0.3,0.3,0.06,0.7,0.7
78,Steven Alzate,co COL,MF,Brighton,Premier League,22.0,1998.0,4.5,0.0,1.0,1.0,100.0,0.22,0.22,0.0,0.0,16.1,0.0,0.0,0.0,0.1,0.1,0.07,-0.1,-0.1
79,Ibrahim Amadou,fr FRA,"DF,MF",Metz,Ligue 1,28.0,1993.0,9.0,1.0,3.0,2.0,66.7,0.33,0.22,0.33,0.5,9.4,0.0,0.0,0.0,0.4,0.4,0.13,0.6,0.6
80,Emmanuel Amankwaa Akurugu,gh GHA,DF,Getafe,La Liga,19.0,2001.0,0.9,0.0,1.0,0.0,0.0,1.14,0.0,0.0,,22.2,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0
81,Daniel Amartey,gh GHA,DF,Leicester City,Premier League,26.0,1994.0,23.6,0.0,2.0,1.0,50.0,0.08,0.04,0.0,0.0,34.1,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0
82,Amath,sn SEN,"FW,MF",Mallorca,La Liga,25.0,1996.0,9.8,0.0,11.0,4.0,36.4,1.12,0.41,0.0,0.0,17.3,0.0,0.0,0.0,1.4,1.4,0.12,-1.4,-1.4
83,Jordan Amavi,fr FRA,DF,Nice,Ligue 1,27.0,1994.0,4.6,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
84,Jordan Amavi,fr FRA,"DF,FW",Marseille,Ligue 1,27.0,1994.0,1.4,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
85,Wisdom Amey,it ITA,DF,Bologna,Serie A,15.0,2005.0,0.8,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
86,Kelvin Amian,fr FRA,DF,Spezia,Serie A,23.0,1998.0,29.4,1.0,26.0,7.0,26.9,0.88,0.24,0.04,0.14,15.1,0.0,0.0,0.0,2.6,2.6,0.1,-1.6,-1.6
87,Nadiem Amiri,de GER,"MF,FW",Genoa,Serie A,24.0,1996.0,7.6,0.0,16.0,6.0,37.5,2.11,0.79,0.0,0.0,23.8,1.0,0.0,0.0,0.9,0.9,0.06,-0.9,-0.9
88,Nadiem Amiri,de GER,"MF,FW",Leverkusen,Bundesliga,24.0,1996.0,4.1,1.0,8.0,2.0,25.0,1.95,0.49,0.13,0.5,21.1,1.0,0.0,0.0,0.5,0.5,0.06,0.5,0.5
89,Ethan Ampadu,wls WAL,"MF,DF",Venezia,Serie A,20.0,2000.0,25.4,0.0,7.0,1.0,14.3,0.28,0.04,0.0,0.0,20.2,0.0,0.0,0.0,0.3,0.3,0.04,-0.3,-0.3
90,Sofyan Amrabat,ma MAR,MF,Fiorentina,Serie A,24.0,1996.0,10.5,1.0,4.0,3.0,75.0,0.38,0.29,0.25,0.33,26.6,0.0,0.0,0.0,0.1,0.1,0.03,0.9,0.9
91,Joachim Andersen,dk DEN,DF,Crystal Palace,Premier League,25.0,1996.0,32.4,0.0,8.0,3.0,37.5,0.25,0.09,0.0,0.0,15.3,1.0,0.0,0.0,0.7,0.7,0.08,-0.7,-0.7
92,Felipe Anderson,br BRA,FW,Lazio,Serie A,28.0,1993.0,32.1,6.0,44.0,16.0,36.4,1.37,0.5,0.14,0.38,16.4,0.0,0.0,0.0,6.2,6.2,0.14,-0.2,-0.2
93,Sebastian Andersson,se SWE,FW,Köln,Bundesliga,30.0,1991.0,14.0,3.0,35.0,12.0,34.3,2.51,0.86,0.09,0.25,11.8,0.0,0.0,0.0,4.5,4.5,0.13,-1.5,-1.5
94,Florin Andone,ro ROU,FW,Cádiz,La Liga,28.0,1993.0,2.0,0.0,3.0,1.0,33.3,1.53,0.51,0.0,0.0,12.6,0.0,0.0,0.0,0.2,0.2,0.08,-0.2,-0.2
95,Andrés Andrade Cedeño,pa PAN,DF,Arminia,Bundesliga,22.0,1998.0,11.6,0.0,7.0,3.0,42.9,0.6,0.26,0.0,0.0,19.6,0.0,0.0,0.0,0.3,0.3,0.04,-0.3,-0.3
96,Benjamin André,fr FRA,MF,Lille,Ligue 1,30.0,1990.0,30.6,2.0,18.0,5.0,27.8,0.59,0.16,0.11,0.4,14.5,0.0,0.0,0.0,1.4,1.4,0.08,0.6,0.6
97,Fredrik André Bjørkan,no NOR,DF,Hertha BSC,Bundesliga,22.0,1998.0,3.9,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
98,Robert Andrich,de GER,MF,Leverkusen,Bundesliga,26.0,1994.0,20.2,4.0,30.0,7.0,23.3,1.49,0.35,0.13,0.57,18.4,1.0,0.0,0.0,3.2,2.8,0.09,0.8,1.2
99,José Ángel,es ESP,DF,Osasuna,La Liga,31.0,1989.0,12.0,1.0,11.0,3.0,27.3,0.91,0.25,0.09,0.33,27.3,0.0,0.0,0.0,0.2,0.2,0.02,0.8,0.8
100,Angeliño,es ESP,DF,RB Leipzig,Bundesliga,24.0,1997.0,25.5,2.0,12.0,6.0,50.0,0.47,0.23,0.17,0.33,16.1,0.0,0.0,0.0,1.2,1.2,0.1,0.8,0.8
101,Ebenezer Annan,gh GHA,DF,Bologna,Serie A,18.0,2002.0,0.3,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
102,Cristian Ansaldi,ar ARG,DF,Torino,Serie A,34.0,1986.0,7.7,0.0,7.0,1.0,14.3,0.91,0.13,0.0,0.0,18.4,0.0,0.0,0.0,0.3,0.3,0.04,-0.3,-0.3
104,Janis Antiste,fr FRA,FW,Spezia,Serie A,18.0,2002.0,8.8,1.0,11.0,2.0,18.2,1.24,0.23,0.09,0.5,10.4,0.0,0.0,0.0,1.4,1.4,0.13,-0.4,-0.4
105,Waldemar Anton,de GER,DF,Stuttgart,Bundesliga,25.0,1996.0,28.8,2.0,24.0,6.0,25.0,0.83,0.21,0.08,0.33,14.1,0.0,0.0,0.0,2.1,2.1,0.09,-0.1,-0.1
106,Josep Antoni Gayá,es ESP,DF,Mallorca,La Liga,21.0,2000.0,0.6,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
107,Michail Antonio,jm JAM,FW,West Ham,Premier League,31.0,1990.0,33.0,10.0,82.0,27.0,32.9,2.48,0.82,0.12,0.37,14.9,0.0,0.0,1.0,10.8,10.2,0.12,-0.8,-0.2
108,Christopher Antwi-Adjei,gh GHA,"FW,MF",Bochum,Bundesliga,27.0,1994.0,12.6,1.0,29.0,10.0,34.5,2.31,0.8,0.03,0.1,15.2,0.0,0.0,0.0,2.0,2.0,0.08,-1.0,-1.0
109,Houssem Aouar,fr FRA,"MF,FW",Lyon,Ligue 1,23.0,1998.0,27.8,6.0,76.0,24.0,31.6,2.73,0.86,0.08,0.25,17.9,0.0,0.0,0.0,6.3,6.3,0.08,-0.3,-0.3
110,Adil Aouchiche,fr FRA,"MF,FW",Saint-Étienne,Ligue 1,19.0,2002.0,12.0,0.0,21.0,10.0,47.6,1.75,0.83,0.0,0.0,22.5,0.0,0.0,0.0,1.2,1.2,0.06,-1.2,-1.2
111,Dennis Appiah,fr FRA,DF,Nantes,Ligue 1,29.0,1992.0,23.3,0.0,2.0,0.0,0.0,0.09,0.0,0.0,,22.2,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0
112,Mauro Arambarri,uy URU,MF,Getafe,La Liga,25.0,1995.0,29.6,0.0,37.0,8.0,21.6,1.25,0.27,0.0,0.0,27.7,2.0,0.0,0.0,1.2,1.2,0.03,-1.2,-1.2
113,Mattia Aramu,it ITA,"MF,FW",Venezia,Serie A,26.0,1995.0,23.3,7.0,55.0,15.0,27.3,2.36,0.64,0.07,0.27,24.5,17.0,3.0,4.0,6.8,3.6,0.07,0.2,0.4
114,Charles Aránguiz,cl CHI,MF,Leverkusen,Bundesliga,32.0,1989.0,17.5,1.0,10.0,3.0,30.0,0.57,0.17,0.1,0.33,19.6,0.0,0.0,0.0,1.6,1.6,0.16,-0.6,-0.6
115,Néstor Araujo,mx MEX,DF,Celta Vigo,La Liga,29.0,1991.0,29.1,0.0,8.0,1.0,12.5,0.28,0.03,0.0,0.0,21.5,0.0,0.0,0.0,0.3,0.3,0.04,-0.3,-0.3
116,Ronald Araújo,uy URU,DF,Barcelona,La Liga,22.0,1999.0,25.2,4.0,18.0,10.0,55.6,0.71,0.4,0.22,0.4,12.6,0.0,0.0,0.0,1.5,1.5,0.09,2.5,2.5
117,Cameron Archer,eng ENG,"FW,MF",Aston Villa,Premier League,20.0,2001.0,0.3,0.0,1.0,0.0,0.0,3.33,0.0,0.0,,12.6,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0
118,Alphonse Areola,fr FRA,GK,West Ham,Premier League,28.0,1993.0,1.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
119,Jesús Areso,es ESP,DF,Osasuna,La Liga,22.0,1999.0,2.1,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
120,Matias Arezo,uy URU,"FW,MF",Granada,La Liga,18.0,2002.0,1.8,0.0,5.0,3.0,60.0,2.78,1.67,0.0,0.0,17.5,0.0,0.0,0.0,1.0,1.0,0.2,-1.0,-1.0
121,Santiago Arias,co COL,DF,Granada,La Liga,29.0,1992.0,4.9,1.0,3.0,1.0,33.3,0.61,0.2,0.33,1.0,14.6,0.0,0.0,0.0,0.7,0.7,0.25,0.3,0.3
122,Adam Armstrong,eng ENG,FW,Southampton,Premier League,24.0,1997.0,15.7,2.0,47.0,14.0,29.8,2.99,0.89,0.04,0.14,17.2,0.0,0.0,0.0,4.5,4.5,0.1,-2.5,-2.5
123,Stuart Armstrong,sct SCO,MF,Southampton,Premier League,29.0,1992.0,16.4,2.0,38.0,9.0,23.7,2.32,0.55,0.05,0.22,20.5,0.0,0.0,0.0,2.5,2.5,0.07,-0.5,-0.5
124,Marko Arnautović,at AUT,FW,Bologna,Serie A,32.0,1989.0,29.9,14.0,89.0,32.0,36.0,2.97,1.07,0.13,0.38,15.2,3.0,2.0,3.0,14.7,12.5,0.14,-0.7,-0.5
