,Squad,Comp,# Pl,Playing Time - MP,Playing Time - Starts,Playing Time - Min,Playing Time - 90s,Performance - GA,Performance - GA90,Performance - SoTA,Performance - Saves,Performance - Save%,Performance - W,Performance - D,Performance - L,Performance - CS,Performance - CS%,Penalty Kicks - PKatt,Penalty Kicks - PKA,Penalty Kicks - PKsv,Penalty Kicks - PKm,Penalty Kicks - Save%
17,Celta Vigo,La Liga,3.0,38.0,38.0,3420.0,38.0,69.0,1.82,181.0,121.0,66.9,13.0,6.0,19.0,7.0,18.4,10.0,9.0,0.0,1.0,0.0
18,Chelsea,Premier League,2.0,38.0,38.0,3420.0,38.0,33.0,0.87,105.0,72.0,70.5,30.0,3.0,5.0,16.0,42.1,2.0,2.0,0.0,0.0,0.0
19,Chievo,Serie A,2.0,38.0,38.0,3420.0,38.0,61.0,1.61,188.0,127.0,69.7,12.0,7.0,19.0,10.0,26.3,6.0,4.0,0.0,2.0,0.0
20,Crotone,Serie A,2.0,38.0,38.0,3420.0,38.0,58.0,1.53,216.0,158.0,75.9,9.0,7.0,22.0,4.0,10.5,10.0,6.0,2.0,2.0,25.0
21,Crystal Palace,Premier League,2.0,38.0,38.0,3420.0,38.0,63.0,1.66,176.0,113.0,65.3,12.0,5.0,21.0,7.0,18.4,2.0,2.0,0.0,0.0,0.0
22,Darmstadt 98,Bundesliga,2.0,34.0,34.0,3060.0,34.0,63.0,1.85,187.0,124.0,69.5,7.0,4.0,23.0,3.0,8.8,8.0,6.0,1.0,1.0,14.3
23,Dijon,Ligue 1,2.0,38.0,38.0,3420.0,38.0,58.0,1.53,200.0,142.0,75.5,8.0,13.0,17.0,10.0,26.3,12.0,9.0,1.0,2.0,10.0
24,Dortmund,Bundesliga,2.0,34.0,34.0,3060.0,34.0,40.0,1.18,125.0,85.0,69.6,18.0,10.0,6.0,9.0,26.5,2.0,2.0,0.0,0.0,0.0
25,Eibar,La Liga,3.0,38.0,38.0,3413.0,38.0,51.0,1.34,152.0,107.0,69.7,15.0,9.0,14.0,10.0,26.3,6.0,5.0,1.0,0.0,16.7
26,Eint Frankfurt,Bundesliga,2.0,34.0,34.0,3058.0,34.0,43.0,1.27,120.0,77.0,66.7,11.0,9.0,14.0,11.0,32.4,4.0,3.0,0.0,1.0,0.0
27,Empoli,Serie A,2.0,38.0,38.0,3420.0,38.0,61.0,1.61,212.0,151.0,73.6,8.0,8.0,22.0,10.0,26.3,9.0,5.0,3.0,1.0,37.5
28,Espanyol,La Liga,2.0,38.0,38.0,3420.0,38.0,50.0,1.32,175.0,127.0,72.6,15.0,11.0,12.0,11.0,28.9,2.0,2.0,0.0,0.0,0.0
29,Everton,Premier League,2.0,38.0,38.0,3420.0,38.0,44.0,1.16,148.0,104.0,72.3,17.0,10.0,11.0,13.0,34.2,5.0,3.0,1.0,1.0,25.0
30,Fiorentina,Serie A,4.0,38.0,38.0,3420.0,38.0,57.0,1.5,170.0,113.0,69.4,16.0,12.0,10.0,12.0,31.6,6.0,5.0,0.0,1.0,0.0
31,Freiburg,Bundesliga,1.0,34.0,34.0,3060.0,34.0,60.0,1.76,165.0,105.0,66.1,14.0,6.0,14.0,6.0,17.6,6.0,4.0,2.0,0.0,33.3
32,Genoa,Serie A,3.0,38.0,38.0,3420.0,38.0,64.0,1.68,166.0,102.0,63.9,9.0,9.0,20.0,8.0,21.1,8.0,4.0,2.0,2.0,33.3
33,Granada,La Liga,1.0,38.0,38.0,3420.0,38.0,82.0,2.16,242.0,163.0,66.9,4.0,8.0,26.0,3.0,7.9,4.0,2.0,1.0,1.0,33.3
34,Guingamp,Ligue 1,3.0,38.0,38.0,3420.0,38.0,53.0,1.39,160.0,107.0,71.3,14.0,8.0,16.0,9.0,23.7,11.0,7.0,2.0,2.0,22.2
35,Hamburger SV,Bundesliga,3.0,34.0,34.0,3060.0,34.0,61.0,1.79,154.0,93.0,63.6,10.0,8.0,16.0,8.0,23.5,8.0,5.0,1.0,2.0,16.7
36,Hertha BSC,Bundesliga,1.0,34.0,34.0,3060.0,34.0,47.0,1.38,150.0,103.0,71.3,15.0,4.0,15.0,11.0,32.4,5.0,4.0,1.0,0.0,20.0
37,Hoffenheim,Bundesliga,1.0,34.0,34.0,3060.0,34.0,37.0,1.09,150.0,113.0,76.0,16.0,14.0,4.0,12.0,35.3,3.0,1.0,1.0,1.0,50.0
38,Hull City,Premier League,2.0,38.0,38.0,3420.0,38.0,80.0,2.11,214.0,134.0,67.8,9.0,7.0,22.0,5.0,13.2,14.0,11.0,2.0,1.0,15.4
39,Ingolstadt 04,Bundesliga,2.0,34.0,34.0,3060.0,34.0,57.0,1.68,160.0,103.0,68.8,8.0,8.0,18.0,4.0,11.8,8.0,7.0,1.0,0.0,12.5
40,Inter,Serie A,2.0,38.0,38.0,3420.0,38.0,49.0,1.29,161.0,112.0,72.7,19.0,5.0,14.0,9.0,23.7,6.0,5.0,1.0,0.0,16.7
41,Juventus,Serie A,3.0,38.0,38.0,3420.0,38.0,27.0,0.71,108.0,81.0,75.9,29.0,4.0,5.0,18.0,47.4,1.0,1.0,0.0,0.0,0.0
42,Köln,Bundesliga,3.0,34.0,34.0,3060.0,34.0,42.0,1.24,159.0,117.0,76.1,12.0,13.0,9.0,10.0,29.4,4.0,4.0,0.0,0.0,0.0
43,La Coruña,La Liga,3.0,38.0,38.0,3420.0,38.0,61.0,1.61,168.0,110.0,65.5,8.0,12.0,18.0,9.0,23.7,3.0,3.0,0.0,0.0,0.0
44,Las Palmas,La Liga,2.0,38.0,38.0,3420.0,38.0,74.0,1.95,165.0,102.0,61.8,10.0,9.0,19.0,5.0,13.2,11.0,11.0,0.0,0.0,0.0
45,Lazio,Serie A,3.0,38.0,38.0,3420.0,38.0,51.0,1.34,168.0,117.0,72.6,21.0,7.0,10.0,8.0,21.1,9.0,5.0,2.0,2.0,28.6
46,Leganés,La Liga,5.0,38.0,38.0,3416.0,38.0,55.0,1.45,137.0,89.0,64.2,8.0,11.0,19.0,11.0,28.9,7.0,6.0,1.0,0.0,14.3
47,Leicester City,Premier League,2.0,38.0,38.0,3420.0,38.0,63.0,1.66,190.0,127.0,68.4,12.0,8.0,18.0,9.0,23.7,3.0,3.0,0.0,0.0,0.0
48,Leverkusen,Bundesliga,1.0,34.0,34.0,3060.0,34.0,55.0,1.62,160.0,105.0,67.5,11.0,8.0,15.0,6.0,17.6,3.0,3.0,0.0,0.0,0.0
49,Lille,Ligue 1,2.0,38.0,38.0,3420.0,38.0,47.0,1.24,153.0,106.0,71.9,13.0,7.0,18.0,11.0,28.9,6.0,4.0,1.0,1.0,20.0
50,Liverpool,Premier League,2.0,38.0,38.0,3420.0,38.0,42.0,1.11,114.0,72.0,65.8,22.0,10.0,6.0,12.0,31.6,5.0,3.0,2.0,0.0,40.0
51,Lorient,Ligue 1,2.0,38.0,38.0,3420.0,38.0,70.0,1.84,201.0,131.0,67.2,10.0,6.0,22.0,4.0,10.5,6.0,4.0,1.0,1.0,20.0
52,Lyon,Ligue 1,2.0,38.0,38.0,3420.0,38.0,48.0,1.26,145.0,97.0,70.3,21.0,4.0,13.0,13.0,34.2,6.0,5.0,1.0,0.0,16.7
53,M'Gladbach,Bundesliga,1.0,34.0,34.0,3060.0,34.0,49.0,1.44,146.0,97.0,69.2,12.0,9.0,13.0,10.0,29.4,5.0,4.0,0.0,1.0,0.0
54,Mainz 05,Bundesliga,2.0,34.0,34.0,3060.0,34.0,55.0,1.62,160.0,105.0,67.5,10.0,7.0,17.0,7.0,20.6,4.0,3.0,1.0,0.0,25.0
55,Málaga,La Liga,2.0,38.0,38.0,3420.0,38.0,55.0,1.45,143.0,95.0,65.7,12.0,10.0,16.0,8.0,21.1,7.0,6.0,1.0,0.0,14.3
56,Manchester City,Premier League,2.0,38.0,38.0,3420.0,38.0,39.0,1.03,105.0,66.0,64.8,23.0,9.0,6.0,12.0,31.6,5.0,2.0,1.0,2.0,33.3
57,Manchester Utd,Premier League,3.0,38.0,38.0,3420.0,38.0,29.0,0.76,116.0,87.0,78.4,18.0,15.0,5.0,17.0,44.7,5.0,4.0,1.0,0.0,20.0
58,Marseille,Ligue 1,1.0,38.0,38.0,3420.0,38.0,41.0,1.08,163.0,122.0,76.1,17.0,11.0,10.0,18.0,47.4,2.0,2.0,0.0,0.0,0.0
59,Metz,Ligue 1,3.0,38.0,38.0,3420.0,38.0,72.0,1.89,219.0,147.0,69.4,11.0,10.0,17.0,11.0,28.9,7.0,5.0,2.0,0.0,28.6
60,Middlesbrough,Premier League,2.0,38.0,38.0,3420.0,38.0,53.0,1.39,171.0,118.0,71.3,5.0,13.0,20.0,11.0,28.9,5.0,4.0,0.0,1.0,0.0
61,Milan,Serie A,1.0,38.0,38.0,3420.0,38.0,45.0,1.18,189.0,144.0,78.8,18.0,9.0,11.0,12.0,31.6,10.0,5.0,2.0,3.0,28.6
62,Monaco,Ligue 1,4.0,38.0,38.0,3420.0,38.0,29.0,0.76,118.0,89.0,78.0,30.0,5.0,3.0,17.0,44.7,5.0,3.0,2.0,0.0,40.0
63,Montpellier,Ligue 1,2.0,38.0,38.0,3420.0,38.0,66.0,1.74,170.0,104.0,65.3,10.0,9.0,19.0,7.0,18.4,7.0,7.0,0.0,0.0,0.0
64,Nancy,Ligue 1,2.0,38.0,38.0,3420.0,38.0,52.0,1.37,170.0,118.0,73.5,9.0,8.0,21.0,13.0,34.2,8.0,7.0,1.0,0.0,12.5
65,Nantes,Ligue 1,2.0,38.0,38.0,3420.0,38.0,54.0,1.42,151.0,97.0,70.2,14.0,9.0,15.0,10.0,26.3,9.0,9.0,0.0,0.0,0.0
66,Napoli,Serie A,2.0,38.0,38.0,3420.0,38.0,38.0,1.0,125.0,87.0,72.0,26.0,8.0,4.0,12.0,31.6,4.0,3.0,1.0,0.0,25.0
67,Nice,Ligue 1,2.0,38.0,38.0,3420.0,38.0,36.0,0.95,160.0,124.0,80.0,22.0,12.0,4.0,13.0,34.2,4.0,4.0,0.0,0.0,0.0
68,Osasuna,La Liga,4.0,38.0,38.0,3420.0,38.0,94.0,2.47,193.0,106.0,53.4,4.0,10.0,24.0,2.0,5.3,8.0,4.0,3.0,1.0,42.9
69,Palermo,Serie A,2.0,38.0,38.0,3420.0,38.0,77.0,2.03,210.0,133.0,66.2,6.0,8.0,24.0,5.0,13.2,6.0,6.0,0.0,0.0,0.0
70,Paris S-G,Ligue 1,2.0,38.0,38.0,3420.0,38.0,27.0,0.71,90.0,63.0,72.2,27.0,6.0,5.0,21.0,55.3,3.0,2.0,1.0,0.0,33.3
71,Pescara,Serie A,2.0,38.0,38.0,3420.0,38.0,83.0,2.18,211.0,128.0,63.5,3.0,9.0,26.0,4.0,10.5,6.0,6.0,0.0,0.0,0.0
72,RB Leipzig,Bundesliga,2.0,34.0,34.0,3060.0,34.0,39.0,1.15,104.0,65.0,65.4,20.0,7.0,7.0,10.0,29.4,5.0,3.0,2.0,0.0,40.0
73,Real Madrid,La Liga,2.0,38.0,38.0,3420.0,38.0,41.0,1.08,143.0,105.0,72.7,29.0,6.0,3.0,10.0,26.3,4.0,2.0,1.0,1.0,33.3
74,Real Sociedad,La Liga,1.0,38.0,38.0,3420.0,38.0,53.0,1.39,156.0,108.0,68.6,19.0,7.0,12.0,10.0,26.3,7.0,4.0,1.0,2.0,20.0
75,Rennes,Ligue 1,1.0,38.0,38.0,3420.0,38.0,42.0,1.11,143.0,101.0,71.3,12.0,14.0,12.0,12.0,31.6,4.0,1.0,1.0,2.0,50.0
76,Roma,Serie A,1.0,38.0,38.0,3420.0,38.0,38.0,1.0,154.0,116.0,76.6,28.0,3.0,7.0,14.0,36.8,4.0,2.0,2.0,0.0,50.0
77,Saint-Étienne,Ligue 1,3.0,38.0,38.0,3418.0,38.0,42.0,1.11,172.0,130.0,76.7,12.0,14.0,12.0,14.0,36.8,4.0,2.0,2.0,0.0,50.0
78,Sampdoria,Serie A,2.0,38.0,38.0,3420.0,38.0,55.0,1.45,180.0,125.0,72.8,12.0,12.0,14.0,7.0,18.4,8.0,6.0,2.0,0.0,25.0
79,Sassuolo,Serie A,1.0,38.0,38.0,3330.0,38.0,56.0,1.51,191.0,135.0,73.3,13.0,7.0,18.0,7.0,18.4,8.0,5.0,2.0,1.0,28.6
80,Schalke 04,Bundesliga,1.0,34.0,34.0,3060.0,34.0,40.0,1.18,118.0,78.0,71.2,11.0,10.0,13.0,8.0,23.5,10.0,6.0,4.0,0.0,40.0
81,Sevilla,La Liga,3.0,38.0,38.0,3417.0,38.0,48.0,1.26,161.0,118.0,72.7,21.0,9.0,8.0,13.0,34.2,5.0,4.0,1.0,0.0,20.0
82,Southampton,Premier League,1.0,38.0,38.0,3420.0,38.0,48.0,1.26,130.0,82.0,67.7,12.0,10.0,16.0,14.0,36.8,9.0,6.0,1.0,2.0,14.3
83,Sporting Gijón,La Liga,2.0,38.0,38.0,3420.0,38.0,72.0,1.89,195.0,132.0,66.7,7.0,10.0,21.0,7.0,18.4,9.0,7.0,2.0,0.0,22.2
84,Stoke City,Premier League,3.0,38.0,38.0,3420.0,38.0,56.0,1.47,180.0,124.0,69.4,11.0,11.0,16.0,11.0,28.9,2.0,1.0,1.0,0.0,50.0
85,Sunderland,Premier League,2.0,38.0,38.0,3420.0,38.0,69.0,1.82,248.0,179.0,73.8,6.0,6.0,26.0,6.0,15.8,4.0,4.0,0.0,0.0,0.0
86,Swansea City,Premier League,2.0,38.0,38.0,3420.0,38.0,70.0,1.84,179.0,109.0,64.2,12.0,5.0,21.0,8.0,21.1,8.0,6.0,1.0,1.0,14.3
87,Torino,Serie A,2.0,38.0,38.0,3420.0,38.0,66.0,1.74,173.0,107.0,65.9,13.0,14.0,11.0,5.0,13.2,7.0,7.0,0.0,0.0,0.0
88,Tottenham,Premier League,2.0,38.0,38.0,3420.0,38.0,26.0,0.68,110.0,84.0,78.2,26.0,8.0,4.0,17.0,44.7,2.0,2.0,0.0,0.0,0.0
89,Toulouse,Ligue 1,2.0,38.0,38.0,3420.0,38.0,41.0,1.08,166.0,125.0,80.1,10.0,14.0,14.0,12.0,31.6,9.0,8.0,1.0,0.0,11.1
90,Udinese,Serie A,2.0,38.0,38.0,3420.0,38.0,56.0,1.47,157.0,101.0,69.4,12.0,9.0,17.0,7.0,18.4,9.0,8.0,0.0,1.0,0.0
91,Valencia,La Liga,3.0,38.0,38.0,3420.0,38.0,65.0,1.71,154.0,100.0,61.7,13.0,7.0,18.0,7.0,18.4,13.0,6.0,5.0,2.0,45.5
92,Villarreal,La Liga,2.0,38.0,38.0,3420.0,38.0,33.0,0.87,148.0,121.0,81.1,19.0,10.0,9.0,16.0,42.1,6.0,5.0,1.0,0.0,16.7
93,Watford,Premier League,2.0,38.0,38.0,3420.0,38.0,68.0,1.79,187.0,119.0,65.2,11.0,7.0,20.0,7.0,18.4,4.0,3.0,1.0,0.0,25.0
94,Werder Bremen,Bundesliga,2.0,34.0,34.0,3058.0,34.0,64.0,1.88,190.0,126.0,70.5,13.0,6.0,15.0,6.0,17.6,10.0,8.0,2.0,0.0,20.0
95,West Brom,Premier League,1.0,38.0,38.0,3420.0,38.0,51.0,1.34,160.0,109.0,70.0,12.0,9.0,17.0,6.0,15.8,3.0,3.0,0.0,0.0,0.0
96,West Ham,Premier League,2.0,38.0,38.0,3420.0,38.0,64.0,1.68,182.0,118.0,67.6,12.0,9.0,17.0,10.0,26.3,8.0,5.0,1.0,2.0,16.7
97,Wolfsburg,Bundesliga,2.0,34.0,34.0,3060.0,34.0,52.0,1.53,155.0,103.0,67.7,10.0,7.0,17.0,11.0,32.4,5.0,2.0,1.0,2.0,33.3
