,# Pl,90s,Att,Pass Types - Live,Pass Types - Dead,Pass Types - FK,Pass Types - TB,Pass Types - Sw,Pass Types - Crs,Pass Types - TI,Pass Types - CK,Corner Kicks - In,Corner Kicks - Out,Corner Kicks - Str,Outcomes - Cmp,Outcomes - Off,Outcomes - Blocks
56,27,34.0,14181,12344,1770,461,7,131,546,791,148,85,51,0,10267,67,372
57,37,38.0,15769,13674,2006,580,32,179,742,861,153,63,67,2,11424,89,347
58,25,38.0,29961,28178,1716,418,118,213,691,779,284,17,141,2,26164,67,404
59,27,38.0,21865,19929,1848,456,85,176,753,809,220,111,65,1,17765,88,398
60,26,38.0,21066,19057,1931,521,116,159,864,834,243,109,83,4,17221,78,337
61,36,38.0,16957,14872,2029,540,18,258,701,884,173,68,86,1,12673,56,385
62,23,38.0,21918,19865,1965,588,28,255,872,786,244,120,54,2,18086,88,401
63,32,38.0,18393,16296,2024,584,68,151,764,839,195,82,67,2,14444,73,337
64,23,38.0,17725,15597,2045,578,47,228,849,943,185,42,122,0,13612,83,394
65,30,38.0,16263,14232,1946,425,24,143,789,926,175,49,111,1,11823,85,365
66,23,38.0,29387,27433,1874,456,95,180,672,871,240,118,55,16,25306,80,424
67,27,38.0,15659,13725,1871,444,67,114,616,837,167,75,58,8,11071,63,355
68,31,38.0,23523,21602,1858,570,40,278,572,672,203,71,115,1,20210,63,348
69,28,38.0,26436,24471,1872,553,216,228,682,736,254,80,55,6,23215,93,380
70,23,34.0,18354,16360,1907,574,53,55,521,865,168,74,67,3,14318,87,443
71,24,38.0,24496,22486,1895,563,77,395,904,729,279,62,110,2,20954,115,387
72,27,38.0,20838,18744,2003,604,45,216,782,823,233,100,93,0,16973,91,385
73,28,38.0,17996,15811,2096,588,52,215,766,916,217,95,86,2,13834,89,345
74,27,38.0,21620,19551,1998,558,55,243,962,854,261,119,82,1,17482,71,435
75,30,38.0,19124,16922,2112,532,37,145,657,990,182,69,70,4,15064,90,412
76,27,38.0,20378,18291,2033,613,39,105,777,780,223,126,73,2,16259,54,402
77,28,38.0,15909,13777,2052,624,77,144,793,825,196,99,69,4,11605,80,405
78,24,34.0,15744,13937,1726,535,18,89,583,735,140,25,106,5,12134,81,362
79,31,38.0,20571,18451,1983,568,62,147,657,809,221,97,80,1,16366,137,401
80,26,38.0,19027,17044,1910,423,56,169,800,862,227,130,65,7,14336,73,423
81,29,38.0,15961,13830,2040,688,15,152,727,728,175,49,88,3,12213,91,367
82,30,38.0,14569,12544,1938,460,33,111,598,875,136,73,46,11,10122,87,320
83,25,38.0,16942,14846,2020,498,63,207,776,909,183,78,94,1,12776,76,353
84,26,34.0,16172,14329,1771,488,10,76,610,773,142,59,74,2,12150,72,374
85,26,38.0,17437,15500,1899,472,23,141,694,825,150,99,36,2,13223,38,347
86,27,38.0,18605,16432,2102,601,30,214,612,917,173,72,52,3,14584,71,431
87,25,38.0,23695,21612,1995,483,83,196,825,948,246,95,89,7,19284,88,437
88,25,38.0,15755,13527,2153,622,28,126,822,932,177,97,62,4,11368,75,404
89,25,38.0,16326,14215,2048,519,38,139,689,910,165,75,49,2,12006,63,390
90,27,38.0,16838,14802,1976,468,32,129,711,890,175,70,75,2,12720,60,358
91,25,38.0,18004,16054,1867,596,49,193,605,682,202,60,88,6,14289,83,311
92,32,38.0,18797,16834,1852,552,57,183,517,707,179,66,38,5,14995,111,319
93,29,38.0,17513,15484,1955,484,27,138,713,926,183,92,62,2,12758,74,438
94,25,34.0,16175,14285,1821,507,9,181,655,803,181,71,86,4,12065,69,485
95,24,38.0,15004,13059,1866,394,34,96,784,855,176,122,32,11,10495,79,348
96,27,38.0,16197,14112,1988,482,51,134,733,900,161,98,37,5,11779,97,396
97,29,34.0,16577,14824,1696,542,9,184,556,654,131,56,61,4,12870,57,364
