,Player,Nation,Pos,Squad,Comp,Age,Born,Playing Time - MP,Playing Time - Min,Playing Time - Mn/MP,Playing Time - Min%,Playing Time - 90s,Starts - Starts,Starts - Mn/Start,Starts - Compl,Subs - Subs,Subs - Mn/Sub,Subs - unSub,Team Success - PPM,Team Success - onG,Team Success - onGA,Team Success - +/-,Team Success - +/-90,Team Success - On-Off
217,Leon Balogun,NGA,DF,Mainz 05,de Bundesliga,28.0,1988.0,17.0,1023.0,60.0,33.4,11.4,13.0,,10.0,4.0,,7.0,1.24,18.0,23.0,-5.0,-0.44,-0.17
218,Mario Balotelli,ITA,FW,Nice,fr Ligue 1,25.0,1990.0,23.0,1741.0,76.0,50.9,19.3,20.0,,9.0,3.0,,0.0,1.96,32.0,21.0,11.0,0.57,-0.29
219,Abdoulaye Bamba,CIV,DF,Angers,fr Ligue 1,26.0,1990.0,8.0,593.0,74.0,17.3,6.6,7.0,,6.0,1.0,,1.0,2.0,14.0,8.0,6.0,0.91,1.39
220,Jonathan Bamba,FRA,FW,Angers,fr Ligue 1,20.0,1996.0,16.0,833.0,52.0,24.4,9.3,9.0,,2.0,7.0,,2.0,1.31,16.0,12.0,4.0,0.43,0.88
221,Patrick Bamford,GBR,FW,Middlesbrough,eng Premier League,22.0,1993.0,8.0,287.0,36.0,8.4,3.2,2.0,,2.0,6.0,,3.0,0.25,1.0,7.0,-6.0,-1.88,-1.31
222,Patrick Bamford,GBR,"FW,MF",Burnley,eng Premier League,22.0,1993.0,6.0,39.0,7.0,1.1,0.4,0.0,,0.0,6.0,,7.0,0.67,1.0,1.0,0.0,0.0,0.43
223,Yacine Bammou,MAR,"FW,MF",Nantes,fr Ligue 1,24.0,1991.0,32.0,1778.0,56.0,52.0,19.8,18.0,,6.0,14.0,,4.0,1.28,18.0,28.0,-10.0,-0.51,-0.29
224,Éver Banega,ARG,MF,Inter,it Serie A,28.0,1988.0,28.0,1555.0,56.0,45.5,17.3,20.0,,6.0,8.0,,8.0,1.71,35.0,22.0,13.0,0.75,0.27
225,Patrick Banggaard,DNK,DF,Darmstadt 98,de Bundesliga,22.0,1994.0,9.0,810.0,90.0,26.5,9.0,9.0,,9.0,0.0,,5.0,1.11,9.0,14.0,-5.0,-0.56,0.64
226,Léo Baptistão,BRA,"FW,MF",Espanyol,es La Liga,23.0,1992.0,21.0,1424.0,68.0,41.6,15.8,16.0,79.0,7.0,5.0,33.0,0.0,1.48,22.0,19.0,3.0,0.19,0.37
