,Squad,Comp,# Pl,90s,SCA - SCA,SCA - SCA90,SCA Types - PassLive,SCA Types - PassDead,SCA Types - Drib,SCA Types - Sh,SCA Types - Fld,SCA Types - Def,GCA - GCA,GCA - GCA90,GCA Types - PassLive,GCA Types - PassDead,GCA Types - Drib,GCA Types - Sh,GCA Types - Fld,GCA Types - Def
10,Bayern Munich,Bundesliga,29.0,34.0,1107.0,32.56,853.0,72.0,70.0,56.0,34.0,22.0,174.0,5.12,138.0,7.0,11.0,7.0,9.0,2.0
11,Betis,La Liga,27.0,38.0,836.0,22.0,605.0,60.0,76.0,37.0,38.0,20.0,75.0,1.97,50.0,4.0,6.0,7.0,6.0,2.0
12,Bologna,Serie A,31.0,38.0,966.0,25.42,716.0,68.0,62.0,47.0,50.0,23.0,87.0,2.29,53.0,4.0,10.0,10.0,7.0,3.0
13,Bordeaux,Ligue 1,26.0,28.0,531.0,18.96,349.0,53.0,32.0,28.0,43.0,26.0,65.0,2.32,33.0,9.0,7.0,7.0,6.0,3.0
14,Bournemouth,Premier League,27.0,38.0,671.0,17.66,465.0,70.0,34.0,37.0,47.0,18.0,65.0,1.71,36.0,6.0,7.0,8.0,6.0,2.0
15,Brescia,Serie A,32.0,38.0,734.0,19.32,478.0,87.0,27.0,50.0,70.0,22.0,59.0,1.55,36.0,8.0,0.0,6.0,7.0,2.0
16,Brest,Ligue 1,24.0,28.0,586.0,20.93,441.0,47.0,19.0,23.0,24.0,32.0,62.0,2.21,44.0,5.0,1.0,5.0,1.0,6.0
17,Brighton,Premier League,25.0,38.0,808.0,21.26,591.0,73.0,39.0,47.0,40.0,18.0,66.0,1.74,42.0,9.0,5.0,2.0,5.0,3.0
18,Burnley,Premier League,22.0,38.0,672.0,17.68,455.0,82.0,27.0,44.0,45.0,19.0,72.0,1.89,47.0,9.0,4.0,6.0,3.0,3.0
19,Cagliari,Serie A,33.0,38.0,777.0,20.45,566.0,68.0,49.0,32.0,32.0,30.0,81.0,2.13,60.0,5.0,3.0,6.0,4.0,3.0
20,Celta Vigo,La Liga,30.0,38.0,657.0,17.29,470.0,51.0,40.0,37.0,43.0,16.0,68.0,1.79,43.0,3.0,8.0,5.0,8.0,1.0
21,Chelsea,Premier League,27.0,38.0,1123.0,29.55,844.0,86.0,55.0,64.0,52.0,22.0,123.0,3.24,85.0,6.0,10.0,9.0,10.0,3.0
22,Crystal Palace,Premier League,25.0,38.0,635.0,16.71,412.0,68.0,54.0,34.0,46.0,21.0,50.0,1.32,34.0,3.0,4.0,3.0,5.0,1.0
23,Dijon,Ligue 1,28.0,28.0,585.0,20.89,384.0,74.0,46.0,32.0,30.0,19.0,42.0,1.5,30.0,2.0,3.0,6.0,1.0,0.0
24,Dortmund,Bundesliga,27.0,34.0,792.0,23.29,592.0,59.0,54.0,43.0,29.0,15.0,156.0,4.59,129.0,5.0,13.0,6.0,2.0,1.0
25,Düsseldorf,Bundesliga,28.0,34.0,746.0,21.94,484.0,87.0,52.0,40.0,59.0,24.0,63.0,1.85,45.0,6.0,4.0,4.0,4.0,0.0
26,Eibar,La Liga,26.0,38.0,718.0,18.89,445.0,97.0,40.0,55.0,49.0,32.0,66.0,1.74,37.0,7.0,5.0,6.0,8.0,3.0
27,Eint Frankfurt,Bundesliga,27.0,34.0,874.0,25.71,596.0,95.0,63.0,60.0,39.0,21.0,99.0,2.91,59.0,16.0,6.0,13.0,2.0,3.0
28,Espanyol,La Liga,31.0,38.0,700.0,18.42,462.0,82.0,37.0,45.0,50.0,24.0,45.0,1.18,26.0,5.0,2.0,6.0,3.0,3.0
29,Everton,Premier League,24.0,38.0,802.0,21.11,527.0,86.0,47.0,69.0,51.0,22.0,68.0,1.79,45.0,4.0,4.0,9.0,3.0,3.0
30,Fiorentina,Serie A,33.0,38.0,974.0,25.63,669.0,92.0,60.0,59.0,70.0,24.0,82.0,2.16,47.0,8.0,6.0,11.0,9.0,1.0
31,Freiburg,Bundesliga,26.0,34.0,788.0,23.18,509.0,87.0,50.0,56.0,67.0,19.0,73.0,2.15,36.0,9.0,5.0,8.0,15.0,0.0
32,Genoa,Serie A,34.0,38.0,752.0,19.79,531.0,59.0,39.0,51.0,48.0,24.0,80.0,2.11,52.0,4.0,5.0,6.0,10.0,3.0
