,Player,Squad,90s,Performance - CrdY,Performance - CrdR,Performance - 2CrdY,Performance - Fls,Performance - Fld,Performance - Off,Performance - Crs,Performance - Int,Performance - TklW,Performance - PKwon,Performance - PKcon,Performance - OG,Performance - Recov,Aerial Duels - Won,Aerial Duels - Lost,Aerial Duels - Won%
161,Paulo Azzi,Cagliari,4.7,2,0,0,5,3,0,22,5,9,0,0,0,24,6,5,54.5
162,Papa Ba,Girona,0.5,0,0,0,1,4,0,1,0,1,0,0,0,1,0,0,0.0
163,Shavy Babicka,Toulouse,4.4,1,0,0,9,7,2,11,0,7,0,0,0,19,1,3,25.0
164,Aliou Badara Balde,Bochum,1.0,1,0,0,1,0,2,4,0,1,0,0,0,3,0,2,0.0
165,Loic Bade,Sevilla,8.2,2,0,0,9,0,0,2,9,11,0,0,0,33,22,11,66.7
166,Milan Badelj,Genoa,7.5,0,0,0,6,9,0,5,8,4,0,0,0,29,7,2,77.8
167,Benoit Badiashile,Chelsea,0.4,0,0,0,2,1,0,0,1,1,0,0,0,1,2,0,100.0
168,Alex Baena,Villarreal,9.2,3,0,0,14,15,4,65,8,3,0,0,0,45,7,8,46.7
169,Leon Bailey,Aston Villa,5.6,2,0,0,6,8,2,14,1,0,0,0,0,28,2,3,40.0
170,Eric Bailly,Villarreal,5.9,2,0,0,6,1,0,0,6,2,0,1,0,16,8,7,53.3
171,Theo Bair,Auxerre,3.6,1,0,0,8,2,6,3,0,1,0,0,0,3,15,14,51.7
172,Cedric Bakambu,Betis,2.4,0,0,0,2,1,3,2,0,0,0,0,0,2,3,12,20.0
173,Mitchel Bakker,Atalanta,0.2,0,0,0,1,0,0,1,0,0,0,0,0,2,1,1,50.0
174,Mitchel Bakker,Lille,2.3,0,0,0,3,1,0,10,7,6,0,0,0,8,1,3,25.0
175,Ridle Baku,Wolfsburg,8.0,1,0,0,10,6,1,22,9,6,0,0,0,42,3,11,21.4
176,Dilane Bakwa,Strasbourg,10.6,0,0,0,4,35,2,50,4,6,0,0,0,33,6,4,60.0
177,Tommaso Baldanzi,Roma,3.8,1,0,0,4,8,0,4,4,1,0,0,0,23,1,1,50.0
178,Alejandro Balde,Barcelona,10.1,0,0,0,6,25,0,25,5,4,0,0,0,36,7,5,58.3
179,Carlos Baleba,Brighton,6.9,1,0,0,12,12,0,1,15,11,0,1,0,46,9,6,60.0
180,Leonardo Balerdi,Marseille,7.0,4,1,1,6,5,0,0,8,10,0,0,1,30,8,4,66.7
182,Ivan Balliu,Rayo Vallecano,6.6,2,0,0,9,4,0,8,6,8,0,0,0,21,7,13,35.0
183,Botond Balogh,Parma,10.7,2,0,0,5,5,0,0,11,7,0,0,0,32,15,12,55.6
184,Folarin Balogun,Monaco,4.5,0,0,0,3,6,4,3,0,0,0,0,0,4,1,11,8.3
185,Mario Balotelli,Genoa,0.3,2,0,0,2,2,0,1,0,0,0,0,0,0,1,1,50.0
186,Abdoulaye Bamba,Angers,2.8,1,0,0,2,2,0,1,5,2,0,0,0,6,3,1,75.0
187,Jonathan Bamba,Celta Vigo,6.3,1,0,0,6,12,3,16,4,5,0,0,0,37,5,7,41.7
188,Mohamed Bamba,Reims,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0
189,Samuel Bamba,Bochum,0.1,0,0,0,0,0,1,3,0,0,0,0,0,1,1,1,50.0
190,Lameck Banda,Lecce,5.6,1,0,0,8,18,2,21,1,4,0,0,0,21,2,11,15.4
191,Daniel Bandeira,Hellas Verona,3.3,0,0,0,1,3,0,8,6,0,0,0,0,30,5,3,62.5
192,Mattia Bani,Genoa,4.0,1,0,0,2,2,1,0,8,1,0,0,0,11,6,9,40.0
193,Scott Banks,St. Pauli,0.6,1,0,0,2,2,0,1,1,0,0,0,0,2,1,3,25.0
194,Antonin Barak,Fiorentina,0.6,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0.0
195,Federico Barba,Como,2.7,0,0,0,2,1,0,1,3,1,0,0,0,11,4,6,40.0
196,Valentin Barco,Sevilla,3.1,0,0,0,6,5,0,22,2,9,0,0,0,16,0,2,0.0
197,Bradley Barcola,Paris S-G,8.3,0,0,0,10,8,2,9,4,6,0,0,0,23,6,4,60.0
198,Melvin Bard,Nice,5.2,2,0,0,5,5,0,10,4,7,0,0,0,26,2,7,22.2
199,Nicolo Barella,Inter,8.2,1,0,0,8,14,0,25,3,8,0,0,0,47,6,6,50.0
200,Gabriel Bares,Montpellier,0.4,0,0,0,0,1,0,1,1,2,0,0,0,1,0,1,0.0
201,Ross Barkley,Aston Villa,3.1,3,0,0,5,0,0,0,3,2,0,0,0,18,2,1,66.7
202,Aymen Barkok,Mainz 05,0.8,0,0,0,2,1,0,5,2,1,0,0,0,4,2,5,28.6
203,Harvey Barnes,Newcastle Utd,5.5,0,0,0,6,7,1,11,4,4,0,0,0,20,2,3,40.0
204,Enzo Barrenechea,Valencia,3.8,2,0,0,5,9,0,1,4,1,1,0,0,13,8,2,80.0
205,Ander Barrenetxea,Real Sociedad,4.9,1,0,0,11,6,1,13,5,8,0,1,0,28,4,3,57.1
206,Pablo Barrios,Atlético Madrid,7.0,1,0,0,9,5,0,9,12,8,0,0,0,39,10,3,76.9
