,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tackles - Tkl,Tackles - TklW,Tackles - Def 3rd,Tackles - Mid 3rd,Tackles - Att 3rd,Challenges - Tkl,Challenges - Att,Challenges - Tkl%,Challenges - Lost,Blocks - Blocks,Blocks - Sh,Blocks - Pass,Int,Tkl+Int,Clr,Err
21,Martin Agirregabiria,es ESP,DF,Alavés,La Liga,25.0,1996.0,18.0,34.0,22.0,17.0,11.0,6.0,18.0,37.0,48.6,19.0,20.0,3.0,17.0,25.0,59.0,38.0,0.0
22,Julen Agirrezabala,es ESP,GK,Athletic Club,La Liga,20.0,2000.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
23,Lucien Agoume,fr FRA,MF,Brest,Ligue 1,19.0,2002.0,20.8,51.0,31.0,24.0,20.0,7.0,23.0,45.0,51.1,22.0,30.0,9.0,21.0,52.0,103.0,27.0,1.0
24,Kevin Agudelo,co COL,"MF,FW",Spezia,Serie A,22.0,1998.0,13.7,44.0,26.0,13.0,26.0,5.0,7.0,20.0,35.0,13.0,22.0,0.0,22.0,8.0,52.0,6.0,0.0
26,Nayef Aguerd,ma MAR,DF,Rennes,Ligue 1,25.0,1996.0,30.4,27.0,18.0,16.0,11.0,0.0,14.0,24.0,58.3,10.0,24.0,14.0,10.0,24.0,51.0,127.0,1.0
27,Sergio Agüero,ar ARG,FW,Barcelona,La Liga,33.0,1988.0,1.7,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
28,Ruben Aguilar,fr FRA,DF,Monaco,Ligue 1,28.0,1993.0,23.8,78.0,53.0,39.0,32.0,7.0,43.0,68.0,63.2,25.0,19.0,4.0,15.0,44.0,122.0,57.0,0.0
29,Álvaro Aguirre,es ESP,FW,Rayo Vallecano,La Liga,21.0,2000.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Naouirou Ahamada,fr FRA,"MF,DF",Stuttgart,Bundesliga,19.0,2002.0,0.7,1.0,0.0,1.0,0.0,0.0,1.0,3.0,33.3,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
31,Anel Ahmedhodzic,ba BIH,DF,Bordeaux,Ligue 1,22.0,1999.0,15.0,38.0,26.0,27.0,9.0,2.0,20.0,31.0,64.5,11.0,16.0,8.0,8.0,22.0,60.0,44.0,0.0
32,Jean-Eudes Aholou,ci CIV,MF,Strasbourg,Ligue 1,27.0,1994.0,11.2,16.0,9.0,4.0,9.0,3.0,5.0,19.0,26.3,14.0,8.0,1.0,7.0,19.0,35.0,7.0,0.0
33,Joseph Aidoo,gh GHA,DF,Celta Vigo,La Liga,25.0,1995.0,29.3,39.0,26.0,28.0,10.0,1.0,17.0,31.0,54.8,14.0,23.0,13.0,10.0,38.0,77.0,96.0,3.0
34,Ola Aina,ng NGA,DF,Torino,Serie A,24.0,1996.0,16.0,27.0,19.0,11.0,10.0,6.0,15.0,23.0,65.2,8.0,17.0,3.0,14.0,28.0,55.0,30.0,0.0
35,Rayan Aït Nouri,dz ALG,"DF,MF",Wolves,Premier League,20.0,2001.0,20.3,64.0,36.0,46.0,15.0,3.0,22.0,44.0,50.0,22.0,24.0,2.0,22.0,22.0,86.0,39.0,1.0
36,Kristoffer Ajer,no NOR,DF,Brentford,Premier League,23.0,1998.0,22.2,29.0,18.0,21.0,6.0,2.0,13.0,21.0,61.9,8.0,19.0,11.0,8.0,26.0,55.0,74.0,0.0
37,Ludovic Ajorque,fr FRA,FW,Strasbourg,Ligue 1,27.0,1994.0,30.4,36.0,25.0,5.0,19.0,12.0,7.0,40.0,17.5,33.0,28.0,3.0,25.0,8.0,44.0,31.0,1.0
38,Manuel Akanji,ch SUI,DF,Dortmund,Bundesliga,26.0,1995.0,25.1,33.0,23.0,20.0,11.0,2.0,22.0,32.0,68.8,10.0,26.0,15.0,11.0,35.0,68.0,58.0,0.0
39,Carlos Akapo,gq EQG,DF,Cádiz,La Liga,28.0,1993.0,20.5,43.0,31.0,26.0,15.0,2.0,21.0,37.0,56.8,16.0,26.0,7.0,19.0,51.0,94.0,61.0,0.0
40,Marley Aké,fr FRA,"FW,MF",Juventus,Serie A,20.0,2001.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
41,Nathan Aké,nl NED,DF,Manchester City,Premier League,26.0,1995.0,10.3,16.0,9.0,7.0,8.0,1.0,6.0,8.0,75.0,2.0,7.0,5.0,2.0,8.0,24.0,23.0,0.0
42,Ilias Akhomach,es ESP,FW,Barcelona,La Liga,17.0,2004.0,1.4,2.0,0.0,0.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
43,Maghnes Akliouche,fr FRA,"MF,FW",Monaco,Ligue 1,19.0,2002.0,0.6,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0
44,Paul Akouokou,ci CIV,MF,Betis,La Liga,23.0,1997.0,5.7,14.0,9.0,5.0,7.0,2.0,8.0,12.0,66.7,4.0,6.0,0.0,6.0,11.0,25.0,6.0,0.0
45,Jean-Daniel Akpa-Akpro,ci CIV,MF,Lazio,Serie A,28.0,1992.0,3.5,17.0,10.0,7.0,9.0,1.0,7.0,12.0,58.3,5.0,4.0,2.0,2.0,2.0,19.0,6.0,0.0
46,Kevin Akpoguma,ng NGA,"DF,FW",Hoffenheim,Bundesliga,26.0,1995.0,17.0,33.0,19.0,16.0,11.0,6.0,16.0,28.0,57.1,12.0,32.0,2.0,30.0,20.0,53.0,29.0,2.0
47,David Alaba,at AUT,DF,Real Madrid,La Liga,29.0,1992.0,29.4,23.0,13.0,15.0,6.0,2.0,9.0,19.0,47.4,10.0,26.0,15.0,11.0,22.0,45.0,70.0,1.0
48,Sofiane Alakouch,ma MAR,"DF,MF",Metz,Ligue 1,23.0,1998.0,1.8,7.0,4.0,3.0,4.0,0.0,2.0,5.0,40.0,3.0,4.0,0.0,4.0,1.0,8.0,4.0,0.0
49,Tomás Alarcón,cl CHI,MF,Cádiz,La Liga,22.0,1999.0,15.8,31.0,20.0,17.0,10.0,4.0,10.0,31.0,32.3,21.0,19.0,7.0,12.0,30.0,61.0,31.0,0.0
50,Lucas Alario,ar ARG,FW,Leverkusen,Bundesliga,28.0,1992.0,7.3,6.0,5.0,0.0,2.0,4.0,2.0,5.0,40.0,3.0,5.0,0.0,5.0,1.0,7.0,6.0,0.0
52,Jordi Alba,es ESP,DF,Barcelona,La Liga,32.0,1989.0,29.4,47.0,34.0,12.0,26.0,9.0,27.0,47.0,57.4,20.0,26.0,6.0,20.0,33.0,80.0,41.0,1.0
53,Josué Albert,gf GUF,DF,Clermont Foot,Ligue 1,29.0,1992.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0
54,Luis Alberto,es ESP,MF,Lazio,Serie A,28.0,1992.0,26.1,29.0,17.0,8.0,11.0,10.0,8.0,52.0,15.4,44.0,32.0,4.0,28.0,13.0,42.0,7.0,0.0
55,Raúl Albiol,es ESP,DF,Villarreal,La Liga,35.0,1985.0,27.4,26.0,15.0,20.0,5.0,1.0,14.0,18.0,77.8,4.0,24.0,15.0,9.0,21.0,47.0,126.0,1.0
56,Marc Albrighton,eng ENG,"FW,DF",Leicester City,Premier League,31.0,1989.0,12.6,31.0,19.0,16.0,9.0,6.0,10.0,47.0,21.3,37.0,15.0,3.0,12.0,14.0,45.0,20.0,0.0
57,Paco Alcácer,es ESP,FW,Villarreal,La Liga,27.0,1993.0,8.7,9.0,3.0,2.0,4.0,3.0,1.0,5.0,20.0,4.0,7.0,0.0,7.0,6.0,15.0,1.0,0.0
58,Thiago Alcántara,es ESP,MF,Liverpool,Premier League,30.0,1991.0,17.0,48.0,29.0,14.0,24.0,10.0,10.0,42.0,23.8,32.0,22.0,2.0,20.0,26.0,74.0,13.0,2.0
59,Rubén Alcaraz,es ESP,MF,Cádiz,La Liga,30.0,1991.0,12.3,41.0,20.0,14.0,24.0,3.0,22.0,45.0,48.9,23.0,10.0,2.0,8.0,13.0,54.0,14.0,0.0
60,Omar Alderete,py PAR,DF,Valencia,La Liga,24.0,1996.0,26.7,53.0,34.0,34.0,17.0,2.0,34.0,53.0,64.2,19.0,30.0,18.0,12.0,35.0,88.0,153.0,0.0
61,Iván Alejo,es ESP,"MF,FW",Cádiz,La Liga,26.0,1995.0,11.8,33.0,15.0,21.0,10.0,2.0,15.0,44.0,34.1,29.0,12.0,0.0,12.0,8.0,41.0,17.0,0.0
62,Doğan Alemdar,tr TUR,GK,Rennes,Ligue 1,18.0,2002.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0
63,Carles Aleñá,es ESP,MF,Getafe,La Liga,23.0,1998.0,25.8,27.0,19.0,11.0,13.0,3.0,9.0,48.0,18.8,39.0,21.0,2.0,19.0,15.0,42.0,16.0,0.0
64,Trent Alexander-Arnold,eng ENG,DF,Liverpool,Premier League,22.0,1998.0,31.7,40.0,23.0,19.0,13.0,8.0,27.0,60.0,45.0,33.0,22.0,4.0,18.0,43.0,83.0,40.0,0.0
65,Mohamed Ali Cho,fr FRA,FW,Angers,Ligue 1,17.0,2004.0,20.4,10.0,5.0,1.0,4.0,5.0,5.0,17.0,29.4,12.0,17.0,1.0,16.0,8.0,18.0,0.0,1.0
66,Alisson,br BRA,GK,Liverpool,Premier League,28.0,1992.0,36.0,3.0,1.0,3.0,0.0,0.0,3.0,5.0,60.0,2.0,1.0,0.0,1.0,0.0,3.0,28.0,1.0
67,Allan,br BRA,MF,Everton,Premier League,30.0,1991.0,24.3,74.0,44.0,28.0,39.0,7.0,34.0,105.0,32.4,71.0,40.0,9.0,31.0,23.0,97.0,39.0,1.0
68,Jim Allevinah,ga GAB,FW,Clermont Foot,Ligue 1,26.0,1995.0,16.5,18.0,13.0,8.0,8.0,2.0,5.0,18.0,27.8,13.0,11.0,0.0,11.0,6.0,24.0,4.0,0.0
69,Dele Alli,eng ENG,MF,Tottenham,Premier League,25.0,1996.0,7.3,14.0,8.0,10.0,3.0,1.0,5.0,17.0,29.4,12.0,22.0,5.0,17.0,6.0,20.0,16.0,0.0
70,Dele Alli,eng ENG,"MF,FW",Everton,Premier League,25.0,1996.0,3.8,7.0,2.0,3.0,4.0,0.0,0.0,4.0,0.0,4.0,7.0,2.0,5.0,6.0,13.0,10.0,0.0
71,Miguel Almirón,py PAR,"MF,FW",Newcastle Utd,Premier League,27.0,1994.0,19.1,47.0,29.0,23.0,17.0,7.0,11.0,44.0,25.0,33.0,14.0,1.0,13.0,20.0,67.0,13.0,0.0
72,Marcos Alonso,es ESP,DF,Chelsea,Premier League,30.0,1990.0,24.1,41.0,29.0,20.0,12.0,9.0,17.0,36.0,47.2,19.0,29.0,5.0,24.0,43.0,84.0,53.0,0.0
73,Giorgio Altare,it ITA,DF,Cagliari,Serie A,22.0,1998.0,16.3,39.0,28.0,18.0,18.0,3.0,21.0,26.0,80.8,5.0,17.0,5.0,12.0,30.0,69.0,70.0,0.0
74,Hugo Álvarez,es ESP,FW,Celta Vigo,La Liga,18.0,2003.0,0.1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
75,Yeray Álvarez,es ESP,DF,Athletic Club,La Liga,26.0,1995.0,20.7,24.0,14.0,15.0,8.0,1.0,10.0,18.0,55.6,8.0,21.0,16.0,5.0,45.0,69.0,97.0,0.0
76,Dani Alves,br BRA,DF,Barcelona,La Liga,38.0,1983.0,12.2,30.0,19.0,13.0,13.0,4.0,14.0,26.0,53.8,12.0,10.0,3.0,7.0,11.0,41.0,10.0,2.0
78,Steven Alzate,co COL,MF,Brighton,Premier League,22.0,1998.0,4.5,10.0,4.0,4.0,5.0,1.0,4.0,7.0,57.1,3.0,2.0,1.0,1.0,10.0,20.0,10.0,0.0
79,Ibrahim Amadou,fr FRA,"DF,MF",Metz,Ligue 1,28.0,1993.0,9.0,16.0,8.0,10.0,6.0,0.0,8.0,15.0,53.3,7.0,4.0,2.0,2.0,14.0,30.0,26.0,0.0
80,Emmanuel Amankwaa Akurugu,gh GHA,DF,Getafe,La Liga,19.0,2001.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
81,Daniel Amartey,gh GHA,DF,Leicester City,Premier League,26.0,1994.0,23.6,26.0,13.0,19.0,7.0,0.0,19.0,29.0,65.5,10.0,30.0,22.0,8.0,21.0,47.0,93.0,4.0
82,Amath,sn SEN,"FW,MF",Mallorca,La Liga,25.0,1996.0,9.8,21.0,11.0,11.0,6.0,4.0,7.0,17.0,41.2,10.0,12.0,0.0,12.0,7.0,28.0,7.0,0.0
83,Jordan Amavi,fr FRA,DF,Nice,Ligue 1,27.0,1994.0,4.6,16.0,10.0,8.0,7.0,1.0,10.0,17.0,58.8,7.0,3.0,1.0,2.0,15.0,31.0,7.0,0.0
84,Jordan Amavi,fr FRA,"DF,FW",Marseille,Ligue 1,27.0,1994.0,1.4,6.0,5.0,3.0,1.0,2.0,5.0,10.0,50.0,5.0,1.0,0.0,1.0,1.0,7.0,3.0,0.0
85,Wisdom Amey,it ITA,DF,Bologna,Serie A,15.0,2005.0,0.8,3.0,2.0,1.0,1.0,1.0,2.0,3.0,66.7,1.0,2.0,0.0,2.0,3.0,6.0,1.0,0.0
86,Kelvin Amian,fr FRA,DF,Spezia,Serie A,23.0,1998.0,29.4,66.0,42.0,43.0,18.0,5.0,30.0,41.0,73.2,11.0,39.0,21.0,18.0,32.0,98.0,75.0,0.0
87,Nadiem Amiri,de GER,"MF,FW",Genoa,Serie A,24.0,1996.0,7.6,6.0,4.0,2.0,2.0,2.0,2.0,9.0,22.2,7.0,7.0,0.0,7.0,0.0,6.0,0.0,0.0
88,Nadiem Amiri,de GER,"MF,FW",Leverkusen,Bundesliga,24.0,1996.0,4.1,8.0,4.0,3.0,2.0,3.0,4.0,8.0,50.0,4.0,4.0,2.0,2.0,5.0,13.0,0.0,0.0
89,Ethan Ampadu,wls WAL,"MF,DF",Venezia,Serie A,20.0,2000.0,25.4,67.0,43.0,37.0,27.0,3.0,24.0,58.0,41.4,34.0,49.0,19.0,30.0,51.0,118.0,76.0,0.0
90,Sofyan Amrabat,ma MAR,MF,Fiorentina,Serie A,24.0,1996.0,10.5,24.0,13.0,9.0,13.0,2.0,11.0,19.0,57.9,8.0,25.0,8.0,17.0,5.0,29.0,6.0,1.0
91,Joachim Andersen,dk DEN,DF,Crystal Palace,Premier League,25.0,1996.0,32.4,30.0,23.0,21.0,9.0,0.0,16.0,27.0,59.3,11.0,29.0,19.0,10.0,37.0,67.0,125.0,3.0
92,Felipe Anderson,br BRA,FW,Lazio,Serie A,28.0,1993.0,32.1,71.0,45.0,30.0,33.0,8.0,27.0,99.0,27.3,72.0,65.0,6.0,59.0,20.0,91.0,16.0,0.0
93,Sebastian Andersson,se SWE,FW,Köln,Bundesliga,30.0,1991.0,14.0,11.0,7.0,0.0,3.0,8.0,3.0,9.0,33.3,6.0,8.0,0.0,8.0,3.0,14.0,14.0,0.0
94,Florin Andone,ro ROU,FW,Cádiz,La Liga,28.0,1993.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0,0.0,1.0,1.0,0.0
95,Andrés Andrade Cedeño,pa PAN,DF,Arminia,Bundesliga,22.0,1998.0,11.6,27.0,16.0,18.0,8.0,1.0,17.0,35.0,48.6,18.0,16.0,7.0,9.0,19.0,46.0,44.0,0.0
96,Benjamin André,fr FRA,MF,Lille,Ligue 1,30.0,1990.0,30.6,123.0,69.0,49.0,65.0,9.0,51.0,113.0,45.1,62.0,49.0,11.0,38.0,50.0,173.0,56.0,0.0
97,Fredrik André Bjørkan,no NOR,DF,Hertha BSC,Bundesliga,22.0,1998.0,3.9,12.0,10.0,7.0,4.0,1.0,7.0,9.0,77.8,2.0,6.0,2.0,4.0,6.0,18.0,8.0,0.0
98,Robert Andrich,de GER,MF,Leverkusen,Bundesliga,26.0,1994.0,20.2,33.0,17.0,18.0,14.0,1.0,14.0,28.0,50.0,14.0,19.0,7.0,12.0,31.0,64.0,46.0,0.0
99,José Ángel,es ESP,DF,Osasuna,La Liga,31.0,1989.0,12.0,20.0,13.0,9.0,9.0,2.0,9.0,14.0,64.3,5.0,6.0,1.0,5.0,10.0,30.0,21.0,0.0
100,Angeliño,es ESP,DF,RB Leipzig,Bundesliga,24.0,1997.0,25.5,28.0,21.0,14.0,13.0,1.0,14.0,30.0,46.7,16.0,24.0,3.0,21.0,29.0,57.0,40.0,0.0
101,Ebenezer Annan,gh GHA,DF,Bologna,Serie A,18.0,2002.0,0.3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0
102,Cristian Ansaldi,ar ARG,DF,Torino,Serie A,34.0,1986.0,7.7,20.0,9.0,11.0,7.0,2.0,10.0,13.0,76.9,3.0,9.0,1.0,8.0,6.0,26.0,10.0,0.0
104,Janis Antiste,fr FRA,FW,Spezia,Serie A,18.0,2002.0,8.8,18.0,11.0,6.0,6.0,6.0,5.0,13.0,38.5,8.0,7.0,1.0,6.0,4.0,22.0,6.0,0.0
105,Waldemar Anton,de GER,DF,Stuttgart,Bundesliga,25.0,1996.0,28.8,40.0,26.0,22.0,15.0,3.0,19.0,32.0,59.4,13.0,27.0,16.0,11.0,32.0,72.0,116.0,1.0
106,Josep Antoni Gayá,es ESP,DF,Mallorca,La Liga,21.0,2000.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,1.0,1.0,3.0,1.0
107,Michail Antonio,jm JAM,FW,West Ham,Premier League,31.0,1990.0,33.0,23.0,17.0,5.0,9.0,9.0,7.0,18.0,38.9,11.0,19.0,1.0,18.0,3.0,26.0,13.0,0.0
108,Christopher Antwi-Adjei,gh GHA,"FW,MF",Bochum,Bundesliga,27.0,1994.0,12.6,21.0,18.0,7.0,8.0,6.0,6.0,26.0,23.1,20.0,12.0,0.0,12.0,1.0,22.0,8.0,0.0
109,Houssem Aouar,fr FRA,"MF,FW",Lyon,Ligue 1,23.0,1998.0,27.8,46.0,30.0,9.0,25.0,12.0,27.0,54.0,50.0,27.0,26.0,1.0,25.0,20.0,66.0,5.0,0.0
110,Adil Aouchiche,fr FRA,"MF,FW",Saint-Étienne,Ligue 1,19.0,2002.0,12.0,13.0,6.0,5.0,5.0,3.0,5.0,33.0,15.2,28.0,18.0,1.0,17.0,17.0,30.0,4.0,0.0
111,Dennis Appiah,fr FRA,DF,Nantes,Ligue 1,29.0,1992.0,23.3,55.0,34.0,35.0,18.0,2.0,28.0,48.0,58.3,20.0,30.0,13.0,17.0,27.0,82.0,74.0,0.0
112,Mauro Arambarri,uy URU,MF,Getafe,La Liga,25.0,1995.0,29.6,62.0,37.0,19.0,32.0,11.0,20.0,68.0,29.4,48.0,35.0,5.0,30.0,32.0,94.0,18.0,0.0
113,Mattia Aramu,it ITA,"MF,FW",Venezia,Serie A,26.0,1995.0,23.3,20.0,15.0,5.0,9.0,6.0,8.0,33.0,24.2,25.0,20.0,2.0,18.0,8.0,28.0,19.0,0.0
114,Charles Aránguiz,cl CHI,MF,Leverkusen,Bundesliga,32.0,1989.0,17.5,45.0,25.0,18.0,21.0,6.0,22.0,52.0,42.3,30.0,24.0,4.0,20.0,33.0,78.0,21.0,0.0
115,Néstor Araujo,mx MEX,DF,Celta Vigo,La Liga,29.0,1991.0,29.1,22.0,14.0,17.0,5.0,0.0,9.0,21.0,42.9,12.0,17.0,10.0,7.0,27.0,49.0,105.0,2.0
116,Ronald Araújo,uy URU,DF,Barcelona,La Liga,22.0,1999.0,25.2,41.0,23.0,29.0,12.0,0.0,21.0,25.0,84.0,4.0,37.0,20.0,17.0,23.0,64.0,66.0,1.0
117,Cameron Archer,eng ENG,"FW,MF",Aston Villa,Premier League,20.0,2001.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,Alphonse Areola,fr FRA,GK,West Ham,Premier League,28.0,1993.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
119,Jesús Areso,es ESP,DF,Osasuna,La Liga,22.0,1999.0,2.1,3.0,3.0,2.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0
120,Matias Arezo,uy URU,"FW,MF",Granada,La Liga,18.0,2002.0,1.8,5.0,3.0,2.0,1.0,2.0,4.0,9.0,44.4,5.0,1.0,0.0,1.0,1.0,6.0,1.0,0.0
121,Santiago Arias,co COL,DF,Granada,La Liga,29.0,1992.0,4.9,12.0,5.0,8.0,3.0,1.0,4.0,9.0,44.4,5.0,8.0,4.0,4.0,5.0,17.0,10.0,0.0
122,Adam Armstrong,eng ENG,FW,Southampton,Premier League,24.0,1997.0,15.7,10.0,4.0,2.0,2.0,6.0,0.0,6.0,0.0,6.0,13.0,1.0,12.0,3.0,13.0,6.0,0.0
123,Stuart Armstrong,sct SCO,MF,Southampton,Premier League,29.0,1992.0,16.4,27.0,19.0,15.0,6.0,6.0,9.0,23.0,39.1,14.0,10.0,1.0,9.0,8.0,35.0,15.0,0.0
124,Marko Arnautović,at AUT,FW,Bologna,Serie A,32.0,1989.0,29.9,17.0,9.0,1.0,11.0,5.0,7.0,30.0,23.3,23.0,13.0,2.0,11.0,7.0,24.0,17.0,0.0
125,Maximilian Arnold,de GER,MF,Wolfsburg,Bundesliga,27.0,1994.0,33.3,37.0,20.0,19.0,16.0,2.0,20.0,50.0,40.0,30.0,43.0,15.0,28.0,37.0,74.0,55.0,0.0
126,Kepa Arrizabalaga,es ESP,GK,Chelsea,Premier League,26.0,1994.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
127,Tolgay Arslan,de GER,MF,Udinese,Serie A,30.0,1990.0,18.4,35.0,20.0,15.0,16.0,4.0,19.0,50.0,38.0,31.0,17.0,4.0,13.0,13.0,48.0,23.0,1.0
128,Arthur,br BRA,FW,Fiorentina,Serie A,23.0,1998.0,8.3,9.0,5.0,2.0,5.0,2.0,4.0,7.0,57.1,3.0,4.0,1.0,3.0,1.0,10.0,8.0,0.0
