,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Standard - Gls,Standard - Sh,Standard - SoT,Standard - SoT%,Standard - Sh/90,Standard - SoT/90,Standard - G/Sh,Standard - G/SoT,Standard - Dist,Standard - PK,Standard - PKatt
27,Youssef Adnane,fr FRA,FW,Evian,Ligue 1,27.0,1985.0,8.0,2.0,,10.0,,,1.26,,0.2,,0.0,0.0
28,Adrián,es ESP,GK,Betis,La Liga,25.0,1987.0,31.9,0.0,,0.0,,,0.0,,,,0.0,0.0
29,Adriano,br BRA,"DF,MF",Barcelona,La Liga,27.0,1984.0,15.9,5.0,,9.0,,,0.57,,0.56,,0.0,0.0
30,Aritz Aduriz,es ESP,FW,Athletic Club,La Liga,31.0,1981.0,28.3,14.0,,34.0,,,1.2,,0.38,,1.0,2.0
31,Luis Advíncula,pe PER,"DF,MF",Hoffenheim,Bundesliga,22.0,1990.0,0.8,0.0,,0.0,,,0.0,,,,0.0,0.0
32,Ibrahim Afellay,nl NED,"FW,MF",Schalke 04,Bundesliga,26.0,1986.0,6.9,2.0,,11.0,,,1.59,,0.18,,0.0,0.0
33,Kossi Agassa,tg TOG,GK,Reims,Ligue 1,34.0,1978.0,32.5,0.0,,0.0,,,0.0,,,,0.0,0.0
34,Michael Agazzi,it ITA,GK,Cagliari,Serie A,28.0,1984.0,34.4,0.0,,0.0,,,0.0,,,,0.0,0.0
35,Gabby Agbonlahor,eng ENG,"FW,MF",Aston Villa,Premier League,25.0,1986.0,24.3,9.0,,22.0,,,0.91,,0.41,,0.0,0.0
36,Daniel Agger,dk DEN,DF,Liverpool,Premier League,27.0,1984.0,34.4,3.0,,11.0,,,0.32,,0.27,,0.0,0.0
37,Imanol Agirretxe,es ESP,FW,Real Sociedad,La Liga,25.0,1987.0,22.9,13.0,,43.0,,,1.88,,0.3,,0.0,0.0
38,Federico Agliardi,it ITA,GK,Bologna,Serie A,29.0,1983.0,21.1,0.0,,0.0,,,0.0,,,,0.0,0.0
39,Salvador Agra,pt POR,"FW,MF",Siena,Serie A,20.0,1991.0,3.4,0.0,,1.0,,,0.29,,0.0,,0.0,0.0
40,Salvador Agra,pt POR,"FW,MF",Betis,La Liga,20.0,1991.0,5.6,1.0,,3.0,,,0.53,,0.33,,0.0,0.0
41,Tarsicio Aguado,es ESP,MF,Zaragoza,La Liga,17.0,1994.0,0.7,0.0,,0.0,,,0.0,,,,0.0,0.0
42,Sergio Agüero,ar ARG,FW,Manchester City,Premier League,24.0,1988.0,21.6,12.0,,41.0,,,1.9,,0.24,,2.0,2.0
43,Abel Aguilar,co COL,MF,La Coruña,La Liga,27.0,1985.0,26.8,3.0,,11.0,,,0.41,,0.27,,0.0,0.0
44,Kemy Agustien,cw CUW,"DF,MF",Swansea City,Premier League,25.0,1986.0,6.4,0.0,,3.0,,,0.47,,0.0,,0.0,0.0
45,Emmanuel Agyemang-Badu,gh GHA,MF,Udinese,Serie A,21.0,1990.0,17.1,0.0,,7.0,,,0.41,,0.0,,0.0,0.0
46,Ali Ahamada,km COM,GK,Toulouse,Ligue 1,20.0,1991.0,35.0,1.0,,1.0,,,0.03,,1.0,,0.0,0.0
47,Karim El Ahmadi,ma MAR,MF,Aston Villa,Premier League,27.0,1985.0,13.1,1.0,,4.0,,,0.31,,0.25,,0.0,0.0
48,Said Ahmed Said,it ITA,FW,Genoa,Serie A,19.0,1993.0,1.4,1.0,,1.0,,,0.71,,1.0,,0.0,0.0
49,Stefan Aigner,de GER,"FW,MF",Eint Frankfurt,Bundesliga,24.0,1987.0,31.2,9.0,,16.0,,,0.51,,0.56,,0.0,0.0
50,Karim Aït-Fana,ma MAR,"FW,MF",Montpellier,Ligue 1,23.0,1989.0,3.1,0.0,,3.0,,,0.95,,0.0,,0.0,0.0
52,Nathan Aké,nl NED,"DF,MF",Chelsea,Premier League,17.0,1995.0,1.0,0.0,,0.0,,,0.0,,,,0.0,0.0
53,Jean-Daniel Akpa-Akpro,ci CIV,"DF,MF",Toulouse,Ligue 1,19.0,1992.0,14.4,1.0,,2.0,,,0.14,,0.5,,0.0,0.0
54,Joseph Akpala,ng NGA,FW,Werder Bremen,Bundesliga,25.0,1986.0,5.2,1.0,,2.0,,,0.39,,0.5,,0.0,0.0
55,Hope Akpan,ng NGA,MF,Reading,Premier League,20.0,1991.0,5.2,0.0,,0.0,,,0.0,,,,0.0,0.0
56,David Alaba,at AUT,"DF,MF",Bayern Munich,Bundesliga,20.0,1992.0,22.1,3.0,,13.0,,,0.59,,0.08,,2.0,3.0
57,Javi Álamo,es ESP,"FW,MF",Zaragoza,La Liga,23.0,1988.0,0.9,0.0,,0.0,,,0.0,,,,0.0,0.0
58,Jordi Alba,es ESP,"DF,MF",Barcelona,La Liga,23.0,1989.0,27.7,2.0,,3.0,,,0.11,,0.67,,0.0,0.0
59,David Albelda,es ESP,"DF,MF",Valencia,La Liga,34.0,1977.0,13.2,0.0,,1.0,,,0.08,,0.0,,0.0,0.0
60,Raúl Albiol,es ESP,DF,Real Madrid,La Liga,26.0,1985.0,15.3,1.0,,4.0,,,0.26,,0.25,,0.0,0.0
61,Marc Albrighton,eng ENG,"DF,FW",Aston Villa,Premier League,22.0,1989.0,4.8,0.0,,1.0,,,0.21,,0.0,,0.0,0.0
62,Tim Albutat,de GER,MF,Freiburg,Bundesliga,19.0,1992.0,0.0,0.0,,0.0,,,0.0,,,,0.0,0.0
63,Paco Alcácer,es ESP,FW,Getafe,La Liga,18.0,1993.0,7.7,3.0,,11.0,,,1.43,,0.27,,0.0,0.0
64,Thiago Alcántara,es ESP,MF,Barcelona,La Liga,21.0,1991.0,15.7,2.0,,7.0,,,0.45,,0.29,,0.0,0.0
65,Antolín Alcaraz,py PAR,DF,Wigan Athletic,Premier League,30.0,1982.0,7.7,0.0,,2.0,,,0.26,,0.0,,0.0,0.0
66,Pablo Alcolea,es ESP,GK,Zaragoza,La Liga,23.0,1989.0,1.1,0.0,,0.0,,,0.0,,,,0.0,0.0
67,Danijel Aleksić,rs SRB,"FW,MF",Saint-Étienne,Ligue 1,21.0,1991.0,0.5,0.0,,2.0,,,4.0,,0.0,,0.0,0.0
68,Romain Alessandrini,fr FRA,"FW,MF",Rennes,Ligue 1,23.0,1989.0,17.4,10.0,,36.0,,,2.07,,0.28,,0.0,0.0
69,Alex,br BRA,DF,Paris S-G,Ligue 1,30.0,1982.0,22.9,2.0,,10.0,,,0.44,,0.2,,0.0,0.0
70,Alexis,es ESP,DF,Getafe,La Liga,26.0,1985.0,25.0,3.0,,8.0,,,0.32,,0.38,,0.0,0.0
71,Alejandro Alfaro,es ESP,"FW,MF",Mallorca,La Liga,25.0,1986.0,14.5,6.0,,14.0,,,0.97,,0.43,,0.0,0.0
72,Christian Alfonso,es ESP,MF,Espanyol,La Liga,23.0,1989.0,3.5,0.0,,0.0,,,0.0,,,,0.0,0.0
73,Jérémie Aliadière,fr FRA,"FW,MF",Lorient,Ligue 1,29.0,1983.0,29.4,15.0,,56.0,,,1.9,,0.23,,2.0,2.0
74,Felipe Aliste Lopes,br BRA,DF,Wolfsburg,Bundesliga,24.0,1987.0,0.2,0.0,,0.0,,,0.0,,,,0.0,0.0
75,Felipe Aliste Lopes,br BRA,DF,Stuttgart,Bundesliga,24.0,1987.0,3.0,0.0,,0.0,,,0.0,,,,0.0,0.0
76,Allan,br BRA,"DF,MF",Udinese,Serie A,21.0,1991.0,33.8,0.0,,5.0,,,0.15,,0.0,,0.0,0.0
78,Joe Allen,wls WAL,MF,Liverpool,Premier League,22.0,1990.0,21.3,0.0,,1.0,,,0.05,,0.0,,0.0,0.0
79,Robert Almer,at AUT,GK,Düsseldorf,Bundesliga,28.0,1984.0,0.1,0.0,,0.0,,,0.0,,,,0.0,0.0
80,Sergio Almirón,ar ARG,MF,Catania,Serie A,31.0,1980.0,21.6,4.0,,12.0,,,0.55,,0.33,,0.0,0.0
81,Paul Alo'o,cm CMR,FW,Nancy,Ligue 1,28.0,1983.0,13.7,3.0,,18.0,,,1.31,,0.17,,0.0,1.0
82,Alejandro Alonso,ar ARG,MF,Saint-Étienne,Ligue 1,30.0,1982.0,2.2,0.0,,1.0,,,0.45,,0.0,,0.0,0.0
83,Xabi Alonso,es ESP,MF,Real Madrid,La Liga,30.0,1981.0,23.9,0.0,,3.0,,,0.13,,0.0,,0.0,1.0
84,Cristian Álvarez,ar ARG,GK,Espanyol,La Liga,26.0,1985.0,17.7,0.0,,0.0,,,0.0,,,,0.0,0.0
85,Pablo Álvarez,ar ARG,DF,Catania,Serie A,28.0,1984.0,24.4,0.0,,0.0,,,0.0,,,,0.0,0.0
86,Ricky Álvarez,ar ARG,MF,Inter,Serie A,24.0,1988.0,13.1,5.0,,14.0,,,1.07,,0.29,,1.0,2.0
87,Sergio Álvarez,es ESP,GK,Celta Vigo,La Liga,25.0,1986.0,2.0,0.0,,0.0,,,0.0,,,,0.0,0.0
88,Víctor Álvarez,es ESP,"DF,MF",Espanyol,La Liga,19.0,1993.0,12.7,0.0,,3.0,,,0.24,,0.0,,0.0,0.0
89,Dani Alves,br BRA,"DF,MF",Barcelona,La Liga,29.0,1983.0,25.2,0.0,,8.0,,,0.32,,0.0,,0.0,0.0
90,Diego Alves,br BRA,GK,Valencia,La Liga,27.0,1985.0,24.0,0.0,,0.0,,,0.0,,,,0.0,0.0
91,Ibrahim Amadou,fr FRA,"DF,MF",Nancy,Ligue 1,19.0,1993.0,0.0,0.0,,0.0,,,0.0,,,,0.0,0.0
92,Morgan Amalfitano,fr FRA,MF,Marseille,Ligue 1,27.0,1985.0,18.2,1.0,,10.0,,,0.55,,0.1,,0.0,0.0
93,Jordi Amat,id IDN,DF,Rayo Vallecano,La Liga,20.0,1992.0,24.4,1.0,,2.0,,,0.08,,0.5,,0.0,0.0
94,Amauri,it ITA,FW,Parma,Serie A,32.0,1980.0,25.1,10.0,,49.0,,,1.95,,0.18,,1.0,1.0
95,Antonio Amaya,es ESP,DF,Betis,La Liga,29.0,1983.0,26.1,0.0,,3.0,,,0.11,,0.0,,0.0,0.0
96,Massimo Ambrosini,it ITA,MF,Milan,Serie A,35.0,1977.0,13.7,0.0,,4.0,,,0.29,,0.0,,0.0,0.0
97,Marco Amelia,it ITA,GK,Milan,Serie A,30.0,1982.0,10.8,0.0,,0.0,,,0.0,,,,0.0,0.0
98,Sammy Ameobi,eng ENG,"FW,MF",Newcastle Utd,Premier League,20.0,1992.0,2.6,0.0,,1.0,,,0.38,,0.0,,0.0,0.0
99,Shola Ameobi,ng NGA,FW,Newcastle Utd,Premier League,30.0,1981.0,7.6,1.0,,12.0,,,1.57,,0.08,,0.0,0.0
100,Fernando Amorebieta,ve VEN,DF,Athletic Club,La Liga,27.0,1985.0,9.8,0.0,,1.0,,,0.1,,0.0,,0.0,0.0
101,Álvaro Ampuero,pe PER,"DF,MF",Parma,Serie A,19.0,1992.0,3.3,0.0,,1.0,,,0.3,,0.0,,0.0,0.0
102,Mohamed Amsif,ma MAR,GK,Augsburg,Bundesliga,23.0,1989.0,17.0,0.0,,0.0,,,0.0,,,,0.0,0.0
104,Stephan Andersen,dk DEN,GK,Evian,Ligue 1,30.0,1981.0,8.9,0.0,,0.0,,,0.0,,,,0.0,0.0
105,Anderson,br BRA,MF,Manchester Utd,Premier League,24.0,1988.0,9.2,1.0,,3.0,,,0.33,,0.33,,0.0,0.0
106,Benjamin André,fr FRA,"DF,MF",Ajaccio,Ligue 1,21.0,1990.0,18.9,0.0,,5.0,,,0.27,,0.0,,0.0,0.0
107,Leon Andreasen,dk DEN,"DF,MF",Hannover 96,Bundesliga,29.0,1983.0,2.9,2.0,,3.0,,,1.04,,0.67,,0.0,0.0
108,Marco Andreolli,it ITA,DF,Chievo,Serie A,26.0,1986.0,27.7,2.0,,3.0,,,0.11,,0.67,,0.0,0.0
109,Mariano Andújar,ar ARG,GK,Catania,Serie A,29.0,1983.0,34.0,0.0,,0.0,,,0.0,,,,0.0,0.0
110,Nicolas Anelka,fr FRA,FW,Juventus,Serie A,33.0,1979.0,0.5,0.0,,0.0,,,0.0,,,,0.0,0.0
111,Juan Ángel Albín,uy URU,"FW,MF",Espanyol,La Liga,26.0,1986.0,2.5,1.0,,5.0,,,2.0,,0.2,,0.0,0.0
112,José Ángel,es ESP,DF,Real Sociedad,La Liga,22.0,1989.0,2.8,0.0,,2.0,,,0.73,,0.0,,0.0,0.0
113,Miguel Ángel Moyá,es ESP,GK,Getafe,La Liga,28.0,1984.0,31.1,0.0,,0.0,,,0.0,,,,0.0,0.0
114,Gabriele Angella,it ITA,DF,Udinese,Serie A,23.0,1989.0,11.9,4.0,,7.0,,,0.59,,0.57,,0.0,0.0
115,Ângelo,br BRA,"DF,MF",Siena,Serie A,31.0,1981.0,24.3,1.0,,2.0,,,0.08,,0.5,,0.0,0.0
116,Benjamin Angoua,ci CIV,DF,Valenciennes,Ligue 1,25.0,1986.0,23.4,0.0,,0.0,,,0.0,,,,0.0,0.0
117,Aldo Angoula,fr FRA,DF,Evian,Ligue 1,31.0,1981.0,18.7,1.0,,4.0,,,0.21,,0.25,,0.0,0.0
118,Gaël Angoula,fr FRA,"DF,MF",Bastia,Ligue 1,30.0,1982.0,14.5,0.0,,1.0,,,0.07,,0.0,,0.0,0.0
119,Brayan Angulo,co COL,"DF,MF",Granada,La Liga,22.0,1989.0,6.5,1.0,,1.0,,,0.15,,1.0,,0.0,0.0
120,Victor Anichebe,ng NGA,FW,Everton,Premier League,24.0,1988.0,19.0,6.0,,33.0,,,1.73,,0.18,,0.0,0.0
121,Kévin Anin,fr FRA,MF,Nice,Ligue 1,26.0,1986.0,10.1,1.0,,2.0,,,0.2,,0.5,,0.0,0.0
122,Vurnon Anita,cw CUW,"DF,MF",Newcastle Utd,Premier League,23.0,1989.0,19.3,0.0,,4.0,,,0.21,,0.0,,0.0,0.0
123,Anthony Annan,gh GHA,MF,Osasuna,La Liga,26.0,1986.0,4.2,0.0,,1.0,,,0.24,,0.0,,0.0,0.0
124,Ion Ansotegi,es ESP,DF,Real Sociedad,La Liga,30.0,1982.0,4.1,0.0,,1.0,,,0.24,,0.0,,0.0,0.0
125,Mirco Antenucci,it ITA,FW,Catania,Serie A,27.0,1984.0,0.2,0.0,,0.0,,,0.0,,,,0.0,0.0
126,Luca Antonelli,it ITA,"DF,MF",Genoa,Serie A,25.0,1987.0,31.2,1.0,,3.0,,,0.1,,0.33,,0.0,0.0
127,Luca Antonini,it ITA,"DF,MF",Milan,Serie A,29.0,1982.0,4.7,0.0,,0.0,,,0.0,,,,0.0,0.0
128,Juan Antonio,ar ARG,"FW,MF",Sampdoria,Serie A,24.0,1988.0,0.1,0.0,,1.0,,,9.0,,0.0,,0.0,0.0
130,Marcos Antônio,br BRA,DF,Nürnberg,Bundesliga,29.0,1983.0,0.2,0.0,,0.0,,,0.0,,,,0.0,0.0
131,José Antonio Reyes,es ESP,MF,Sevilla,La Liga,28.0,1983.0,18.3,4.0,,18.0,,,0.98,,0.22,,0.0,0.0
132,Mikael Antonsson,se SWE,DF,Bologna,Serie A,31.0,1981.0,30.3,0.0,,1.0,,,0.03,,0.0,,0.0,0.0
133,Vitorino Antunes,pt POR,DF,Málaga,La Liga,25.0,1987.0,10.5,1.0,,4.0,,,0.38,,0.25,,0.0,0.0
134,Dennis Aogo,de GER,"DF,MF",Hamburger SV,Bundesliga,25.0,1987.0,21.7,2.0,,8.0,,,0.37,,0.25,,0.0,0.0
135,Dudu Aouate,il ISR,GK,Mallorca,La Liga,34.0,1977.0,34.7,0.0,,0.0,,,0.0,,,,0.0,0.0
136,Onyekachi Apam,ng NGA,DF,Rennes,Ligue 1,25.0,1986.0,8.3,0.0,,0.0,,,0.0,,,,0.0,0.0
137,Apoño,es ESP,MF,Zaragoza,La Liga,28.0,1984.0,28.4,9.0,,20.0,,,0.71,,0.1,,7.0,7.0
138,Fabrice Apruzesse,fr FRA,FW,Marseille,Ligue 1,27.0,1985.0,0.2,0.0,,0.0,,,0.0,,,,0.0,0.0
139,Alberto Aquilani,it ITA,MF,Fiorentina,Serie A,28.0,1984.0,18.5,7.0,,23.0,,,1.25,,0.3,,0.0,1.0
140,Dani Aquino,es ESP,"FW,MF",Atlético Madrid,La Liga,22.0,1990.0,0.0,0.0,,0.0,,,0.0,,,,0.0,0.0
141,Youssef El-Arabi,ma MAR,FW,Granada,La Liga,25.0,1987.0,22.0,8.0,,24.0,,,1.09,,0.29,,1.0,1.0
142,Manuel Arana,es ESP,MF,Rayo Vallecano,La Liga,27.0,1984.0,0.2,0.0,,0.0,,,0.0,,,,0.0,0.0
143,Carlos Aranda,es ESP,FW,Zaragoza,La Liga,32.0,1980.0,4.7,0.0,,5.0,,,1.07,,0.0,,0.0,0.0
144,Carlos Aranda,es ESP,FW,Granada,La Liga,32.0,1980.0,9.7,1.0,,5.0,,,0.52,,0.2,,0.0,0.0
145,Juan Arango,ve VEN,MF,M'Gladbach,Bundesliga,32.0,1980.0,30.2,5.0,,29.0,,,0.96,,0.17,,0.0,0.0
146,Daniel Aranzubia,es ESP,GK,La Coruña,La Liga,32.0,1979.0,34.3,0.0,,0.0,,,0.0,,,,0.0,0.0
147,Álvaro Arbeloa,es ESP,DF,Real Madrid,La Liga,29.0,1983.0,23.0,0.0,,2.0,,,0.09,,0.0,,0.0,0.0
148,Anaitz Arbilla,es ESP,DF,Rayo Vallecano,La Liga,25.0,1987.0,8.8,0.0,,3.0,,,0.34,,0.0,,0.0,0.0
149,Alphonse Areola,fr FRA,GK,Paris S-G,Ligue 1,19.0,1993.0,1.1,0.0,,0.0,,,0.0,,,,0.0,0.0
150,Egidio Arévalo,uy URU,MF,Palermo,Serie A,30.0,1982.0,22.4,2.0,,3.0,,,0.13,,0.67,,0.0,0.0
151,Lorenzo Ariaudo,it ITA,DF,Cagliari,Serie A,23.0,1989.0,15.7,0.0,,0.0,,,0.0,,,,0.0,0.0
152,Javier Arizmendi,es ESP,"FW,MF",Mallorca,La Liga,28.0,1984.0,9.0,2.0,,6.0,,,0.67,,0.33,,0.0,0.0
153,Sylvain Armand,fr FRA,DF,Paris S-G,Ligue 1,31.0,1980.0,11.6,0.0,,0.0,,,0.0,,,,0.0,0.0
154,Emiliano Armenteros,ar ARG,MF,Osasuna,La Liga,26.0,1986.0,29.0,3.0,,29.0,,,1.0,,0.1,,0.0,0.0
156,Pablo Armero,co COL,"DF,MF",Udinese,Serie A,25.0,1986.0,8.4,0.0,,0.0,,,0.0,,,,0.0,0.0
157,Pablo Armero,co COL,"DF,MF",Napoli,Serie A,25.0,1986.0,6.5,0.0,,2.0,,,0.31,,0.0,,0.0,0.0
158,Marko Arnautović,at AUT,"FW,MF",Werder Bremen,Bundesliga,23.0,1989.0,21.7,5.0,,29.0,,,1.34,,0.17,,0.0,0.0
159,John Arne Riise,no NOR,"DF,MF",Fulham,Premier League,31.0,1980.0,28.1,0.0,,10.0,,,0.36,,0.0,,0.0,0.0
160,Maximilian Arnold,de GER,MF,Wolfsburg,Bundesliga,18.0,1994.0,4.5,3.0,,4.0,,,0.9,,0.75,,0.0,0.0
161,Salvatore Aronica,it ITA,DF,Napoli,Serie A,34.0,1978.0,2.4,0.0,,2.0,,,0.83,,0.0,,0.0,0.0
162,Salvatore Aronica,it ITA,DF,Palermo,Serie A,34.0,1978.0,14.9,0.0,,0.0,,,0.0,,,,0.0,0.0
163,Alejandro Arribas,es ESP,DF,Osasuna,La Liga,23.0,1989.0,30.5,2.0,,7.0,,,0.23,,0.29,,0.0,0.0
164,Andrey Arshavin,ru RUS,"FW,MF",Arsenal,Premier League,31.0,1981.0,1.0,0.0,,0.0,,,0.0,,,,0.0,0.0
165,Tolgay Arslan,de GER,MF,Hamburger SV,Bundesliga,21.0,1990.0,18.4,0.0,,4.0,,,0.22,,0.0,,0.0,0.0
166,Mikel Arteta,es ESP,MF,Arsenal,Premier League,30.0,1982.0,33.1,6.0,,11.0,,,0.33,,0.09,,5.0,6.0
167,Aythami Artiles,es ESP,DF,La Coruña,La Liga,26.0,1986.0,24.1,0.0,,4.0,,,0.17,,0.0,,0.0,0.0
168,Gerald Asamoah,de GER,"FW,MF",Greuther Fürth,Bundesliga,33.0,1978.0,11.1,0.0,,5.0,,,0.45,,0.0,,0.0,0.0
169,Kwadwo Asamoah,gh GHA,"DF,MF",Juventus,Serie A,23.0,1988.0,21.9,2.0,,6.0,,,0.27,,0.33,,0.0,0.0
170,Sergio Asenjo,es ESP,GK,Atlético Madrid,La Liga,23.0,1989.0,1.0,0.0,,0.0,,,0.0,,,,0.0,0.0
171,Iago Aspas,es ESP,"FW,MF",Celta Vigo,La Liga,24.0,1987.0,31.0,12.0,,51.0,,,1.65,,0.18,,3.0,3.0
172,Oussama Assaidi,ma MAR,"FW,MF",Liverpool,Premier League,23.0,1988.0,0.9,0.0,,0.0,,,0.0,,,,0.0,0.0
173,Benoît Assou-Ekotto,cm CMR,DF,Tottenham,Premier League,28.0,1984.0,12.7,1.0,,4.0,,,0.32,,0.25,,0.0,0.0
174,Paulo Assunção,br BRA,MF,La Coruña,La Liga,32.0,1980.0,6.9,0.0,,0.0,,,0.0,,,,0.0,0.0
175,Davide Astori,it ITA,DF,Cagliari,Serie A,25.0,1987.0,30.7,0.0,,2.0,,,0.07,,0.0,,0.0,0.0
176,Pierre-Emerick Aubameyang,ga GAB,"FW,MF",Saint-Étienne,Ligue 1,23.0,1989.0,35.7,19.0,,86.0,,,2.41,,0.21,,1.0,2.0
177,Fabien Audard,fr FRA,GK,Lorient,Ligue 1,34.0,1978.0,33.6,0.0,,0.0,,,0.0,,,,0.0,0.0
178,Renato Augusto,br BRA,MF,Leverkusen,Bundesliga,24.0,1988.0,1.1,0.0,,1.0,,,0.93,,0.0,,0.0,0.0
179,Błażej Augustyn,pl POL,DF,Catania,Serie A,24.0,1988.0,0.4,0.0,,0.0,,,0.0,,,,0.0,0.0
180,André Auras,fr FRA,MF,Brest,Ligue 1,21.0,1991.0,4.2,0.0,,1.0,,,0.24,,0.0,,0.0,0.0
182,Serge Aurier,ci CIV,"DF,MF",Toulouse,Ligue 1,19.0,1992.0,27.7,1.0,,6.0,,,0.22,,0.17,,0.0,0.0
183,Jon Aurtenetxe,es ESP,DF,Athletic Club,La Liga,20.0,1992.0,22.4,1.0,,3.0,,,0.13,,0.33,,0.0,0.0
184,Mathias Autret,fr FRA,MF,Lorient,Ligue 1,21.0,1991.0,6.3,0.0,,1.0,,,0.16,,0.0,,0.0,0.0
185,Danilo Avelar,br BRA,"DF,MF",Cagliari,Serie A,23.0,1989.0,18.5,0.0,,6.0,,,0.32,,0.0,,0.0,0.0
186,Vlada Avramov,rs SRB,GK,Cagliari,Serie A,33.0,1979.0,3.6,0.0,,0.0,,,0.0,,,,0.0,0.0
187,Thomas Ayasse,fr FRA,MF,Nancy,Ligue 1,25.0,1987.0,13.0,2.0,,4.0,,,0.31,,0.5,,0.0,0.0
188,Okan Aydın,tr TUR,"FW,MF",Leverkusen,Bundesliga,18.0,1994.0,0.1,0.0,,1.0,,,8.18,,0.0,,0.0,0.0
189,André Ayew,gh GHA,"FW,MF",Marseille,Ligue 1,22.0,1989.0,34.5,9.0,,44.0,,,1.28,,0.18,,1.0,2.0
190,Jordan Ayew,gh GHA,"FW,MF",Marseille,Ligue 1,20.0,1991.0,22.0,7.0,,23.0,,,1.05,,0.3,,0.0,0.0
191,Floyd Ayité,tg TOG,"FW,MF",Reims,Ligue 1,23.0,1988.0,14.2,2.0,,10.0,,,0.7,,0.2,,0.0,0.0
192,Jonathan Ayité,tg TOG,FW,Brest,Ligue 1,27.0,1985.0,11.1,2.0,,12.0,,,1.08,,0.08,,1.0,1.0
