,Squad,Comp,# Pl,90s,Att,Pass Types - Live,Pass Types - Dead,Pass Types - FK,Pass Types - TB,Pass Types - Sw,Pass Types - Crs,Pass Types - TI,Pass Types - CK,Corner Kicks - In,Corner Kicks - Out,Corner Kicks - Str,Outcomes - Cmp,Outcomes - Off,Outcomes - Blocks
48,Liverpool,Premier League,24.0,38.0,25891.0,23952.0,1886.0,440.0,68.0,283.0,896.0,879.0,257.0,63.0,125.0,2.0,21276.0,53.0,343.0
49,Lyon,Ligue 1,27.0,28.0,15983.0,14622.0,1335.0,353.0,39.0,114.0,495.0,604.0,129.0,68.0,27.0,1.0,13273.0,26.0,218.0
50,M'Gladbach,Bundesliga,25.0,34.0,17974.0,16127.0,1756.0,488.0,52.0,107.0,570.0,742.0,172.0,90.0,48.0,2.0,14321.0,91.0,305.0
51,Mainz 05,Bundesliga,25.0,34.0,13997.0,12153.0,1774.0,435.0,38.0,108.0,615.0,751.0,174.0,74.0,89.0,1.0,10245.0,70.0,249.0
52,Mallorca,La Liga,32.0,38.0,15636.0,13615.0,1963.0,577.0,18.0,119.0,682.0,793.0,171.0,64.0,60.0,0.0,11782.0,58.0,325.0
53,Manchester City,Premier League,24.0,38.0,28190.0,26549.0,1573.0,352.0,85.0,243.0,915.0,684.0,298.0,113.0,54.0,7.0,24557.0,68.0,329.0
54,Manchester Utd,Premier League,29.0,38.0,21725.0,19836.0,1833.0,466.0,64.0,171.0,635.0,822.0,204.0,86.0,63.0,11.0,17744.0,56.0,381.0
55,Marseille,Ligue 1,23.0,28.0,14767.0,13347.0,1397.0,381.0,37.0,132.0,499.0,648.0,151.0,49.0,73.0,1.0,11918.0,23.0,200.0
56,Metz,Ligue 1,24.0,28.0,12493.0,11124.0,1338.0,366.0,15.0,80.0,447.0,572.0,119.0,53.0,46.0,1.0,9568.0,31.0,203.0
57,Milan,Serie A,32.0,38.0,20701.0,18774.0,1864.0,548.0,41.0,178.0,713.0,746.0,208.0,85.0,78.0,0.0,17070.0,63.0,300.0
58,Monaco,Ligue 1,28.0,28.0,14506.0,13101.0,1361.0,404.0,52.0,104.0,510.0,541.0,132.0,44.0,67.0,1.0,11667.0,44.0,235.0
59,Montpellier,Ligue 1,27.0,28.0,12825.0,11351.0,1432.0,418.0,19.0,147.0,614.0,592.0,130.0,66.0,51.0,4.0,9713.0,42.0,257.0
60,Nantes,Ligue 1,29.0,28.0,13673.0,12190.0,1439.0,383.0,17.0,102.0,464.0,649.0,150.0,68.0,57.0,3.0,10578.0,44.0,233.0
61,Napoli,Serie A,25.0,38.0,24596.0,22677.0,1865.0,604.0,36.0,187.0,813.0,712.0,222.0,81.0,93.0,2.0,21173.0,54.0,340.0
62,Newcastle Utd,Premier League,28.0,38.0,14566.0,12726.0,1765.0,463.0,18.0,151.0,591.0,715.0,151.0,68.0,45.0,13.0,10606.0,75.0,304.0
63,Nice,Ligue 1,31.0,28.0,15644.0,14277.0,1345.0,401.0,24.0,120.0,395.0,519.0,131.0,51.0,51.0,3.0,13394.0,22.0,192.0
64,Nîmes,Ligue 1,28.0,28.0,11253.0,9597.0,1617.0,455.0,8.0,116.0,544.0,733.0,143.0,54.0,70.0,8.0,8100.0,39.0,225.0
65,Norwich City,Premier League,30.0,38.0,18869.0,16961.0,1858.0,461.0,47.0,124.0,473.0,773.0,162.0,75.0,77.0,2.0,14965.0,50.0,373.0
66,Osasuna,La Liga,31.0,38.0,15904.0,13788.0,2036.0,533.0,16.0,192.0,755.0,926.0,180.0,67.0,72.0,1.0,10959.0,80.0,316.0
67,Paderborn 07,Bundesliga,27.0,34.0,15172.0,13237.0,1873.0,422.0,21.0,172.0,572.0,885.0,176.0,80.0,69.0,2.0,11502.0,62.0,415.0
68,Paris S-G,Ligue 1,31.0,27.0,19009.0,17723.0,1229.0,317.0,89.0,113.0,520.0,514.0,181.0,90.0,39.0,4.0,16726.0,57.0,185.0
69,Parma,Serie A,25.0,38.0,15756.0,13796.0,1900.0,524.0,19.0,204.0,597.0,735.0,166.0,79.0,57.0,2.0,12193.0,60.0,275.0
70,RB Leipzig,Bundesliga,29.0,34.0,20063.0,18285.0,1700.0,466.0,48.0,117.0,628.0,738.0,188.0,92.0,67.0,1.0,16241.0,78.0,363.0
