,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Performance - CrdY,Performance - CrdR,Performance - 2CrdY,Performance - Fls,Performance - Fld,Performance - Off,Performance - Crs,Performance - Int,Performance - TklW,Performance - PKwon,Performance - PKcon,Performance - OG
13,Antonio Adán,es ESP,GK,Betis,La Liga,29.0,1987.0,37.0,5.0,0.0,0.0,1.0,3.0,0.0,0.0,5.0,1.0,0.0,1.0,0.0
14,Jordan Adéoti,bj BEN,DF,Caen,Ligue 1,27.0,1989.0,23.6,3.0,0.0,0.0,27.0,22.0,0.0,12.0,54.0,37.0,0.0,2.0,0.0
15,Claud Adjapong,it ITA,"DF,FW",Sassuolo,Serie A,18.0,1998.0,5.7,3.0,0.0,0.0,9.0,6.0,0.0,15.0,14.0,8.0,0.0,1.0,0.0
16,René Adler,de GER,GK,Hamburger SV,Bundesliga,31.0,1985.0,19.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
17,Ali Adnan Kadhim,iq IRQ,"DF,MF",Udinese,Serie A,22.0,1993.0,9.7,2.0,0.0,0.0,14.0,11.0,1.0,53.0,15.0,13.0,0.0,2.0,0.0
18,Albert Adomah,gh GHA,MF,Middlesbrough,Premier League,28.0,1987.0,1.4,0.0,0.0,0.0,3.0,2.0,0.0,9.0,2.0,4.0,0.0,0.0,0.0
19,Adrián,es ESP,GK,West Ham,Premier League,29.0,1987.0,16.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Luiz Adriano,br BRA,FW,Milan,Serie A,29.0,1987.0,1.4,0.0,0.0,0.0,4.0,4.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0
21,Aritz Aduriz,es ESP,FW,Athletic Club,La Liga,35.0,1981.0,27.3,8.0,1.0,1.0,38.0,58.0,18.0,23.0,4.0,10.0,2.0,0.0,0.0
22,Ibrahim Afellay,nl NED,MF,Stoke City,Premier League,30.0,1986.0,4.3,0.0,0.0,0.0,3.0,7.0,2.0,15.0,5.0,2.0,0.0,0.0,0.0
23,Akram Afif,qa QAT,MF,Sporting Gijón,La Liga,19.0,1996.0,2.6,2.0,0.0,0.0,3.0,9.0,1.0,4.0,2.0,7.0,0.0,0.0,0.0
24,Benik Afobe,cd COD,FW,Bournemouth,Premier League,23.0,1993.0,16.2,1.0,0.0,0.0,22.0,13.0,14.0,3.0,6.0,9.0,0.0,0.0,0.0
26,Sergio Agüero,ar ARG,FW,Manchester City,Premier League,28.0,1988.0,26.7,4.0,1.0,0.0,23.0,34.0,23.0,18.0,4.0,14.0,1.0,0.0,0.0
27,Dan Agyei,eng ENG,"FW,MF",Burnley,Premier League,19.0,1997.0,0.3,0.0,0.0,,1.0,,,,,,,,
28,Emmanuel Agyemang-Badu,gh GHA,MF,Udinese,Serie A,25.0,1990.0,22.6,2.0,0.0,0.0,27.0,40.0,2.0,37.0,40.0,21.0,0.0,1.0,0.0
29,Ola Aina,ng NGA,"DF,MF",Chelsea,Premier League,19.0,1996.0,0.3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Youssef Aït Bennasser,ma MAR,MF,Nancy,Ligue 1,20.0,1996.0,21.4,3.0,0.0,0.0,25.0,27.0,1.0,10.0,32.0,31.0,0.0,0.0,0.0
31,Rachid Aït-Atmane,dz ALG,MF,Sporting Gijón,La Liga,23.0,1993.0,5.5,3.0,0.0,0.0,7.0,12.0,0.0,4.0,6.0,10.0,0.0,0.0,0.0
32,Arlind Ajeti,al ALB,DF,Torino,Serie A,22.0,1993.0,2.8,1.0,0.0,0.0,8.0,3.0,0.0,0.0,3.0,3.0,0.0,0.0,1.0
33,Nathan Aké,nl NED,DF,Bournemouth,Premier League,21.0,1995.0,8.2,0.0,0.0,0.0,3.0,3.0,0.0,2.0,9.0,14.0,0.0,0.0,0.0
34,Nathan Aké,nl NED,DF,Chelsea,Premier League,21.0,1995.0,1.1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0
35,Jean-Daniel Akpa-Akpro,ci CIV,"DF,MF",Toulouse,Ligue 1,23.0,1992.0,0.8,1.0,0.0,0.0,4.0,3.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0
36,David Alaba,at AUT,DF,Bayern Munich,Bundesliga,24.0,1992.0,27.8,1.0,0.0,0.0,15.0,11.0,7.0,85.0,64.0,27.0,0.0,0.0,0.0
37,Javi Álamo,es ESP,"FW,MF",Osasuna,La Liga,27.0,1988.0,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
38,Jordi Alba,es ESP,DF,Barcelona,La Liga,27.0,1989.0,21.9,4.0,0.0,0.0,21.0,16.0,8.0,21.0,29.0,27.0,1.0,0.0,0.0
39,Raúl Albentosa,es ESP,DF,La Coruña,La Liga,27.0,1988.0,25.9,10.0,1.0,0.0,31.0,10.0,2.0,5.0,43.0,23.0,1.0,1.0,1.0
40,Luis Alberto,es ESP,"MF,FW",Lazio,Serie A,23.0,1992.0,4.1,0.0,0.0,0.0,2.0,3.0,1.0,34.0,5.0,2.0,0.0,0.0,0.0
41,Raúl Albiol,es ESP,DF,Napoli,Serie A,30.0,1985.0,25.5,8.0,0.0,0.0,22.0,12.0,1.0,4.0,22.0,24.0,0.0,1.0,0.0
42,Marc Albrighton,eng ENG,MF,Leicester City,Premier League,26.0,1989.0,26.8,5.0,0.0,0.0,21.0,20.0,2.0,212.0,38.0,45.0,0.0,0.0,0.0
43,Paco Alcácer,es ESP,FW,Barcelona,La Liga,22.0,1993.0,9.5,1.0,0.0,0.0,9.0,7.0,5.0,5.0,5.0,1.0,0.0,0.0,0.0
44,Paco Alcácer,es ESP,FW,Valencia,La Liga,22.0,1993.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
45,Thiago Alcántara,es ESP,MF,Bayern Munich,Bundesliga,25.0,1991.0,25.4,4.0,0.0,0.0,39.0,28.0,2.0,42.0,129.0,57.0,0.0,0.0,0.0
46,Toby Alderweireld,be BEL,DF,Tottenham,Premier League,27.0,1989.0,28.9,1.0,0.0,0.0,9.0,5.0,0.0,6.0,26.0,35.0,0.0,0.0,0.0
47,Haitam Aleesami,no NOR,"MF,DF",Palermo,Serie A,25.0,1991.0,29.2,6.0,0.0,0.0,38.0,19.0,5.0,98.0,45.0,39.0,0.0,1.0,0.0
48,Álex Alegría,es ESP,FW,Betis,La Liga,23.0,1992.0,16.0,2.0,0.0,0.0,43.0,54.0,9.0,4.0,5.0,5.0,0.0,0.0,0.0
49,Alexis Alegue,fr FRA,FW,Nantes,Ligue 1,19.0,1996.0,0.2,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
50,Carles Aleñá,es ESP,MF,Barcelona,La Liga,18.0,1998.0,0.5,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
52,Romain Alessandrini,fr FRA,"FW,MF",Marseille,Ligue 1,27.0,1989.0,2.7,1.0,0.0,0.0,3.0,1.0,1.0,17.0,1.0,1.0,0.0,0.0,0.0
53,Alexander,ar ARG,MF,Leganés,La Liga,27.0,1988.0,22.6,1.0,0.0,0.0,21.0,29.0,14.0,97.0,24.0,28.0,0.0,0.0,0.0
54,Trent Alexander-Arnold,eng ENG,"MF,DF",Liverpool,Premier League,17.0,1998.0,1.9,0.0,0.0,0.0,1.0,2.0,0.0,6.0,2.0,2.0,0.0,0.0,0.0
55,Alexis,es ESP,DF,Alavés,La Liga,30.0,1985.0,20.2,10.0,1.0,1.0,18.0,9.0,3.0,1.0,31.0,15.0,0.0,1.0,1.0
56,Jérémie Aliadière,fr FRA,FW,Lorient,Ligue 1,33.0,1983.0,5.4,0.0,0.0,0.0,10.0,5.0,8.0,18.0,2.0,2.0,0.0,0.0,0.0
57,Sami Allagui,tn TUN,"FW,MF",Hertha BSC,Bundesliga,30.0,1986.0,2.0,2.0,0.0,0.0,5.0,2.0,3.0,2.0,1.0,2.0,0.0,0.0,0.0
58,Allan,br BRA,MF,Napoli,Serie A,25.0,1991.0,17.9,3.0,0.0,0.0,25.0,31.0,0.0,23.0,24.0,51.0,0.0,0.0,0.0
59,Allan,br BRA,MF,Hertha BSC,Bundesliga,19.0,1997.0,8.9,3.0,0.0,0.0,14.0,11.0,0.0,4.0,36.0,19.0,0.0,0.0,0.0
60,Joe Allen,wls WAL,MF,Stoke City,Premier League,26.0,1990.0,32.6,9.0,0.0,0.0,29.0,59.0,0.0,51.0,63.0,52.0,1.0,0.0,0.0
61,Dele Alli,eng ENG,MF,Tottenham,Premier League,20.0,1996.0,33.7,4.0,0.0,0.0,50.0,76.0,11.0,22.0,13.0,40.0,4.0,0.0,0.0
62,Ryan Allsop,eng ENG,GK,Bournemouth,Premier League,24.0,1992.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,Júnior Alonso,py PAR,DF,Lille,Ligue 1,23.0,1993.0,10.7,1.0,0.0,0.0,12.0,3.0,1.0,1.0,26.0,11.0,0.0,0.0,1.0
64,Marcos Alonso,es ESP,MF,Chelsea,Premier League,25.0,1990.0,29.9,2.0,0.0,0.0,25.0,20.0,3.0,102.0,43.0,38.0,0.0,0.0,0.0
65,Marcos Alonso,es ESP,MF,Fiorentina,Serie A,25.0,1990.0,2.0,0.0,0.0,0.0,4.0,2.0,0.0,4.0,2.0,3.0,0.0,0.0,0.0
66,Xabi Alonso,es ESP,MF,Bayern Munich,Bundesliga,34.0,1981.0,21.1,6.0,0.0,0.0,30.0,28.0,0.0,44.0,63.0,43.0,0.0,1.0,0.0
67,Halil Altıntop,tr TUR,MF,Augsburg,Bundesliga,33.0,1982.0,17.8,1.0,0.0,0.0,14.0,32.0,4.0,24.0,18.0,16.0,0.0,0.0,0.0
68,Hamit Altıntop,tr TUR,MF,Darmstadt 98,Bundesliga,33.0,1982.0,15.1,3.0,0.0,0.0,14.0,16.0,0.0,9.0,44.0,37.0,0.0,1.0,0.0
69,Ricky Álvarez,ar ARG,MF,Sampdoria,Serie A,28.0,1988.0,11.0,3.0,1.0,0.0,24.0,20.0,0.0,70.0,14.0,12.0,0.0,0.0,0.0
70,Sergio Álvarez,es ESP,MF,Sporting Gijón,La Liga,24.0,1992.0,33.4,9.0,0.0,0.0,82.0,46.0,0.0,20.0,69.0,84.0,0.0,1.0,0.0
71,Sergio Álvarez,es ESP,GK,Celta Vigo,La Liga,29.0,1986.0,26.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
72,Víctor Álvarez,es ESP,DF,Espanyol,La Liga,23.0,1993.0,2.3,2.0,0.0,0.0,4.0,3.0,0.0,5.0,6.0,8.0,0.0,0.0,0.0
73,Yeray Álvarez,es ESP,DF,Athletic Club,La Liga,21.0,1995.0,25.2,3.0,0.0,0.0,53.0,28.0,1.0,8.0,99.0,47.0,1.0,0.0,0.0
74,Bruno Alves,pt POR,DF,Cagliari,Serie A,34.0,1981.0,36.0,5.0,1.0,0.0,44.0,15.0,2.0,9.0,70.0,21.0,0.0,1.0,0.0
75,Dani Alves,br BRA,"DF,MF",Juventus,Serie A,33.0,1983.0,15.1,5.0,0.0,0.0,27.0,21.0,3.0,71.0,31.0,31.0,0.0,0.0,0.0
76,Diego Alves,br BRA,GK,Valencia,La Liga,31.0,1985.0,33.0,4.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
78,Ibrahim Amadou,fr FRA,MF,Lille,Ligue 1,23.0,1993.0,32.8,4.0,0.0,0.0,39.0,21.0,0.0,8.0,60.0,58.0,0.0,0.0,0.0
79,Morgan Amalfitano,fr FRA,MF,Rennes,Ligue 1,31.0,1985.0,4.5,0.0,0.0,0.0,7.0,4.0,0.0,29.0,7.0,4.0,0.0,0.0,0.0
80,Morgan Amalfitano,fr FRA,"MF,FW",Lille,Ligue 1,31.0,1985.0,8.1,0.0,0.0,0.0,10.0,9.0,0.0,27.0,8.0,5.0,0.0,0.0,0.0
81,Romain Amalfitano,fr FRA,MF,Dijon,Ligue 1,26.0,1989.0,15.8,2.0,0.0,0.0,18.0,17.0,1.0,21.0,37.0,30.0,0.0,0.0,0.0
82,Daniel Amartey,gh GHA,MF,Leicester City,Premier League,21.0,1994.0,18.6,3.0,0.0,0.0,28.0,9.0,0.0,3.0,27.0,29.0,0.0,0.0,0.0
83,Jordi Amat,id IDN,DF,Swansea City,Premier League,24.0,1992.0,15.7,5.0,0.0,0.0,26.0,5.0,0.0,0.0,31.0,23.0,0.0,2.0,0.0
84,Kelvin Amian,fr FRA,DF,Toulouse,Ligue 1,18.0,1998.0,19.7,1.0,0.0,0.0,16.0,10.0,1.0,45.0,26.0,36.0,0.0,1.0,0.0
85,Nadiem Amiri,de GER,"MF,FW",Hoffenheim,Bundesliga,19.0,1996.0,22.1,2.0,0.0,0.0,43.0,47.0,5.0,24.0,36.0,22.0,0.0,0.0,0.0
86,Fernando Amorebieta,ve VEN,DF,Sporting Gijón,La Liga,31.0,1985.0,24.6,17.0,0.0,0.0,49.0,22.0,3.0,8.0,70.0,28.0,0.0,2.0,0.0
87,Nordin Amrabat,ma MAR,"MF,FW",Watford,Premier League,29.0,1987.0,23.2,4.0,0.0,0.0,47.0,36.0,2.0,129.0,27.0,35.0,0.0,1.0,0.0
88,Jon Ander Serantes,es ESP,GK,Leganés,La Liga,26.0,1989.0,12.3,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
89,Felipe Anderson,br BRA,"FW,MF",Lazio,Serie A,23.0,1993.0,32.3,5.0,0.0,0.0,46.0,49.0,3.0,153.0,53.0,79.0,2.0,0.0,0.0
90,Florin Andone,ro ROU,FW,La Coruña,La Liga,23.0,1993.0,32.1,6.0,0.0,0.0,92.0,37.0,34.0,22.0,4.0,18.0,2.0,0.0,0.0
91,Benjamin André,fr FRA,MF,Rennes,Ligue 1,25.0,1990.0,35.7,6.0,0.0,0.0,58.0,63.0,2.0,18.0,72.0,85.0,0.0,2.0,0.0
92,Marco Andreolli,it ITA,DF,Inter,Serie A,30.0,1986.0,4.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0
93,Yoann Andreu,fr FRA,DF,Angers,Ligue 1,27.0,1989.0,15.2,3.0,0.0,0.0,11.0,13.0,2.0,41.0,33.0,19.0,0.0,0.0,0.0
94,Victorien Angban,ci CIV,MF,Granada,La Liga,19.0,1996.0,7.6,4.0,0.0,0.0,14.0,4.0,0.0,3.0,17.0,19.0,0.0,0.0,0.0
95,Miguel Ángel Guerrero,es ESP,FW,Leganés,La Liga,26.0,1990.0,23.8,3.0,0.0,0.0,66.0,28.0,19.0,5.0,8.0,10.0,1.0,0.0,0.0
96,José Ángel,es ESP,DF,Villarreal,La Liga,26.0,1989.0,7.0,2.0,0.0,0.0,7.0,4.0,0.0,28.0,16.0,19.0,0.0,0.0,0.0
97,Miguel Ángel Moyá,es ESP,GK,Atlético Madrid,La Liga,32.0,1984.0,8.6,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,Gabriele Angella,it ITA,"DF,MF",Udinese,Serie A,27.0,1989.0,11.3,3.0,0.0,0.0,11.0,8.0,1.0,3.0,25.0,13.0,0.0,0.0,1.0
99,Benjamin Angoua,ci CIV,DF,Guingamp,Ligue 1,29.0,1986.0,6.0,0.0,0.0,0.0,12.0,4.0,0.0,1.0,13.0,6.0,0.0,0.0,0.0
100,Victor Anichebe,ng NGA,"FW,MF",Sunderland,Premier League,28.0,1988.0,13.5,2.0,0.0,0.0,25.0,33.0,7.0,38.0,9.0,8.0,0.0,0.0,0.0
101,Cristian Ansaldi,ar ARG,DF,Inter,Serie A,29.0,1986.0,16.7,9.0,2.0,1.0,34.0,23.0,0.0,94.0,34.0,31.0,0.0,0.0,0.0
102,Luca Antei,it ITA,DF,Sassuolo,Serie A,24.0,1992.0,12.4,4.0,0.0,0.0,15.0,7.0,0.0,2.0,30.0,32.0,0.0,2.0,0.0
104,Luca Antonelli,it ITA,DF,Milan,Serie A,29.0,1987.0,3.4,1.0,0.0,0.0,7.0,8.0,2.0,9.0,7.0,11.0,0.0,0.0,0.0
105,Michail Antonio,jm JAM,"MF,FW",West Ham,Premier League,26.0,1990.0,27.0,5.0,2.0,1.0,30.0,49.0,18.0,94.0,28.0,28.0,1.0,1.0,0.0
106,José Antonio Reyes,es ESP,"MF,FW",Espanyol,La Liga,32.0,1983.0,9.7,1.0,0.0,0.0,14.0,29.0,2.0,48.0,6.0,10.0,0.0,0.0,0.0
107,Ikechi Anya,sct SCO,"FW,MF",Watford,Premier League,28.0,1988.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,Siniša Anđelković,si SVN,DF,Palermo,Serie A,30.0,1986.0,20.4,3.0,0.0,0.0,13.0,17.0,1.0,0.0,54.0,16.0,0.0,0.0,0.0
109,Dennis Aogo,de GER,"MF,DF",Schalke 04,Bundesliga,29.0,1987.0,3.2,1.0,0.0,0.0,5.0,2.0,0.0,11.0,7.0,5.0,0.0,0.0,0.0
110,Houssem Aouar,fr FRA,FW,Lyon,Ligue 1,18.0,1998.0,1.4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
111,Carlos Apna Embaló,gw GNB,"FW,MF",Palermo,Serie A,21.0,1994.0,6.9,0.0,0.0,0.0,11.0,20.0,2.0,10.0,5.0,11.0,0.0,0.0,0.0
112,Alberto Aquilani,it ITA,"MF,FW",Pescara,Serie A,32.0,1984.0,6.1,2.0,2.0,1.0,9.0,8.0,0.0,28.0,10.0,10.0,0.0,0.0,0.0
113,Alberto Aquilani,it ITA,MF,Sassuolo,Serie A,32.0,1984.0,13.7,3.0,0.0,0.0,26.0,15.0,0.0,5.0,21.0,15.0,0.0,1.0,0.0
114,Mauro Arambarri,uy URU,MF,Bordeaux,Ligue 1,20.0,1995.0,0.4,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
115,Mattia Aramu,it ITA,FW,Torino,Serie A,21.0,1995.0,0.5,0.0,0.0,0.0,1.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
116,Charles Aránguiz,cl CHI,MF,Leverkusen,Bundesliga,27.0,1989.0,20.2,8.0,2.0,1.0,36.0,40.0,0.0,15.0,71.0,33.0,1.0,0.0,0.0
117,Sergio Araujo,ar ARG,FW,Las Palmas,La Liga,24.0,1992.0,5.9,2.0,0.0,0.0,11.0,6.0,5.0,3.0,5.0,5.0,0.0,0.0,0.0
118,Álvaro Arbeloa,es ESP,DF,West Ham,Premier League,33.0,1983.0,2.9,3.0,0.0,0.0,5.0,3.0,0.0,6.0,9.0,4.0,0.0,0.0,0.0
119,Anaitz Arbilla,es ESP,DF,Eibar,La Liga,29.0,1987.0,17.5,5.0,0.0,0.0,15.0,11.0,0.0,57.0,51.0,34.0,0.0,0.0,0.0
120,Markel Areitio,es ESP,GK,Eibar,La Liga,19.0,1996.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,Alphonse Areola,fr FRA,GK,Paris S-G,Ligue 1,23.0,1993.0,14.4,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0
122,Scott Arfield,ca CAN,MF,Burnley,Premier League,27.0,1988.0,23.4,3.0,0.0,0.0,37.0,18.0,3.0,71.0,34.0,27.0,1.0,0.0,0.0
123,Fernando Aristeguieta,ve VEN,FW,Nantes,Ligue 1,24.0,1992.0,0.6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
124,Sylvain Armand,fr FRA,DF,Rennes,Ligue 1,35.0,1980.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
125,Pablo Armero,co COL,DF,Udinese,Serie A,29.0,1986.0,2.0,1.0,0.0,0.0,2.0,2.0,0.0,5.0,1.0,4.0,0.0,0.0,0.0
126,Marko Arnautović,at AUT,"MF,FW",Stoke City,Premier League,27.0,1989.0,30.2,9.0,1.0,0.0,40.0,31.0,33.0,112.0,29.0,27.0,0.0,0.0,0.0
127,Maximilian Arnold,de GER,MF,Wolfsburg,Bundesliga,22.0,1994.0,26.9,9.0,0.0,0.0,51.0,88.0,1.0,52.0,52.0,30.0,0.0,0.0,0.0
128,Alejandro Arribas,es ESP,DF,La Coruña,La Liga,27.0,1989.0,21.2,7.0,0.0,0.0,26.0,23.0,0.0,1.0,36.0,33.0,0.0,0.0,0.0
130,Kepa Arrizabalaga,es ESP,GK,Athletic Club,La Liga,21.0,1994.0,22.4,1.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
131,Harry Arter,ie IRL,MF,Bournemouth,Premier League,26.0,1989.0,32.9,12.0,2.0,1.0,37.0,46.0,0.0,22.0,50.0,66.0,0.0,0.0,0.0
132,Aythami Artiles,es ESP,DF,Las Palmas,La Liga,30.0,1986.0,9.3,5.0,1.0,1.0,16.0,5.0,0.0,0.0,20.0,7.0,0.0,0.0,1.0
133,Kwadwo Asamoah,gh GHA,"DF,MF",Juventus,Serie A,27.0,1988.0,16.4,2.0,0.0,0.0,13.0,36.0,3.0,26.0,24.0,24.0,0.0,0.0,0.0
134,Sergio Asenjo,es ESP,GK,Villarreal,La Liga,27.0,1989.0,23.4,0.0,0.0,0.0,0.0,8.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0
135,Marco Asensio,es ESP,"FW,MF",Real Madrid,La Liga,20.0,1996.0,12.0,0.0,0.0,0.0,15.0,15.0,5.0,28.0,11.0,22.0,0.0,0.0,0.0
136,Joel Asoro,se SWE,FW,Sunderland,Premier League,17.0,1999.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137,Iago Aspas,es ESP,"FW,MF",Celta Vigo,La Liga,28.0,1987.0,25.7,9.0,1.0,1.0,25.0,71.0,12.0,25.0,12.0,16.0,2.0,0.0,0.0
138,Benoît Assou-Ekotto,cm CMR,DF,Metz,Ligue 1,32.0,1984.0,16.4,1.0,3.0,1.0,17.0,20.0,2.0,38.0,46.0,14.0,0.0,1.0,0.0
139,Davide Astori,it ITA,DF,Fiorentina,Serie A,29.0,1987.0,33.0,12.0,2.0,1.0,35.0,32.0,1.0,40.0,82.0,36.0,0.0,0.0,0.0
140,Barış Atik,de GER,"FW,MF",Hoffenheim,Bundesliga,21.0,1995.0,0.8,0.0,0.0,0.0,1.0,3.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0
141,Omer Atzili,il ISR,MF,Granada,La Liga,23.0,1993.0,3.5,0.0,0.0,0.0,5.0,7.0,1.0,14.0,3.0,4.0,1.0,0.0,0.0
142,Pierre-Emerick Aubameyang,ga GAB,FW,Dortmund,Bundesliga,27.0,1989.0,30.9,3.0,0.0,0.0,22.0,21.0,30.0,25.0,11.0,11.0,0.0,0.0,0.0
143,Emil Audero,it ITA,GK,Juventus,Serie A,19.0,1997.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144,Jean-Kévin Augustin,fr FRA,FW,Paris S-G,Ligue 1,19.0,1997.0,2.2,0.0,0.0,0.0,2.0,2.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0
145,Serge Aurier,ci CIV,DF,Paris S-G,Ligue 1,23.0,1992.0,20.3,4.0,2.0,1.0,19.0,19.0,6.0,110.0,36.0,33.0,1.0,1.0,1.0
146,Charlie Austin,eng ENG,FW,Southampton,Premier League,27.0,1989.0,10.4,1.0,0.0,0.0,14.0,22.0,8.0,9.0,4.0,12.0,0.0,0.0,0.0
147,Donis Avdijaj,xk KVX,MF,Schalke 04,Bundesliga,19.0,1996.0,3.3,1.0,0.0,0.0,4.0,1.0,2.0,8.0,2.0,2.0,0.0,0.0,0.0
148,Danilo Avelar,br BRA,DF,Torino,Serie A,27.0,1989.0,2.9,1.0,0.0,0.0,3.0,2.0,0.0,22.0,5.0,11.0,0.0,0.0,0.0
149,Daniel Ayala,es ESP,DF,Middlesbrough,Premier League,25.0,1990.0,10.2,3.0,0.0,0.0,15.0,3.0,1.0,6.0,27.0,8.0,0.0,0.0,0.0
150,André Ayew,gh GHA,"MF,FW",West Ham,Premier League,26.0,1989.0,16.0,1.0,0.0,0.0,13.0,27.0,6.0,7.0,11.0,12.0,0.0,0.0,0.0
151,Jordan Ayew,gh GHA,"FW,MF",Swansea City,Premier League,24.0,1991.0,9.6,1.0,0.0,0.0,18.0,22.0,6.0,19.0,8.0,12.0,0.0,0.0,0.0
