,Player,90s,Touches - Touches,Touches - Def Pen,Touches - Def 3rd,Touches - Mid 3rd,Touches - Att 3rd,Touches - Att Pen,Touches - Live,Take-Ons - Att,Take-Ons - Succ,Take-Ons - Succ%,Take-Ons - Tkld,Take-Ons - Tkld%,Carries - Carries,Carries - TotDist,Carries - PrgDist,Carries - PrgC,Carries - 1/3,Carries - CPA,Carries - Mis,Carries - Dis,Receiving - Rec,Receiving - PrgR
220,Lameck Banda,18.2,720,13,75,266,403,74,720,112,48,42.9,48,42.9,505,4583,2236,86,55,38,67,36,509,160
221,Filippo Bandinelli,25.1,1333,66,317,658,376,29,1333,42,15,35.7,21,50.0,746,3897,1736,40,41,7,42,30,863,89
222,Leo Baptistao,19.2,789,16,158,391,262,61,789,36,14,38.9,16,44.4,465,2611,1484,38,31,9,56,17,525,83
223,Shandon Baptiste,6.9,373,12,87,196,97,7,373,13,6,46.2,3,23.1,240,1097,507,8,12,3,16,8,247,23
224,Antonin Barak,0.3,16,0,0,10,6,0,16,2,1,50.0,1,50.0,12,68,25,0,0,0,1,1,11,1
225,Antonin Barak,20.0,904,19,84,470,362,67,904,39,19,48.7,17,43.6,556,3364,1435,45,31,8,34,28,649,93
227,Tommaso Barbieri,1.2,78,1,28,29,21,2,78,3,1,33.3,1,33.3,40,275,125,5,2,0,5,0,50,4
228,Bradley Barcola,16.0,666,10,81,243,355,108,666,80,40,50.0,38,47.5,481,3202,1403,51,30,30,36,8,444,156
229,Melvin Bard,27.3,1820,93,603,837,409,26,1820,54,23,42.6,25,46.3,1191,6786,3208,61,60,8,23,16,1050,126
231,Keidi Bare,5.6,336,15,67,207,62,5,336,6,2,33.3,3,50.0,181,1012,439,6,13,1,6,3,214,11
232,Nicolo Barella,29.0,1892,43,303,962,656,57,1892,70,40,57.1,17,24.3,1253,7327,3430,76,69,10,52,39,1426,162
234,Kike Barja,14.6,674,6,65,199,413,55,674,89,39,43.8,44,49.4,459,3154,1499,61,28,18,44,25,498,185
235,Ross Barkley,10.7,606,10,91,296,228,26,606,21,12,57.1,8,38.1,457,2573,1229,30,30,7,12,24,434,46
236,Aymen Barkok,6.5,360,12,53,156,158,16,360,20,9,45.0,11,55.0,185,1396,726,17,16,4,16,9,216,28
237,Harvey Barnes,30.1,1143,17,128,435,600,133,1143,91,27,29.7,53,58.2,734,5174,2749,100,72,48,75,42,900,257
238,Leandro Barreiro Martins,23.8,870,55,221,432,231,58,870,19,5,26.3,9,47.4,356,1564,640,17,16,2,39,13,372,49
239,Enzo Barrenechea,1.8,138,3,36,90,13,2,138,1,0,0.0,1,100.0,79,343,171,1,1,0,1,1,93,2
240,Ander Barrenetxea,9.8,544,14,110,213,232,41,544,63,34,54.0,25,39.7,328,2099,994,36,15,17,36,18,348,72
241,Mickael Barreto,14.7,869,18,159,501,227,9,869,49,23,46.9,24,49.0,601,3671,1576,26,30,0,34,19,533,53
242,Pablo Barrios,8.0,554,12,106,314,140,12,554,30,15,50.0,12,40.0,320,1795,690,16,10,3,15,10,405,27
243,Musa Barrow,21.8,1064,5,122,454,502,46,1064,71,24,33.8,41,57.7,667,4328,1960,68,59,19,50,31,791,141
244,Federico Baschirotto,37.0,1823,238,968,771,96,36,1823,5,3,60.0,1,20.0,849,4481,2352,12,4,0,10,2,918,12
245,Toma Basic,5.7,367,12,75,179,115,17,367,8,3,37.5,4,50.0,222,1064,477,14,8,1,13,6,250,29
247,Gil Bastiao Dias,4.4,246,4,46,111,97,13,246,19,10,52.6,8,42.1,157,1079,531,16,5,4,17,11,164,33
248,Alessandro Bastoni,24.0,1857,201,796,821,250,30,1857,15,8,53.3,6,40.0,1137,5797,3688,47,31,3,13,6,1310,44
249,Simone Bastoni,13.2,749,31,183,306,273,24,749,20,7,35.0,10,50.0,341,1724,853,20,16,2,20,14,401,65
250,Rodrigo Battaglia,7.6,310,28,114,170,27,6,310,3,0,0.0,1,33.3,136,665,268,3,4,0,5,6,164,3
251,Maximilian Bauer,20.5,982,135,590,362,36,13,982,5,2,40.0,1,20.0,461,2267,1272,11,8,0,10,5,501,2
254,Julian Baumgartlinger,6.2,292,19,93,156,44,3,292,4,1,25.0,2,50.0,143,462,203,1,2,0,7,3,151,3
255,Christoph Baumgartner,28.5,1340,39,204,655,505,118,1340,116,54,46.6,47,40.5,767,4948,2487,76,59,33,81,36,900,145
256,Cyrille Bayala,22.3,947,27,161,431,373,45,947,68,25,36.8,38,55.9,620,4019,1631,46,34,14,56,35,541,109
257,Brian Bayeye,0.7,64,6,29,24,11,3,64,2,2,100.0,0,0.0,23,139,93,3,2,2,3,2,29,5
258,Noah Joel Sarenren Bazee,0.2,8,0,1,4,4,1,8,2,1,50.0,1,50.0,4,45,15,0,1,0,1,0,5,1
261,Bebe,0.7,52,0,1,19,36,0,52,8,3,37.5,4,50.0,37,344,154,5,8,0,6,3,34,10
262,Ihlas Bebou,15.7,576,22,63,235,288,69,575,58,26,44.8,30,51.7,307,1655,680,27,19,15,61,17,376,116
263,Rodrigo Becao,27.6,1667,135,805,701,172,43,1667,10,5,50.0,5,50.0,850,3682,2219,19,15,3,16,2,948,48
266,Sheraldo Becker,28.4,908,7,57,263,602,117,908,59,26,44.1,28,47.5,617,4379,2043,105,48,45,62,35,679,240
267,Jan Bednarek,18.6,1127,205,635,460,37,14,1127,2,1,50.0,1,50.0,579,2671,1580,8,1,0,2,1,605,2
269,Donny van de Beek,1.9,72,1,3,23,46,11,72,3,2,66.7,1,33.3,39,148,85,2,3,0,2,2,53,20
271,Yanis Begraoui,0.7,29,0,7,11,11,2,29,2,1,50.0,1,50.0,22,91,32,1,1,0,6,1,21,3
272,Kevin Behrens,17.1,687,30,53,312,327,83,687,24,12,50.0,8,33.3,306,1254,350,11,8,6,45,20,512,92
273,Alexis Beka Beka,6.1,387,14,82,219,93,5,387,17,8,47.1,8,47.1,295,1911,864,13,12,3,12,8,262,23
274,Jeremie Bela,8.3,355,15,72,132,157,15,355,27,9,33.3,14,51.9,240,1600,644,22,14,5,19,8,224,54
275,Reda Belahyane,2.0,135,3,41,92,9,1,135,5,5,100.0,0,0.0,113,643,318,3,4,1,3,5,97,1
276,Youcef Belaili,12.8,631,6,66,320,257,51,625,64,29,45.3,24,37.5,476,3115,1319,32,24,18,42,27,431,68
277,Youcef Belaili,4.0,212,2,22,84,110,13,212,15,4,26.7,7,46.7,149,1023,484,16,10,4,16,4,144,31
278,Haris Belkebla,29.5,1524,58,353,979,214,15,1523,34,11,32.4,15,44.1,1097,5725,2432,19,25,4,37,27,946,37
279,Stefan Bell,26.6,1551,180,849,653,59,18,1551,7,6,85.7,0,0.0,767,3351,1604,9,6,0,13,4,760,10
280,Armel Bella Kotchap,20.9,1211,209,654,519,46,22,1211,11,4,36.4,3,27.3,697,3570,1899,9,12,2,9,6,682,2
281,Raoul Bellanova,5.5,373,24,115,127,135,13,373,12,7,58.3,2,16.7,230,1762,908,25,12,3,4,5,246,37
282,Karim Bellarabi,0.9,68,1,9,25,35,4,68,5,1,20.0,4,80.0,41,183,90,4,3,2,1,2,55,11
283,Jean-Ricner Bellegarde,26.9,1589,30,219,833,569,45,1589,111,57,51.4,32,28.8,1129,8275,4230,104,97,16,64,44,1035,110
284,Hector Bellerin,1.6,107,1,17,50,41,5,107,4,3,75.0,1,25.0,54,271,159,2,3,1,1,0,66,6
286,Jude Bellingham,29.9,2091,48,342,1171,606,105,2090,151,86,57.0,42,27.8,1342,7887,3912,97,50,24,63,58,1568,139
287,Jeanoel Belocian,5.6,353,24,123,191,41,4,353,4,2,50.0,1,25.0,248,1242,543,8,5,1,4,2,223,21
288,Andrea Belotti,12.7,404,7,34,164,210,52,403,33,7,21.2,18,54.5,226,1235,452,21,14,11,34,15,322,94
289,Fran Beltran,31.7,2062,62,454,1253,366,11,2062,22,16,72.7,6,27.3,1239,6158,2685,27,45,4,26,17,1354,33
290,Eliesse Ben Seghir,11.7,583,2,38,284,272,40,583,36,14,38.9,14,38.9,459,2968,1211,31,28,8,39,22,440,93
292,Wissam Ben Yedder,23.5,799,0,22,325,458,151,793,51,23,45.1,25,49.0,610,3251,1304,48,32,26,35,32,599,198
293,Marco Benassi,1.0,112,1,25,64,24,3,112,1,0,0.0,0,0.0,81,284,120,0,4,0,1,1,85,6
294,Marco Benassi,11.1,461,20,109,221,136,17,461,9,8,88.9,0,0.0,225,1193,439,10,14,0,12,10,224,30
295,Iker Benito,2.0,66,4,19,24,26,3,66,9,3,33.3,5,55.6,34,371,245,9,6,2,3,2,35,15
296,Ismael Bennacer,22.3,1666,30,300,1023,369,10,1666,49,27,55.1,13,26.5,985,5133,2012,30,30,4,42,23,1097,52
297,Said Benrahma,23.0,1091,16,131,399,583,94,1087,123,51,41.5,56,45.5,699,5281,2705,109,54,44,53,42,800,237
298,Ramy Bensebaini,27.6,1885,138,685,870,345,54,1883,32,12,37.5,16,50.0,940,4235,2012,40,24,11,35,18,1061,98
299,Nabil Bentaleb,27.7,2186,70,511,1366,358,15,2184,111,63,56.8,31,27.9,1628,9116,4191,46,62,6,45,37,1471,28
300,Rodrigo Bentancur,16.7,1071,52,295,612,175,19,1071,34,21,61.8,11,32.4,581,3001,1444,26,14,1,22,17,732,19
302,Karim Benzema,22.6,1284,7,56,457,776,175,1276,44,20,45.5,22,50.0,796,3734,1900,72,43,31,32,28,1092,157
303,Domenico Berardi,20.7,1179,17,102,463,628,111,1171,50,22,44.0,20,40.0,766,3818,1586,57,29,31,60,23,905,213
304,Yuri Berchiche,26.7,1865,92,478,899,506,24,1865,30,12,40.0,15,50.0,966,4831,2537,59,45,3,22,14,1047,95
305,Alex Berenguer,25.5,1298,22,135,390,794,117,1298,85,37,43.5,44,51.8,716,4451,2024,73,54,35,63,39,848,249
306,Bartosz Bereszynski,13.3,759,48,255,317,198,13,759,15,4,26.7,11,73.3,329,1643,860,20,16,1,12,5,354,40
307,Bartosz Bereszynski,1.8,124,6,33,60,32,1,124,3,1,33.3,2,66.7,61,342,173,8,7,0,1,1,66,7
308,Patrick Berg,0.3,23,0,5,15,3,0,23,1,0,0.0,1,100.0,17,83,29,0,0,0,1,0,16,4
309,Mitchell van Bergen,10.1,437,10,57,158,239,37,437,38,14,36.8,23,60.5,314,2931,1489,51,44,15,24,11,275,89
310,Mergim Berisha,18.7,551,23,55,184,322,81,547,31,5,16.1,20,64.5,263,1276,480,20,15,11,42,27,324,99
312,Quentin Bernard,7.0,473,32,152,242,82,2,473,4,1,25.0,1,25.0,324,1567,722,4,15,0,2,1,290,14
314,Juan Bernat,18.3,1170,43,286,543,348,64,1170,40,21,52.5,17,42.5,912,4433,1916,24,21,14,7,9,849,143
315,Victor Bernth Kristiansen,9.9,607,33,234,255,123,4,607,15,7,46.7,5,33.3,278,1494,714,17,8,0,10,10,302,24
318,Beto,23.7,652,34,49,274,336,130,651,76,32,42.1,40,52.6,364,1825,594,25,15,14,114,43,475,121
320,Matteo Bianchetti,23.7,1169,188,692,447,37,13,1169,3,2,66.7,1,33.3,552,2612,1377,6,2,0,6,3,586,4
321,Alessandro Bianco,1.7,91,2,18,59,14,1,91,2,0,0.0,0,0.0,49,240,144,4,1,0,2,5,68,2
324,Pedro Bigas,22.4,1302,174,681,569,63,19,1302,8,5,62.5,3,37.5,722,3899,2273,19,13,0,13,4,766,3
325,Jaka Bijol,30.3,1729,296,1068,612,53,40,1729,5,2,40.0,3,60.0,972,4732,2415,3,7,2,10,4,1032,7
326,El Bilal Toure,14.0,407,26,46,196,172,53,407,17,6,35.3,9,52.9,201,1136,519,18,16,9,44,9,261,51
327,El Bilal Toure,1.0,29,1,3,13,13,3,29,2,1,50.0,1,50.0,13,61,15,0,0,0,1,2,17,1
328,Philip Billing,30.7,1410,76,334,666,428,71,1410,47,26,55.3,15,31.9,727,3695,1690,37,31,6,42,35,900,101
330,Cristiano Biraghi,28.3,2213,72,534,904,793,26,2212,20,7,35.0,9,45.0,1011,4803,2798,69,51,10,16,6,1214,113
331,Samuele Birindelli,15.6,957,51,277,372,321,30,957,20,11,55.0,8,40.0,509,3234,1645,55,35,7,24,15,606,121
332,Veljko Birmancevic,4.9,240,7,37,90,116,21,240,22,5,22.7,12,54.5,182,1095,521,21,13,11,13,3,169,50
333,Tom Bischof,3.5,182,2,35,77,74,8,182,9,1,11.1,6,66.7,101,431,178,8,11,2,10,6,105,12
334,Yves Bissouma,11.2,826,23,164,536,127,2,826,9,7,77.8,2,22.2,504,2761,1143,14,13,1,16,8,613,10
335,Kristijan Bistrovic,5.1,168,5,29,84,55,3,168,1,1,100.0,0,0.0,83,378,119,4,1,0,3,5,99,8
336,Leonardo Bittencourt,18.1,1031,19,176,568,303,38,1031,64,26,40.6,30,46.9,611,3691,1649,51,48,7,42,10,706,93
339,Lautaro Blanco,9.7,494,12,127,163,209,6,494,23,10,43.5,13,56.5,261,1869,890,41,20,1,12,3,281,76
341,Ludovic Blas,31.3,1627,10,154,785,723,103,1623,172,82,47.7,74,43.0,1235,8989,3850,122,69,39,90,76,1128,248
342,Janis Blaswich,26.0,1191,846,1160,31,0,0,1191,1,1,100.0,0,0.0,786,2838,1493,0,0,0,0,0,752,0
343,Miha Blazic,22.0,1346,187,696,640,12,8,1346,1,0,0.0,0,0.0,976,4491,2155,0,0,0,3,0,893,0
345,Alexis Blin,26.4,1299,86,352,697,257,33,1299,11,5,45.5,6,54.5,536,2330,1095,13,17,1,34,15,665,32
347,Myron Boadu,3.3,98,1,7,39,53,23,98,4,1,25.0,3,75.0,65,336,138,5,1,3,17,7,75,21
