,# Pl,90s,Performance - CrdY,Performance - CrdR,Performance - 2CrdY,Performance - Fls,Performance - Fld,Performance - Off,Performance - Crs,Performance - Int,Performance - TklW,Performance - PKwon,Performance - PKcon,Performance - OG,Performance - Recov,Aerial Duels - Won,Aerial Duels - Lost,Aerial Duels - Won%
45,28,38.0,55,1,0,356,396,60,556,367,384,1,9,1,2015,530,553,48.9
46,28,38.0,73,7,1,421,357,58,699,455,359,3,5,0,2051,427,366,53.8
47,31,38.0,109,6,2,550,403,77,624,377,305,6,6,0,2054,441,492,47.3
48,29,34.0,66,2,1,364,329,64,537,360,281,5,4,1,2009,442,415,51.6
49,26,38.0,98,6,3,446,441,89,621,377,359,5,6,2,2145,525,492,51.6
50,27,38.0,50,1,0,363,286,63,897,340,320,5,0,1,2265,571,467,55.0
51,29,38.0,69,4,3,475,423,55,588,412,412,3,6,3,2044,433,524,45.2
52,30,38.0,65,6,2,436,424,62,571,396,367,6,8,3,2129,470,409,53.5
53,26,34.0,67,1,0,359,472,73,440,326,345,6,5,0,1850,464,419,52.5
54,28,34.0,62,4,2,495,386,63,598,439,305,3,6,1,2097,606,580,51.1
55,33,38.0,114,7,4,554,535,67,597,344,332,6,8,4,2007,651,703,48.1
56,26,38.0,42,1,0,321,330,66,869,279,284,7,1,0,1967,482,397,54.8
57,29,38.0,77,2,1,396,320,88,659,340,358,3,5,3,2071,555,443,55.6
58,27,38.0,61,3,1,347,459,60,619,327,319,10,4,1,1862,368,323,53.3
59,36,38.0,94,9,2,514,417,48,581,507,442,1,5,2,2092,527,529,49.9
60,28,38.0,76,3,1,465,513,80,672,355,421,5,5,2,2167,521,517,50.2
61,27,38.0,85,4,3,496,408,94,705,424,435,5,9,3,2287,546,498,52.3
62,26,38.0,77,8,4,411,465,53,697,356,380,3,6,1,2018,437,560,43.8
63,26,38.0,80,4,2,500,372,55,731,415,405,2,7,1,2057,598,566,51.4
64,27,38.0,63,2,0,460,482,67,553,296,327,9,1,1,1981,393,403,49.4
65,29,38.0,81,2,1,392,366,71,592,360,383,1,6,2,1835,677,619,52.2
66,27,38.0,77,6,2,456,371,53,742,441,369,6,5,0,2064,526,471,52.8
67,28,38.0,57,1,1,356,431,55,568,381,368,2,12,2,1887,493,598,45.2
68,29,38.0,84,2,1,498,391,66,864,368,331,3,7,2,2118,808,743,52.1
69,36,38.0,79,4,1,357,416,93,459,303,360,6,3,1,1824,262,221,54.2
70,28,38.0,101,3,1,537,511,83,862,365,359,4,9,1,2110,652,655,49.9
71,29,34.0,49,0,0,360,426,66,523,349,289,5,3,1,1994,504,420,54.5
72,31,38.0,76,0,0,394,474,106,611,334,345,10,5,0,1941,397,319,55.4
73,32,38.0,77,4,1,491,465,76,638,348,339,8,6,0,2012,678,597,53.2
74,35,38.0,68,7,4,449,451,76,629,493,365,5,7,0,2074,453,495,47.8
75,28,38.0,56,2,1,434,377,59,698,315,318,4,6,1,1904,547,534,50.6
76,29,38.0,111,8,6,500,474,60,735,385,362,5,6,2,1980,524,441,54.3
77,39,38.0,81,5,1,464,441,51,697,452,397,4,8,4,2152,463,611,43.1
78,42,38.0,94,5,3,494,522,41,698,353,321,4,8,2,1849,657,506,56.5
79,34,38.0,94,4,1,495,513,82,645,443,327,3,4,2,2044,609,506,54.6
80,29,38.0,92,4,2,461,479,43,541,314,271,6,9,1,1926,343,404,45.9
81,33,38.0,97,4,2,462,462,80,787,270,302,3,4,0,2064,595,561,51.5
82,25,38.0,65,2,1,402,363,42,711,446,340,4,2,2,2224,672,726,48.1
83,30,38.0,88,4,1,508,439,77,534,372,343,4,13,3,1994,530,589,47.4
84,26,38.0,72,3,1,497,400,61,797,433,392,6,4,1,2092,654,521,55.7
85,34,34.0,64,2,1,369,418,53,549,345,307,1,4,1,2021,586,451,56.5
86,31,38.0,89,3,2,636,460,84,663,423,314,4,11,0,2113,781,891,46.7
87,25,38.0,69,1,1,386,406,62,632,355,349,3,2,1,1893,560,500,52.8
88,35,38.0,75,6,3,442,473,53,708,430,351,7,10,2,1987,417,460,47.5
89,29,38.0,95,6,3,564,461,78,519,351,350,4,7,1,2027,453,534,45.9
90,28,34.0,62,1,1,423,333,64,663,376,296,2,2,4,1975,584,681,46.2
91,34,38.0,134,8,6,641,586,52,766,338,363,8,8,3,2079,564,599,48.5
92,39,38.0,110,9,2,522,457,61,585,388,352,5,12,2,1942,564,583,49.2
93,29,38.0,81,1,1,472,459,91,574,329,312,3,5,1,1946,491,437,52.9
94,30,38.0,63,3,3,442,352,53,610,444,356,2,7,3,2154,711,749,48.7
95,25,38.0,52,3,2,323,276,59,802,374,301,3,6,2,1970,639,628,50.4
96,30,34.0,61,3,1,411,415,74,619,388,298,3,7,1,1984,621,522,54.3
97,26,38.0,62,2,2,366,335,61,587,389,377,1,10,1,2104,461,490,48.5
