,# Pl,90s,Tackles - Tkl,Tackles - TklW,Tackles - Def 3rd,Tackles - Mid 3rd,Tackles - Att 3rd,Challenges - Tkl,Challenges - Att,Challenges - Tkl%,Challenges - Lost,Blocks - Blocks,Blocks - Sh,Blocks - Pass,Int,Tkl+Int,Clr,Err
42,24,38.0,582,349,261,234,87,277,625,44.3,348,437,126,311,310,892,606,8
43,29,38.0,705,430,347,259,99,319,619,51.5,300,486,112,374,368,1073,826,4
44,29,38.0,840,480,376,343,121,412,863,47.7,451,536,131,405,392,1232,734,18
45,28,38.0,700,412,345,292,63,308,669,46.0,361,517,170,347,367,1067,777,11
46,29,38.0,540,323,225,238,77,262,570,46.0,308,401,112,289,339,879,559,7
47,27,34.0,494,280,242,206,46,236,421,56.1,185,358,99,259,294,788,599,12
48,26,38.0,635,370,266,265,104,314,658,47.7,344,390,74,316,301,936,543,13
49,28,38.0,590,370,228,250,112,281,648,43.4,367,350,74,276,333,923,568,19
50,30,38.0,736,420,409,244,83,315,690,45.7,375,484,141,343,369,1105,849,17
51,29,38.0,723,423,306,282,135,367,771,47.6,404,433,107,326,481,1204,542,12
52,27,34.0,497,275,274,171,52,267,536,49.8,269,405,104,301,267,764,728,7
53,27,34.0,547,341,268,206,73,270,559,48.3,289,419,98,321,433,980,673,9
54,31,38.0,583,344,318,213,52,283,581,48.7,298,402,146,256,318,901,859,7
55,24,38.0,471,272,185,198,88,212,455,46.6,243,339,95,244,223,694,402,8
56,26,38.0,658,400,343,231,84,301,598,50.3,297,496,146,350,352,1010,771,10
57,30,38.0,685,404,271,304,110,301,591,50.9,290,366,101,265,420,1105,570,11
58,30,38.0,690,422,327,295,68,300,563,53.3,263,387,126,261,289,979,542,9
59,27,38.0,696,400,284,310,102,323,701,46.1,378,459,120,339,426,1122,549,14
60,31,38.0,684,413,362,249,73,361,745,48.5,384,448,121,327,404,1088,686,9
61,31,38.0,595,355,323,214,58,260,551,47.2,291,380,120,260,334,929,661,13
62,29,38.0,709,431,367,249,93,367,730,50.3,363,427,107,320,431,1140,731,8
63,27,38.0,569,313,236,227,106,255,521,48.9,266,374,96,278,287,856,490,7
64,27,38.0,607,360,268,254,85,307,642,47.8,335,448,116,332,333,940,680,10
65,34,38.0,818,467,415,295,108,382,680,56.2,298,419,115,304,413,1231,588,9
66,33,38.0,659,387,380,201,78,296,584,50.7,288,500,156,344,349,1008,944,6
67,26,38.0,534,328,256,196,82,266,588,45.2,322,392,97,295,315,849,749,10
68,26,38.0,612,362,253,255,104,339,693,48.9,354,378,109,269,296,908,432,20
69,28,38.0,636,393,262,276,98,281,664,42.3,383,428,92,336,309,945,680,11
70,25,34.0,534,312,237,231,66,253,512,49.4,259,428,94,334,310,844,552,3
71,26,38.0,542,353,242,212,88,259,565,45.8,306,365,105,260,296,838,469,5
72,30,38.0,660,395,304,254,102,285,613,46.5,328,399,103,296,271,931,624,13
73,34,38.0,703,407,338,259,106,339,747,45.4,408,468,127,341,397,1100,633,15
74,32,38.0,600,335,255,251,94,289,616,46.9,327,392,91,301,341,941,587,10
75,30,38.0,624,340,301,257,66,289,617,46.8,328,392,113,279,368,992,590,9
76,30,38.0,587,337,309,220,58,259,569,45.5,310,409,157,252,329,916,740,13
77,40,38.0,589,351,290,240,59,261,558,46.8,297,428,152,276,317,906,688,7
78,31,38.0,502,281,237,186,79,216,461,46.9,245,371,122,249,278,780,658,16
79,35,34.0,542,329,240,246,56,253,551,45.9,298,397,110,287,306,848,723,12
80,35,38.0,587,367,261,230,96,281,591,47.5,310,361,127,234,339,926,633,9
81,36,38.0,713,426,377,279,57,297,609,48.8,312,542,165,377,428,1141,852,10
82,34,38.0,622,359,290,236,96,254,569,44.6,315,457,161,296,301,923,830,7
83,29,38.0,690,409,316,284,90,344,666,51.7,322,423,98,325,437,1127,688,5
84,30,34.0,528,316,255,207,66,268,524,51.1,256,421,113,308,308,836,666,10
85,28,38.0,473,265,231,187,55,199,367,54.2,168,337,110,227,292,765,627,9
86,29,38.0,619,353,325,215,79,275,574,47.9,299,428,148,280,340,959,762,19
87,29,38.0,716,406,349,264,103,368,842,43.7,474,476,138,338,409,1125,656,15
88,32,38.0,608,361,333,207,68,272,606,44.9,334,416,144,272,398,1006,779,5
89,30,38.0,651,365,363,228,60,326,632,51.6,306,437,128,309,314,965,712,8
90,28,34.0,494,278,217,216,61,239,525,45.5,286,356,101,255,262,756,704,6
91,28,38.0,678,430,340,254,84,311,645,48.2,334,370,75,295,288,966,643,21
92,36,38.0,671,396,334,251,86,296,628,47.1,332,432,149,283,345,1016,767,8
93,32,38.0,578,370,276,201,101,270,534,50.6,264,372,125,247,262,840,691,16
94,25,34.0,595,349,269,273,53,300,617,48.6,317,371,103,268,321,916,789,7
95,25,38.0,607,335,289,226,92,269,558,48.2,289,415,139,276,408,1015,810,10
96,28,34.0,543,324,255,206,82,265,521,50.9,256,443,116,327,290,833,701,9
97,32,38.0,661,370,364,222,75,286,609,47.0,323,497,175,322,279,940,817,18
