,# Pl,90s,SCA - SCA,SCA - SCA90,SCA Types - PassLive,SCA Types - PassDead,SCA Types - TO,SCA Types - Sh,SCA Types - Fld,SCA Types - Def,GCA - GCA,GCA - GCA90,GCA Types - PassLive,GCA Types - PassDead,GCA Types - TO,GCA Types - Sh,GCA Types - Fld,GCA Types - Def
21,22,8.0,197,24.62,143,13,16,11,10,4,19,2.37,13,0,3,0,1,2
22,22,7.9,159,20.01,117,12,8,14,8,0,9,1.13,6,1,0,1,1,0
23,19,8.0,173,21.62,115,18,13,11,12,4,14,1.75,13,0,0,0,1,0
24,26,7.0,153,21.86,115,12,5,10,10,1,19,2.71,13,2,0,2,2,0
25,21,7.0,169,24.14,117,17,8,14,10,3,25,3.57,18,1,2,3,0,1
26,25,7.0,119,17.0,86,14,6,10,3,0,11,1.57,9,0,0,2,0,0
27,28,8.0,159,19.87,115,17,10,7,9,1,2,0.25,2,0,0,0,0,0
28,23,8.0,223,27.87,156,22,8,22,8,7,13,1.62,7,2,0,3,0,1
29,25,8.0,166,20.75,129,14,9,7,4,3,32,4.0,20,5,3,3,1,0
30,22,7.0,148,21.14,105,13,5,17,7,1,11,1.57,5,2,0,2,2,0
31,26,8.0,133,16.62,86,14,13,10,8,2,18,2.25,8,5,0,2,2,1
32,23,8.0,145,18.12,110,10,7,9,6,3,10,1.25,8,1,0,1,0,0
33,24,8.0,91,11.37,59,14,6,7,5,0,17,2.12,11,2,2,2,0,0
34,23,9.0,166,18.44,115,27,6,9,8,1,21,2.33,10,3,3,3,2,0
35,22,9.0,212,23.56,166,17,10,9,6,4,36,4.0,30,3,1,0,2,0
36,26,9.0,168,18.67,102,15,22,13,12,4,24,2.67,16,1,3,1,2,1
37,20,7.0,140,20.0,88,16,9,14,10,3,18,2.57,10,1,1,2,3,1
38,24,8.0,139,17.37,94,20,9,6,8,2,7,0.87,5,0,0,1,0,1
39,23,7.0,168,24.0,112,16,7,14,17,2,25,3.57,18,0,0,3,3,1
40,23,8.0,248,31.0,194,20,3,13,12,6,38,4.75,30,1,1,2,3,1
41,22,8.0,194,24.25,137,23,10,13,9,2,22,2.75,17,1,1,3,0,0
42,21,7.0,152,21.71,106,21,6,9,8,2,4,0.57,1,1,0,1,1,0
43,23,9.0,173,19.22,142,5,8,6,8,4,11,1.22,8,0,0,0,3,0
44,20,8.0,155,19.37,117,13,10,7,7,1,16,2.0,14,0,0,0,1,1
45,22,8.0,148,18.5,108,14,7,9,7,3,18,2.25,14,0,3,1,0,0
46,23,8.0,166,20.75,118,16,7,13,9,3,16,2.0,11,1,0,1,1,2
47,25,8.0,223,27.87,177,13,7,12,10,4,13,1.62,9,1,2,1,0,0
48,21,7.0,219,31.29,162,9,28,11,7,2,44,6.29,31,2,5,2,4,0
49,22,8.0,199,24.87,127,24,17,11,15,5,17,2.12,7,4,2,2,2,0
50,21,8.0,233,29.12,169,25,10,15,12,2,26,3.25,18,2,1,3,2,0
51,27,8.0,123,15.37,94,9,8,5,3,4,20,2.5,16,0,2,1,0,1
52,20,8.0,184,23.0,133,22,10,13,3,3,9,1.13,5,1,0,2,1,0
53,27,8.0,176,22.0,120,18,10,16,10,2,10,1.25,6,0,1,1,2,0
54,23,7.0,200,28.57,136,28,8,17,11,0,22,3.14,16,2,1,2,1,0
55,22,7.0,150,21.43,97,16,9,12,12,4,9,1.29,7,1,0,1,0,0
56,21,9.0,152,16.89,104,23,4,10,6,5,19,2.11,12,4,0,3,0,0
57,24,8.0,244,30.5,193,13,7,16,14,1,32,4.0,25,1,1,3,2,0
58,25,8.0,236,29.5,177,16,19,11,7,6,17,2.12,11,2,1,1,1,1
59,22,8.0,230,28.75,168,16,17,14,14,1,20,2.5,14,1,2,2,1,0
60,28,8.0,127,15.87,81,16,9,11,8,2,11,1.37,9,1,1,0,0,0
61,23,8.0,172,21.5,130,11,13,10,7,1,31,3.87,22,1,3,2,2,1
62,19,8.0,196,24.5,140,15,9,18,6,8,35,4.37,25,3,1,6,0,0
63,22,7.9,159,20.01,101,19,18,5,15,1,19,2.39,12,0,6,0,1,0
64,24,8.0,204,25.5,172,10,7,8,4,3,13,1.62,9,0,3,1,0,0
65,26,8.0,155,19.37,110,11,8,13,11,2,21,2.62,12,3,1,1,4,0
66,21,8.0,258,32.25,199,19,13,15,9,3,29,3.62,19,2,3,1,4,0
67,20,8.0,207,25.88,146,16,15,14,13,3,33,4.12,19,2,5,2,4,1
68,21,8.0,183,22.87,132,16,15,11,7,2,17,2.12,14,0,2,1,0,0
69,25,8.0,151,18.87,101,18,10,8,10,4,16,2.0,13,0,2,0,1,0
70,22,9.0,174,19.33,126,16,6,9,15,2,15,1.67,8,2,1,2,2,0
71,21,8.0,261,32.63,213,10,18,9,9,2,32,4.0,27,0,1,1,3,0
72,22,9.0,207,23.0,150,15,10,10,18,4,18,2.0,12,2,1,0,3,0
73,21,7.0,149,21.29,110,12,10,7,9,1,26,3.71,19,4,2,1,0,0
74,21,9.0,294,32.67,217,17,23,25,8,4,36,4.0,26,3,1,6,0,0
75,24,9.0,164,18.22,119,11,13,7,8,6,28,3.11,18,1,4,2,3,0
76,21,8.0,133,16.62,104,4,13,7,4,1,25,3.12,19,2,0,1,2,1
77,24,8.0,215,26.87,152,15,17,14,11,6,22,2.75,11,0,2,6,3,0
78,23,8.0,202,25.25,146,17,11,15,11,2,32,4.0,22,2,5,2,1,0
79,23,8.0,156,19.5,123,15,3,10,4,1,8,1.0,6,1,0,1,0,0
80,26,8.0,205,25.62,164,11,13,11,4,2,17,2.12,13,0,0,3,1,0
81,27,8.0,247,30.87,175,24,15,13,17,3,22,2.75,15,1,4,2,0,0
82,25,8.0,113,14.12,78,17,2,8,5,3,6,0.75,4,1,0,1,0,0
83,20,8.0,109,13.62,78,7,9,5,7,3,13,1.62,7,0,3,1,1,1
84,22,7.0,195,27.86,151,11,16,9,5,3,42,6.0,29,1,8,2,1,1
85,23,8.0,125,15.62,91,12,6,8,7,1,10,1.25,5,1,1,2,1,0
86,21,8.0,269,33.62,210,13,15,16,9,6,30,3.75,23,2,2,1,1,1
87,22,8.0,129,16.12,97,11,7,5,3,6,20,2.5,16,3,0,0,1,0
88,25,8.0,203,25.37,143,23,16,10,9,2,6,0.75,4,0,2,0,0,0
89,24,7.0,179,25.57,115,25,10,14,12,3,22,3.14,14,3,2,1,2,0
90,24,9.0,164,18.22,118,13,13,6,10,4,17,1.89,14,0,3,0,0,0
91,23,9.0,189,21.0,145,17,10,10,5,2,20,2.22,12,2,2,2,2,0
92,24,7.0,161,23.0,128,9,9,5,9,1,22,3.14,19,0,1,1,1,0
93,19,8.0,165,20.62,112,21,12,7,7,6,29,3.62,21,2,2,1,1,2
94,21,7.0,155,22.14,115,9,12,9,9,1,16,2.29,11,0,1,4,0,0
95,21,8.0,152,19.0,102,14,15,10,8,3,14,1.75,7,2,2,2,1,0
