,# Pl,90s,Standard - Gls,Standard - Sh,Standard - SoT,Standard - SoT%,Standard - Sh/90,Standard - SoT/90,Standard - G/Sh,Standard - G/SoT,Standard - Dist,Standard - FK,Standard - PK,Standard - PKatt,Expected - xG,Expected - npxG,Expected - npxG/Sh,Expected - G-xG,Expected - np:G-xG
72,27,38.0,64,516,165,32.0,13.58,4.34,0.12,0.36,18.7,23,4,5,53.7,49.7,0.1,10.3,10.3
73,28,38.0,48,461,135,29.3,12.13,3.55,0.09,0.31,19.6,29,6,8,49.8,43.6,0.1,-1.8,-1.6
74,27,38.0,56,637,199,31.2,16.76,5.24,0.08,0.27,18.6,29,3,6,63.4,58.8,0.09,-7.4,-5.8
75,30,38.0,45,412,139,33.7,10.84,3.66,0.09,0.27,19.1,18,7,11,51.0,42.8,0.11,-6.0,-4.8
76,27,38.0,56,474,163,34.4,12.47,4.29,0.1,0.3,18.8,26,7,8,53.5,47.2,0.1,2.5,1.8
77,28,38.0,28,489,134,27.4,12.87,3.53,0.05,0.18,19.5,18,4,10,46.3,38.4,0.08,-18.3,-14.4
78,24,34.0,50,396,153,38.6,11.65,4.5,0.1,0.26,18.4,14,10,10,46.7,38.9,0.1,3.3,1.1
79,31,38.0,48,511,174,34.1,13.45,4.58,0.09,0.25,17.7,18,4,5,59.5,55.7,0.11,-11.5,-11.7
80,26,38.0,36,447,136,30.4,11.76,3.58,0.07,0.24,18.1,11,3,3,39.9,37.6,0.09,-3.9,-4.6
81,29,38.0,37,368,109,29.6,9.68,2.87,0.09,0.29,19.6,24,5,6,35.8,31.1,0.09,1.2,0.9
82,30,38.0,34,380,122,32.1,10.0,3.21,0.09,0.28,18.1,11,0,3,36.5,34.1,0.09,-2.5,-0.1
83,25,38.0,43,445,121,27.2,11.71,3.18,0.08,0.3,19.2,21,7,7,45.5,40.0,0.09,-2.5,-4.0
84,26,34.0,35,362,119,32.9,10.65,3.5,0.09,0.29,18.5,17,1,3,40.3,38.0,0.11,-5.3,-4.0
85,26,38.0,27,338,95,28.1,8.89,2.5,0.08,0.27,18.2,15,1,1,31.6,30.8,0.1,-4.6,-4.8
86,27,38.0,53,449,151,33.6,11.82,3.97,0.12,0.35,17.8,21,0,2,46.0,44.4,0.1,7.0,8.6
87,25,38.0,70,620,209,33.7,16.32,5.5,0.11,0.33,18.4,28,2,3,64.7,62.3,0.1,5.3,5.7
88,25,38.0,35,421,132,31.4,11.08,3.47,0.06,0.2,18.9,26,8,11,45.5,37.0,0.09,-10.5,-10.0
89,25,38.0,30,358,118,33.0,9.42,3.11,0.08,0.24,18.7,16,2,3,38.0,35.7,0.1,-8.0,-7.7
90,27,38.0,45,436,131,30.0,11.47,3.45,0.09,0.29,19.1,14,7,7,43.2,37.7,0.09,1.8,0.3
91,25,38.0,63,473,175,37.0,12.45,4.61,0.12,0.31,18.7,26,8,8,56.0,49.8,0.11,7.0,5.2
92,32,38.0,56,470,162,34.5,12.37,4.26,0.11,0.32,19.3,15,4,5,53.3,49.3,0.11,2.7,2.7
93,29,38.0,42,434,126,29.0,11.42,3.32,0.09,0.31,17.9,10,3,6,45.0,40.2,0.09,-3.0,-1.2
94,25,34.0,34,437,144,33.0,12.85,4.24,0.08,0.24,18.1,22,0,0,38.9,38.9,0.09,-4.9,-4.9
95,24,38.0,31,377,111,29.4,9.92,2.92,0.08,0.27,17.7,15,1,1,36.5,35.7,0.1,-5.5,-5.7
96,27,38.0,48,368,127,34.5,9.68,3.34,0.13,0.36,18.2,17,2,4,36.7,33.6,0.09,11.3,12.4
97,29,34.0,36,347,113,32.6,10.21,3.32,0.1,0.31,19.7,23,1,6,34.2,29.7,0.09,1.8,5.3
