,Player,Squad,Playing Time - MP,Playing Time - Min,Playing Time - Mn/MP,Playing Time - Min%,Playing Time - 90s,Starts - Starts,Starts - Mn/Start,Starts - Compl,Subs - Subs,Subs - Mn/Sub,Subs - unSub,Team Success - PPM,Team Success - onG,Team Success - onGA,Team Success - +/-,Team Success - +/-90,Team Success - On-Off,Team Success (xG) - onxG,Team Success (xG) - onxGA,Team Success (xG) - xG+/-,Team Success (xG) - xG+/-90,Team Success (xG) - On-Off
748,Issa Diop,Fulham,7,393,56,39.7,4.4,4,90,4,3,11,4,1.57,5,5,0,0.00,-0.45,5.1,4.7,+0.3,+0.07,-0.52
749,Serigne Diop,Brest,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
750,Sofiane Diop,Nice,8,143,18,14.4,1.6,0,0.0,0,8,18,0,1.63,5,1,+4,+2.52,+1.88,4.5,1.9,+2.6,+1.68,+1.30
751,Andy Diouf,Lens,11,865,79,87.4,9.6,10,85,4,1,19,0,1.55,9,8,+1,+0.10,-1.34,14.0,12.8,+1.2,+0.12,-1.43
752,Yehvann Diouf,Reims,11,990,90,100.0,11.0,11,90,11,0,0.0,0,1.55,19,15,+4,+0.36,0.0,14.5,17.1,-2.5,-0.23,0.0
754,Assane Diousse,Auxerre,4,26,7,2.6,0.3,0,0.0,0,4,7,7,1.75,1,1,0,0.00,-0.09,1.1,0.8,+0.3,+1.06,+1.35
755,Axel Disasi,Chelsea,2,94,47,9.5,1.0,1,60,0,1,34,4,3.00,0,0,0,0.00,-0.80,1.2,1.9,-0.6,-0.59,-1.11
756,Roman Dixon,Everton,1,90,90,9.1,1.0,1,90,1,0,0.0,5,0.00,0,4,-4,-4.00,-3.70,1.0,2.4,-1.5,-1.45,-1.20
757,Alvaro djalo,Athletic Club,9,346,38,29.6,3.8,3,59,0,6,28,2,1.67,3,5,-2,-0.52,-1.39,5.3,4.5,+0.7,+0.19,-0.36
758,Djene,Getafe,12,947,79,80.9,10.5,12,79,8,0,0.0,0,0.83,7,8,-1,-0.10,+0.71,11.0,9.7,+1.3,+0.12,-0.30
759,Berat Djimsiti,Atalanta,11,924,84,85.6,10.3,11,84,10,0,0.0,0,2.00,24,13,+11,+1.07,-1.81,17.7,10.5,+7.1,+0.70,-1.21
760,Marko Dmitrovic,Leganés,7,630,90,53.8,7.0,7,90,7,0,0.0,6,1.29,10,9,+1,+0.14,+0.81,5.6,10.8,-5.2,-0.74,-0.04
761,Alan Do Marcolino,Rennes,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
762,Ritsu Doan,Freiburg,10,844,84,93.8,9.4,10,84,5,0,0.0,0,1.70,13,11,+2,+0.21,+0.21,14.2,8.6,+5.5,+0.59,-0.43
763,Dodo,Fiorentina,12,1080,90,100.0,12.0,12,90,12,0,0.0,0,2.08,25,10,+15,+1.25,0.0,19.2,11.2,+7.9,+0.66,0.0
764,Danilho Doekhi,Union Berlin,10,900,90,100.0,10.0,10,90,10,0,0.0,0,1.60,9,8,+1,+0.10,0.0,9.4,11.8,-2.5,-0.25,0.0
765,Matt Doherty,Wolves,5,211,42,21.3,2.3,2,90,2,3,10,6,0.80,2,9,-7,-2.99,-2.52,2.6,4.0,-1.4,-0.61,+0.18
766,Jeremy Doku,Manchester City,8,407,51,41.1,4.5,5,72,1,3,15,1,2.13,10,6,+4,+0.88,+0.11,9.4,3.8,+5.7,+1.25,+0.75
767,Jaume Domenech,Valencia,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
768,Marc Domenech,Mallorca,3,115,38,9.8,1.3,2,53,0,1,9,7,1.33,1,1,0,0.00,0.00,1.1,0.8,+0.3,+0.23,+0.01
769,Alex Dominguez,Toulouse,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
770,Benjamin Dominguez,Bologna,1,62,62,6.3,0.7,1,62,0,0,0.0,7,1.00,2,0,+2,+2.90,+2.90,0.6,0.3,+0.3,+0.47,+0.44
771,Carlos Dominguez,Celta Vigo,6,344,57,29.4,3.8,4,79,3,2,15,6,1.67,7,6,+1,+0.26,+0.59,4.1,4.2,-0.1,-0.04,-0.40
772,Israel Dominguez,Sevilla,1,18,18,1.5,0.2,0,0.0,0,1,18,1,0.00,0,0,0,0.00,+0.47,0.8,0.0,+0.8,+4.19,+4.51
773,Nicolas Dominguez,Nott'ham Forest,9,520,58,52.5,5.8,6,75,3,3,23,2,1.89,8,5,+3,+0.52,+0.14,7.1,6.9,+0.3,+0.05,-0.48
774,Sergi Dominguez,Barcelona,3,172,57,14.7,1.9,2,71,0,1,30,10,2.00,8,4,+4,+2.09,-0.07,4.3,4.3,0.0,+0.01,-1.43
775,Antonio Donnarumma,Torino,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
776,Gianluigi Donnarumma,Paris S-G,8,720,90,72.7,8.0,8,90,8,0,0.0,1,2.75,28,8,+20,+2.50,+1.50,23.3,6.9,+16.4,+2.06,+0.38
777,Ifenna Dorgu,Genoa,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
778,Patrick Dorgu,Lecce,11,940,85,87.0,10.4,11,85,9,0,0.0,0,0.73,5,21,-16,-1.53,-1.53,10.6,16.0,-5.4,-0.52,-0.46
780,Niklas Dorsch,Augsburg,1,32,32,3.6,0.4,0,0.0,0,1,32,0,1.00,0,0,0,0.00,+0.73,0.1,0.7,-0.6,-1.79,-1.71
781,Niklas Dorsch,Heidenheim,6,320,53,35.6,3.6,4,69,0,2,22,0,0.67,2,4,-2,-0.56,-0.56,4.0,3.7,+0.3,+0.09,+0.01
