,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Total - Cmp,Total - Att,Total - Cmp%,Total - TotDist,Total - PrgDist,Short - Cmp,Short - Att,Short - Cmp%,Medium - Cmp,Medium - Att,Medium - Cmp%,Long - Cmp,Long - Att,Long - Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
30,Youssef Aït Bennasser,ma MAR,MF,Saint-Étienne,Ligue 1,22.0,1996.0,10.4,572.0,656.0,87.2,10579.0,2532.0,247.0,274.0,90.1,241.0,269.0,89.6,72.0,83.0,86.7,0.0,0.4,0.4,-0.4,7.0,42.0,7.0,2.0,67.0
31,Youssef Aït Bennasser,ma MAR,MF,Monaco,Ligue 1,22.0,1996.0,11.9,633.0,737.0,85.9,12117.0,3794.0,237.0,257.0,92.2,303.0,336.0,90.2,82.0,119.0,68.9,2.0,0.8,0.6,1.2,12.0,70.0,6.0,0.0,86.0
32,Rayan Aït Nouri,dz ALG,"DF,MF",Angers,Ligue 1,17.0,2001.0,0.6,30.0,35.0,85.7,352.0,145.0,21.0,23.0,91.3,6.0,9.0,66.7,1.0,1.0,100.0,0.0,0.0,0.1,0.0,0.0,3.0,1.0,0.0,3.0
33,Ludovic Ajorque,fr FRA,FW,Strasbourg,Ligue 1,24.0,1994.0,17.0,339.0,459.0,73.9,4886.0,562.0,199.0,254.0,78.3,88.0,114.0,77.2,28.0,36.0,77.8,1.0,1.0,1.1,0.0,13.0,20.0,7.0,1.0,25.0
34,Manuel Akanji,ch SUI,DF,Dortmund,Bundesliga,23.0,1995.0,24.5,1722.0,1855.0,92.8,35445.0,11973.0,509.0,539.0,94.4,948.0,980.0,96.7,247.0,303.0,81.5,0.0,0.6,0.6,-0.6,6.0,94.0,3.0,2.0,122.0
35,Carlos Akapo,gq EQG,DF,Huesca,La Liga,25.0,1993.0,11.4,332.0,443.0,74.9,4988.0,1943.0,189.0,217.0,87.1,100.0,141.0,70.9,26.0,47.0,55.3,0.0,0.2,0.6,-0.2,3.0,21.0,4.0,0.0,34.0
36,Nathan Aké,nl NED,DF,Bournemouth,Premier League,23.0,1995.0,37.9,1491.0,1733.0,86.0,26259.0,10116.0,654.0,718.0,91.1,703.0,781.0,90.0,119.0,197.0,60.4,0.0,1.0,0.9,-1.0,7.0,74.0,6.0,3.0,98.0
37,Sergio Akieme,es ESP,DF,Rayo Vallecano,La Liga,20.0,1997.0,2.0,64.0,84.0,76.2,950.0,312.0,36.0,39.0,92.3,22.0,26.0,84.6,4.0,12.0,33.3,1.0,0.1,0.1,0.9,1.0,3.0,1.0,1.0,7.0
38,Chadrac Akolo,cd COD,"MF,FW",Stuttgart,Bundesliga,23.0,1995.0,5.8,119.0,161.0,73.9,1529.0,355.0,73.0,82.0,89.0,36.0,51.0,70.6,2.0,8.0,25.0,1.0,0.5,1.0,0.5,6.0,7.0,4.0,2.0,14.0
39,Kevin Akpoguma,ng NGA,DF,Hoffenheim,Bundesliga,23.0,1995.0,5.5,228.0,269.0,84.8,4015.0,1468.0,101.0,112.0,90.2,104.0,114.0,91.2,20.0,35.0,57.1,0.0,0.0,0.1,0.0,0.0,27.0,0.0,0.0,33.0
40,Kevin Akpoguma,ng NGA,DF,Hannover 96,Bundesliga,23.0,1995.0,3.5,135.0,171.0,78.9,2640.0,903.0,48.0,54.0,88.9,73.0,83.0,88.0,14.0,28.0,50.0,0.0,0.0,0.1,0.0,0.0,13.0,2.0,0.0,20.0
41,David Alaba,at AUT,DF,Bayern Munich,Bundesliga,26.0,1992.0,28.1,1769.0,2153.0,82.2,26475.0,8480.0,970.0,1061.0,91.4,637.0,755.0,84.4,92.0,184.0,50.0,3.0,4.4,5.8,-1.4,28.0,144.0,41.0,20.0,190.0
42,Sofiane Alakouch,ma MAR,DF,Nîmes,Ligue 1,20.0,1998.0,21.1,832.0,1096.0,75.9,11690.0,5247.0,522.0,588.0,88.8,237.0,313.0,75.7,38.0,105.0,36.2,0.0,1.5,1.3,-1.5,21.0,50.0,15.0,5.0,79.0
43,Lucas Alario,ar ARG,"FW,MF",Leverkusen,Bundesliga,25.0,1992.0,14.1,307.0,412.0,74.5,3588.0,644.0,179.0,218.0,82.1,62.0,92.0,67.4,12.0,14.0,85.7,3.0,1.4,1.3,1.6,15.0,6.0,8.0,0.0,22.0
44,Jordi Alba,es ESP,DF,Barcelona,La Liga,29.0,1989.0,33.2,2279.0,2695.0,84.6,33032.0,10768.0,1392.0,1511.0,92.1,716.0,852.0,84.0,110.0,188.0,58.5,8.0,6.7,5.9,1.3,47.0,140.0,57.0,7.0,207.0
45,Luis Alberto,es ESP,"MF,FW",Lazio,Serie A,25.0,1992.0,22.1,1115.0,1487.0,75.0,17984.0,6331.0,591.0,659.0,89.7,325.0,411.0,79.1,129.0,274.0,47.1,5.0,5.9,5.5,-0.9,76.0,136.0,54.0,7.0,200.0
46,Raúl Albiol,es ESP,DF,Napoli,Serie A,32.0,1985.0,19.0,1009.0,1131.0,89.2,22510.0,7869.0,250.0,260.0,96.2,545.0,591.0,92.2,205.0,258.0,79.5,0.0,0.4,0.7,-0.4,5.0,68.0,3.0,2.0,81.0
47,Miiko Albornoz,cl CHI,"DF,MF",Hannover 96,Bundesliga,27.0,1990.0,18.4,715.0,966.0,74.0,11843.0,4473.0,355.0,406.0,87.4,281.0,365.0,77.0,63.0,135.0,46.7,3.0,1.5,2.2,1.5,18.0,52.0,24.0,13.0,71.0
48,Marc Albrighton,eng ENG,"FW,MF",Leicester City,Premier League,28.0,1989.0,18.1,448.0,776.0,57.7,7849.0,2947.0,236.0,301.0,78.4,129.0,217.0,59.4,61.0,160.0,38.1,2.0,2.9,2.3,-0.9,28.0,53.0,29.0,14.0,64.0
49,Paco Alcácer,es ESP,FW,Dortmund,Bundesliga,24.0,1993.0,13.5,213.0,290.0,73.4,2420.0,456.0,147.0,182.0,80.8,39.0,60.0,65.0,5.0,9.0,55.6,0.0,1.6,2.5,-1.6,15.0,13.0,7.0,0.0,17.0
50,Pedro Alcalá,es ESP,DF,Girona,La Liga,29.0,1989.0,20.8,686.0,869.0,78.9,14910.0,5012.0,168.0,200.0,84.0,408.0,462.0,88.3,106.0,190.0,55.8,1.0,0.6,0.4,0.4,5.0,30.0,5.0,0.0,47.0
52,Thiago Alcántara,es ESP,MF,Bayern Munich,Bundesliga,27.0,1991.0,26.8,2325.0,2587.0,89.9,45160.0,12086.0,850.0,907.0,93.7,1047.0,1115.0,93.9,353.0,451.0,78.3,6.0,3.5,5.0,2.5,38.0,266.0,26.0,1.0,310.0
53,Rubén Alcaraz,es ESP,MF,Valladolid,La Liga,27.0,1991.0,33.1,1438.0,1757.0,81.8,29343.0,7859.0,556.0,603.0,92.2,604.0,681.0,88.7,254.0,402.0,63.2,2.0,0.9,1.1,1.1,20.0,172.0,2.0,0.0,181.0
54,Toby Alderweireld,be BEL,DF,Tottenham,Premier League,29.0,1989.0,32.5,2097.0,2382.0,88.0,45013.0,14391.0,609.0,645.0,94.4,1118.0,1194.0,93.6,352.0,500.0,70.4,0.0,0.6,1.7,-0.6,7.0,161.0,24.0,1.0,161.0
55,Álex Alegría,es ESP,"FW,MF",Rayo Vallecano,La Liga,25.0,1992.0,1.6,22.0,32.0,68.8,293.0,51.0,13.0,18.0,72.2,6.0,8.0,75.0,1.0,1.0,100.0,0.0,0.4,0.1,-0.4,3.0,2.0,1.0,0.0,5.0
56,Alexis Alegue,fr FRA,FW,Nantes,Ligue 1,21.0,1996.0,0.1,1.0,1.0,100.0,4.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,Iván Alejo,es ESP,MF,Getafe,La Liga,23.0,1995.0,1.6,18.0,43.0,41.9,341.0,87.0,7.0,15.0,46.7,7.0,16.0,43.8,3.0,6.0,50.0,0.0,0.6,0.4,-0.6,1.0,2.0,1.0,1.0,3.0
58,Carles Aleñá,es ESP,MF,Barcelona,La Liga,20.0,1998.0,7.1,536.0,587.0,91.3,8645.0,1908.0,272.0,288.0,94.4,208.0,218.0,95.4,43.0,55.0,78.2,0.0,0.7,0.8,-0.7,9.0,58.0,6.0,0.0,65.0
59,Rúnar Alex Rúnarsson,is ISL,GK,Dijon,Ligue 1,23.0,1995.0,25.0,623.0,871.0,71.5,19553.0,15144.0,70.0,70.0,100.0,302.0,305.0,99.0,250.0,487.0,51.3,0.0,0.0,0.1,0.0,0.0,10.0,1.0,0.0,0.0
60,Alexander,ar ARG,FW,Leganés,La Liga,29.0,1988.0,0.1,4.0,8.0,50.0,40.0,30.0,4.0,5.0,80.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,Trent Alexander-Arnold,eng ENG,DF,Liverpool,Premier League,19.0,1998.0,27.4,1644.0,2236.0,73.5,30562.0,10915.0,692.0,794.0,87.2,712.0,902.0,78.9,208.0,422.0,49.3,12.0,6.3,6.6,5.7,48.0,123.0,55.0,25.0,157.0
62,Rachid Alioui,ma MAR,FW,Nîmes,Ligue 1,26.0,1992.0,13.9,266.0,383.0,69.5,3443.0,668.0,182.0,231.0,78.8,54.0,84.0,64.3,11.0,27.0,40.7,0.0,1.2,0.7,-1.2,20.0,20.0,14.0,3.0,22.0
63,Alisson,br BRA,GK,Liverpool,Premier League,25.0,1992.0,38.0,1075.0,1290.0,83.3,28332.0,18517.0,143.0,148.0,96.6,625.0,628.0,99.5,307.0,510.0,60.2,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0
64,Bobby Allain,fr FRA,GK,Dijon,Ligue 1,26.0,1991.0,13.0,292.0,458.0,63.8,11262.0,9840.0,14.0,14.0,100.0,108.0,114.0,94.7,170.0,330.0,51.5,0.0,0.0,0.1,0.0,0.0,17.0,1.0,0.0,0.0
65,Allan,br BRA,MF,Napoli,Serie A,27.0,1991.0,29.1,1979.0,2231.0,88.7,31900.0,9338.0,1018.0,1089.0,93.5,733.0,795.0,92.2,165.0,211.0,78.2,3.0,2.5,2.9,0.5,34.0,255.0,30.0,4.0,236.0
66,Allan,br BRA,MF,Eint Frankfurt,Bundesliga,21.0,1997.0,2.0,42.0,64.0,65.6,778.0,226.0,16.0,29.0,55.2,17.0,23.0,73.9,6.0,7.0,85.7,0.0,0.0,0.1,0.0,1.0,11.0,1.0,0.0,4.0
67,Dele Alli,eng ENG,MF,Tottenham,Premier League,22.0,1996.0,20.3,836.0,1056.0,79.2,11782.0,2868.0,495.0,564.0,87.8,265.0,325.0,81.5,33.0,63.0,52.4,3.0,3.1,2.2,-0.1,27.0,67.0,29.0,1.0,111.0
68,Miguel Almirón,py PAR,MF,Newcastle Utd,Premier League,24.0,1994.0,8.4,188.0,263.0,71.5,2883.0,752.0,98.0,125.0,78.4,54.0,74.0,73.0,21.0,28.0,75.0,0.0,0.6,0.8,-0.6,13.0,21.0,12.0,7.0,25.0
69,Júnior Alonso,py PAR,"DF,MF",Celta Vigo,La Liga,25.0,1993.0,6.0,233.0,319.0,73.0,3830.0,1525.0,123.0,137.0,89.8,84.0,113.0,74.3,19.0,48.0,39.6,0.0,0.2,0.4,-0.2,5.0,14.0,2.0,1.0,21.0
70,Marcos Alonso,es ESP,DF,Chelsea,Premier League,27.0,1990.0,30.7,1862.0,2255.0,82.6,24620.0,7841.0,1227.0,1340.0,91.6,486.0,611.0,79.5,66.0,146.0,45.2,4.0,3.4,2.6,0.6,33.0,102.0,21.0,7.0,146.0
71,Mickaël Alphonse,gp GLP,DF,Dijon,Ligue 1,29.0,1989.0,6.3,185.0,301.0,61.5,2970.0,1145.0,90.0,111.0,81.1,76.0,115.0,66.1,12.0,54.0,22.2,0.0,0.4,0.3,-0.4,8.0,13.0,4.0,4.0,18.0
72,Sergio Álvarez,es ESP,"DF,MF",Eibar,La Liga,26.0,1992.0,11.9,395.0,500.0,79.0,7730.0,1938.0,122.0,144.0,84.7,212.0,252.0,84.1,49.0,79.0,62.0,0.0,0.1,0.1,-0.1,2.0,32.0,0.0,0.0,29.0
73,Sergio Álvarez,es ESP,GK,Celta Vigo,La Liga,31.0,1986.0,13.0,302.0,463.0,65.2,9673.0,7638.0,38.0,38.0,100.0,139.0,141.0,98.6,124.0,277.0,44.8,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
74,Yeray Álvarez,es ESP,DF,Athletic Club,La Liga,23.0,1995.0,29.0,1031.0,1294.0,79.7,20322.0,8052.0,348.0,390.0,89.2,542.0,625.0,86.7,126.0,241.0,52.3,0.0,0.1,0.4,-0.1,2.0,76.0,4.0,1.0,93.0
75,Bruno Alves,pt POR,DF,Parma,Serie A,36.0,1981.0,32.5,962.0,1245.0,77.3,22775.0,9654.0,221.0,260.0,85.0,505.0,592.0,85.3,232.0,360.0,64.4,1.0,1.0,1.1,0.0,10.0,57.0,3.0,2.0,72.0
76,Dani Alves,br BRA,"MF,DF",Paris S-G,Ligue 1,35.0,1983.0,18.0,1316.0,1581.0,83.2,18569.0,6221.0,766.0,822.0,93.2,359.0,437.0,82.2,88.0,148.0,59.5,7.0,6.4,5.5,0.6,33.0,135.0,47.0,11.0,163.0
78,Alfons Amade,de GER,MF,Hoffenheim,Bundesliga,18.0,1999.0,0.1,1.0,2.0,50.0,18.0,2.0,0.0,1.0,0.0,1.0,1.0,100.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,Ibrahim Amadou,fr FRA,"MF,DF",Sevilla,La Liga,25.0,1993.0,8.5,302.0,361.0,83.7,5164.0,1309.0,138.0,151.0,91.4,128.0,149.0,85.9,26.0,36.0,72.2,0.0,0.1,0.1,-0.1,3.0,19.0,0.0,0.0,25.0
80,Romain Amalfitano,fr FRA,"MF,FW",Dijon,Ligue 1,28.0,1989.0,28.0,835.0,1083.0,77.1,15893.0,4409.0,332.0,390.0,85.1,344.0,405.0,84.9,131.0,219.0,59.8,0.0,0.9,1.3,-0.9,15.0,105.0,26.0,6.0,134.0
81,Daniel Amartey,gh GHA,DF,Leicester City,Premier League,23.0,1994.0,7.1,357.0,435.0,82.1,5916.0,2458.0,184.0,197.0,93.4,138.0,172.0,80.2,30.0,52.0,57.7,0.0,0.1,0.1,-0.1,3.0,36.0,0.0,0.0,34.0
82,Jordi Amat,id IDN,DF,Rayo Vallecano,La Liga,26.0,1992.0,30.7,1064.0,1295.0,82.2,20994.0,7883.0,397.0,457.0,86.9,516.0,574.0,89.9,140.0,221.0,63.3,0.0,0.4,0.2,-0.4,5.0,63.0,0.0,0.0,95.0
83,Amath,sn SEN,MF,Getafe,La Liga,22.0,1996.0,11.1,142.0,210.0,67.6,2264.0,798.0,77.0,99.0,77.8,47.0,64.0,73.4,13.0,22.0,59.1,2.0,1.5,1.2,0.5,10.0,12.0,10.0,1.0,30.0
84,Jordan Amavi,fr FRA,DF,Marseille,Ligue 1,24.0,1994.0,24.2,961.0,1282.0,75.0,15187.0,4547.0,516.0,580.0,89.0,340.0,470.0,72.3,72.0,143.0,50.3,2.0,2.0,1.5,0.0,26.0,47.0,19.0,16.0,82.0
85,Kelvin Amian,fr FRA,DF,Toulouse,Ligue 1,20.0,1998.0,32.0,942.0,1208.0,78.0,14384.0,6159.0,530.0,603.0,87.9,322.0,411.0,78.3,59.0,130.0,45.4,1.0,0.8,0.7,0.2,8.0,75.0,12.0,4.0,106.0
86,Nadiem Amiri,de GER,MF,Hoffenheim,Bundesliga,21.0,1996.0,8.4,320.0,375.0,85.3,4935.0,1394.0,168.0,185.0,90.8,118.0,129.0,91.5,18.0,34.0,52.9,1.0,1.4,1.5,-0.4,16.0,29.0,12.0,1.0,50.0
87,Yanis Ammour,fr FRA,MF,Montpellier,Ligue 1,19.0,1999.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,Luke Amos,eng ENG,MF,Tottenham,Premier League,21.0,1997.0,0.0,1.0,3.0,33.3,9.0,6.0,1.0,2.0,50.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,Joachim Andersen,dk DEN,DF,Sampdoria,Serie A,22.0,1996.0,32.0,1804.0,2036.0,88.6,36128.0,13003.0,598.0,644.0,92.9,937.0,1000.0,93.7,254.0,359.0,70.8,1.0,0.7,0.5,0.3,8.0,139.0,5.0,0.0,154.0
90,Felipe Anderson,br BRA,"MF,FW",West Ham,Premier League,25.0,1993.0,33.8,1325.0,1824.0,72.6,20473.0,6459.0,703.0,832.0,84.5,378.0,506.0,74.7,130.0,241.0,53.9,4.0,6.1,7.4,-2.1,64.0,111.0,85.0,12.0,191.0
91,Florin Andone,ro ROU,FW,Brighton,Premier League,25.0,1993.0,9.8,113.0,170.0,66.5,1385.0,187.0,73.0,94.0,77.7,29.0,49.0,59.2,2.0,6.0,33.3,0.0,0.1,0.2,-0.1,2.0,3.0,1.0,1.0,4.0
92,Benjamin André,fr FRA,MF,Rennes,Ligue 1,27.0,1990.0,27.7,1174.0,1505.0,78.0,18044.0,5013.0,600.0,699.0,85.8,427.0,529.0,80.7,78.0,130.0,60.0,1.0,0.8,1.3,0.2,20.0,108.0,20.0,1.0,185.0
93,Marco Andreolli,it ITA,DF,Cagliari,Serie A,32.0,1986.0,1.2,65.0,72.0,90.3,1466.0,501.0,9.0,9.0,100.0,45.0,47.0,95.7,11.0,15.0,73.3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0
94,Marco Andreolli,it ITA,DF,Chievo,Serie A,32.0,1986.0,7.2,194.0,250.0,77.6,4049.0,1349.0,55.0,64.0,85.9,111.0,126.0,88.1,28.0,55.0,50.9,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,8.0
95,Yoann Andreu,fr FRA,DF,Angers,Ligue 1,29.0,1989.0,0.0,1.0,1.0,100.0,12.0,11.0,1.0,1.0,100.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,José Ángel,es ESP,DF,Eibar,La Liga,28.0,1989.0,33.6,1386.0,2173.0,63.8,29556.0,13592.0,488.0,569.0,85.8,582.0,822.0,70.8,289.0,663.0,43.6,1.0,5.7,5.5,-4.7,56.0,174.0,68.0,42.0,195.0
97,Miguel Ángel Moyá,es ESP,GK,Real Sociedad,La Liga,34.0,1984.0,11.0,292.0,363.0,80.4,8746.0,6055.0,35.0,35.0,100.0,133.0,134.0,99.3,124.0,192.0,64.6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
98,Cristian Ansaldi,ar ARG,"DF,MF",Torino,Serie A,31.0,1986.0,20.1,574.0,888.0,64.6,10975.0,4452.0,268.0,307.0,87.3,192.0,307.0,62.5,93.0,212.0,43.9,2.0,2.9,2.4,-0.9,35.0,53.0,47.0,30.0,93.0
99,Mirco Antenucci,it ITA,FW,SPAL,Serie A,33.0,1984.0,23.7,410.0,541.0,75.8,5440.0,1025.0,252.0,299.0,84.3,114.0,153.0,74.5,14.0,21.0,66.7,0.0,1.6,1.0,-1.6,23.0,31.0,11.0,2.0,50.0
