Player,Unnamed: 0,Nation,Pos,Squad,Comp,Age,Born,Playing Time - MP,Playing Time - Starts,Playing Time - Min,Playing Time - 90s,Performance - Gls,Performance - Ast,Performance - G-PK,Performance - PK,Performance - PKatt,Performance - CrdY,Performance - CrdR,Per 90 Minutes - Gls,Per 90 Minutes - Ast,Per 90 Minutes - G+A,Per 90 Minutes - G-PK,Per 90 Minutes - G+A-PK,Expected - xG,Expected - npxG,Expected - xAG,Expected - npxG+xAG,Per 90 Minutes - xG,Per 90 Minutes - xAG,Per 90 Minutes - xG+xAG,Per 90 Minutes - npxG,Per 90 Minutes - npxG+xAG,Unnamed: 0,Nation,Pos,Squad,Comp,Age,Born,90s,Standard - Gls,Standard - Sh,Standard - SoT,Standard - SoT%,Standard - Sh/90,Standard - SoT/90,Standard - G/Sh,Standard - G/SoT,Standard - Dist,Standard - FK,Standard - PK,Standard - PKatt,Expected - xG,Expected - npxG,Expected - npxG/Sh,Expected - G-xG,Expected - np:G-xG
Afriyie Acquah,10,GHA,MF,Empoli,it Serie A,26.0,1992.0,28.0,19.0,1510.0,16.8,2.0,0.0,2.0,0.0,0.0,4.0,0.0,0.12,0.0,0.12,0.12,0.12,1.4,1.4,0.8,2.2,0.09,0.05,0.13,0.09,0.13,10,GHA,MF,Empoli,it Serie A,26.0,1992.0,16.8,2.0,22.0,7.0,31.8,1.31,0.42,0.09,0.29,20.8,0.0,0.0,0.0,1.4,1.4,0.07,0.6,0.6
Tyler Adams,11,USA,MF,RB Leipzig,de Bundesliga,19.0,1999.0,10.0,8.0,721.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.25,0.1,0.1,1.0,1.1,0.01,0.13,0.13,0.01,0.13,11,USA,MF,RB Leipzig,de Bundesliga,19.0,1999.0,8.0,0.0,2.0,1.0,50.0,0.25,0.12,0.0,0.0,26.9,0.0,0.0,0.0,0.1,0.1,0.03,-0.1,-0.1
Antonio Adán,12,ESP,GK,Atlético Madrid,es La Liga,31.0,1987.0,1.0,1.0,90.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,ESP,GK,Atlético Madrid,es La Liga,31.0,1987.0,1.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
Aday,13,ESP,"DF,MF",Girona,es La Liga,30.0,1987.0,10.0,8.0,645.0,7.2,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.28,0.28,0.0,0.28,0.3,0.3,1.5,1.8,0.04,0.21,0.25,0.04,0.25,13,ESP,"DF,MF",Girona,es La Liga,30.0,1987.0,7.2,0.0,9.0,3.0,33.3,1.26,0.42,0.0,0.0,27.1,2.0,0.0,0.0,0.3,0.3,0.03,-0.3,-0.3
Khaled Adénon,14,BEN,DF,Amiens,fr Ligue 1,33.0,1985.0,23.0,22.0,1994.0,22.2,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.1,0.9,0.03,0.01,0.04,0.03,0.04,14,BEN,DF,Amiens,fr Ligue 1,33.0,1985.0,22.2,0.0,8.0,0.0,0.0,0.36,0.0,0.0,,10.8,0.0,0.0,0.0,0.7,0.7,0.09,-0.7,-0.7
Claud Adjapong,15,ITA,"MF,FW",Sassuolo,it Serie A,20.0,1998.0,5.0,3.0,270.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.33,0.0,0.33,0.33,0.33,0.7,0.7,0.1,0.8,0.24,0.02,0.26,0.24,0.26,15,ITA,"MF,FW",Sassuolo,it Serie A,20.0,1998.0,3.0,1.0,2.0,1.0,50.0,0.67,0.33,0.5,1.0,18.0,0.0,0.0,0.0,0.7,0.7,0.36,0.3,0.3
Yacine Adli,16,FRA,MF,Bordeaux,fr Ligue 1,18.0,2000.0,7.0,2.0,216.0,2.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.01,0.34,0.34,0.01,0.34,16,FRA,MF,Bordeaux,fr Ligue 1,18.0,2000.0,2.4,0.0,1.0,0.0,0.0,0.42,0.0,0.0,,46.4,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0
Ali Adnan Kadhim,17,IRQ,DF,Atalanta,it Serie A,24.0,1993.0,3.0,2.0,166.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.4,0.13,0.06,0.2,0.13,0.2,17,IRQ,DF,Atalanta,it Serie A,24.0,1993.0,1.8,0.0,3.0,0.0,0.0,1.63,0.0,0.0,,17.0,0.0,0.0,0.0,0.2,0.2,0.08,-0.2,-0.2
Aritz Aduriz,18,ESP,FW,Athletic Club,es La Liga,37.0,1981.0,20.0,10.0,943.0,10.5,2.0,0.0,0.0,2.0,2.0,5.0,0.0,0.19,0.0,0.19,0.0,0.0,3.3,1.8,0.7,2.5,0.32,0.07,0.38,0.17,0.23,18,ESP,FW,Athletic Club,es La Liga,37.0,1981.0,10.5,2.0,17.0,9.0,52.9,1.62,0.86,0.0,0.0,15.0,0.0,2.0,2.0,3.3,1.8,0.1,-1.3,-1.8
Luis Advíncula,19,PER,DF,Rayo Vallecano,es La Liga,28.0,1990.0,28.0,27.0,2389.0,26.5,1.0,3.0,1.0,0.0,0.0,6.0,2.0,0.04,0.11,0.15,0.04,0.15,1.1,1.1,2.4,3.5,0.04,0.09,0.13,0.04,0.13,19,PER,DF,Rayo Vallecano,es La Liga,28.0,1990.0,26.5,1.0,17.0,5.0,29.4,0.64,0.19,0.06,0.2,21.8,0.0,0.0,0.0,1.1,1.1,0.06,-0.1,-0.1
Martin Agirregabiria,20,ESP,DF,Alavés,es La Liga,22.0,1996.0,27.0,23.0,2032.0,22.6,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.02,0.02,0.0,0.02,20,ESP,DF,Alavés,es La Liga,22.0,1996.0,22.6,0.0,1.0,0.0,0.0,0.04,0.0,0.0,,23.8,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0
Nayef Aguerd,21,MAR,DF,Dijon,fr Ligue 1,22.0,1996.0,13.0,12.0,1050.0,11.7,3.0,0.0,3.0,0.0,0.0,4.0,1.0,0.26,0.0,0.26,0.26,0.26,1.5,1.5,0.1,1.6,0.13,0.01,0.14,0.13,0.14,21,MAR,DF,Dijon,fr Ligue 1,22.0,1996.0,11.7,3.0,10.0,4.0,40.0,0.86,0.34,0.3,0.75,14.0,0.0,0.0,0.0,1.5,1.5,0.15,1.5,1.5
Sergio Agüero,22,ARG,FW,Manchester City,eng Premier League,30.0,1988.0,33.0,31.0,2459.0,27.3,21.0,8.0,19.0,2.0,2.0,4.0,0.0,0.77,0.29,1.06,0.7,0.99,18.1,16.5,5.0,21.5,0.66,0.18,0.85,0.6,0.79,22,ARG,FW,Manchester City,eng Premier League,30.0,1988.0,27.3,21.0,116.0,41.0,35.3,4.25,1.5,0.16,0.46,15.1,3.0,2.0,2.0,18.1,16.5,0.14,2.9,2.5
Ruben Aguilar,23,FRA,DF,Montpellier,fr Ligue 1,25.0,1993.0,29.0,29.0,2528.0,28.1,1.0,4.0,1.0,0.0,0.0,8.0,0.0,0.04,0.14,0.18,0.04,0.18,0.9,0.9,2.5,3.4,0.03,0.09,0.12,0.03,0.12,23,FRA,DF,Montpellier,fr Ligue 1,25.0,1993.0,28.1,1.0,13.0,4.0,30.8,0.46,0.14,0.08,0.25,20.1,0.0,0.0,0.0,0.9,0.9,0.07,0.1,0.1
Juan Aguilera,24,ESP,MF,Huesca,es La Liga,32.0,1985.0,6.0,4.0,344.0,3.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.14,0.0,0.14,0.14,0.14,24,ESP,MF,Huesca,es La Liga,32.0,1985.0,3.8,0.0,3.0,1.0,33.3,0.78,0.26,0.0,0.0,19.0,0.0,0.0,0.0,0.5,0.5,0.17,-0.5,-0.5
Emmanuel Agyemang-Badu,26,GHA,MF,Udinese,it Serie A,27.0,1990.0,4.0,2.0,161.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.05,0.01,0.06,0.05,0.06,26,GHA,MF,Udinese,it Serie A,27.0,1990.0,1.8,0.0,2.0,0.0,0.0,1.12,0.0,0.0,,13.0,0.0,0.0,0.0,0.1,0.1,0.05,-0.1,-0.1
Jean-Eudes Aholou,27,CIV,MF,Monaco,fr Ligue 1,24.0,1994.0,17.0,12.0,1075.0,11.9,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.08,0.08,0.0,0.08,0.8,0.8,0.6,1.5,0.07,0.05,0.12,0.07,0.12,27,CIV,MF,Monaco,fr Ligue 1,24.0,1994.0,11.9,0.0,13.0,3.0,23.1,1.09,0.25,0.0,0.0,18.8,0.0,0.0,0.0,0.8,0.8,0.06,-0.8,-0.8
Antonis Aidonis,28,DEU,DF,Stuttgart,de Bundesliga,17.0,2001.0,2.0,1.0,80.0,0.9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,DEU,DF,Stuttgart,de Bundesliga,17.0,2001.0,0.9,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
Ola Aina,29,NGA,DF,Torino,it Serie A,21.0,1996.0,30.0,22.0,2160.0,24.0,1.0,3.0,1.0,0.0,0.0,5.0,1.0,0.04,0.12,0.17,0.04,0.17,1.4,1.4,2.5,4.0,0.06,0.11,0.17,0.06,0.17,29,NGA,DF,Torino,it Serie A,21.0,1996.0,24.0,1.0,24.0,5.0,20.8,1.0,0.21,0.04,0.2,19.5,0.0,0.0,0.0,1.4,1.4,0.06,-0.4,-0.4
Youssef Aït Bennasser,30,MAR,MF,Saint-Étienne,fr Ligue 1,22.0,1996.0,13.0,11.0,936.0,10.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.4,0.7,0.02,0.04,0.07,0.02,0.07,30,MAR,MF,Saint-Étienne,fr Ligue 1,22.0,1996.0,10.4,0.0,7.0,1.0,14.3,0.67,0.1,0.0,0.0,27.4,0.0,0.0,0.0,0.3,0.3,0.04,-0.3,-0.3
Rayan Aït Nouri,32,FRA,"DF,MF",Angers,fr Ligue 1,17.0,2001.0,3.0,0.0,57.0,0.6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,FRA,"DF,MF",Angers,fr Ligue 1,17.0,2001.0,0.6,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
Ludovic Ajorque,33,REU,FW,Strasbourg,fr Ligue 1,24.0,1994.0,25.0,18.0,1531.0,17.0,9.0,1.0,9.0,0.0,0.0,5.0,0.0,0.53,0.06,0.59,0.53,0.59,5.7,5.7,1.0,6.7,0.34,0.06,0.4,0.34,0.4,33,REU,FW,Strasbourg,fr Ligue 1,24.0,1994.0,17.0,9.0,46.0,17.0,37.0,2.7,1.0,0.2,0.53,15.5,2.0,0.0,0.0,5.7,5.7,0.12,3.3,3.3
Manuel Akanji,34,CHE,DF,Dortmund,de Bundesliga,23.0,1995.0,25.0,25.0,2205.0,24.5,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.04,0.0,0.04,0.04,0.04,0.5,0.5,0.6,1.1,0.02,0.02,0.04,0.02,0.04,34,CHE,DF,Dortmund,de Bundesliga,23.0,1995.0,24.5,1.0,7.0,2.0,28.6,0.29,0.08,0.14,0.5,13.2,0.0,0.0,0.0,0.5,0.5,0.07,0.5,0.5
Carlos Akapo,35,GNQ,DF,Huesca,es La Liga,25.0,1993.0,13.0,12.0,1023.0,11.4,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.4,0.02,0.02,0.04,0.02,0.04,35,GNQ,DF,Huesca,es La Liga,25.0,1993.0,11.4,0.0,7.0,1.0,14.3,0.62,0.09,0.0,0.0,24.2,0.0,0.0,0.0,0.2,0.2,0.03,-0.2,-0.2
Nathan Aké,36,NLD,DF,Bournemouth,eng Premier League,23.0,1995.0,38.0,38.0,3411.0,37.9,4.0,0.0,4.0,0.0,0.0,3.0,0.0,0.11,0.0,0.11,0.11,0.11,3.4,3.4,1.0,4.4,0.09,0.03,0.11,0.09,0.11,36,NLD,DF,Bournemouth,eng Premier League,23.0,1995.0,37.9,4.0,25.0,8.0,32.0,0.66,0.21,0.16,0.5,9.4,0.0,0.0,0.0,3.4,3.4,0.13,0.6,0.6
Sergio Akieme,37,ESP,DF,Rayo Vallecano,es La Liga,20.0,1997.0,2.0,2.0,180.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.0,0.0,0.1,0.1,0.0,0.03,0.03,0.0,0.03,37,ESP,DF,Rayo Vallecano,es La Liga,20.0,1997.0,2.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
Chadrac Akolo,38,COD,"MF,FW",Stuttgart,de Bundesliga,23.0,1995.0,16.0,5.0,525.0,5.8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.17,0.0,0.17,0.9,0.9,0.5,1.4,0.16,0.08,0.24,0.16,0.24,38,COD,"MF,FW",Stuttgart,de Bundesliga,23.0,1995.0,5.8,0.0,14.0,3.0,21.4,2.4,0.51,0.0,0.0,20.2,0.0,0.0,0.0,0.9,0.9,0.07,-0.9,-0.9
Kevin Akpoguma,39,NGA,DF,Hoffenheim,de Bundesliga,23.0,1995.0,8.0,5.0,499.0,5.5,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39,NGA,DF,Hoffenheim,de Bundesliga,23.0,1995.0,5.5,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
David Alaba,41,AUT,DF,Bayern Munich,de Bundesliga,26.0,1992.0,31.0,29.0,2530.0,28.1,3.0,3.0,3.0,0.0,0.0,4.0,0.0,0.11,0.11,0.21,0.11,0.21,3.2,3.2,4.4,7.6,0.11,0.16,0.27,0.11,0.27,41,AUT,DF,Bayern Munich,de Bundesliga,26.0,1992.0,28.1,3.0,47.0,16.0,34.0,1.67,0.57,0.06,0.19,25.8,16.0,0.0,0.0,3.2,3.2,0.07,-0.2,-0.2
Sofiane Alakouch,42,MAR,DF,Nîmes,fr Ligue 1,20.0,1998.0,25.0,23.0,1895.0,21.1,1.0,0.0,1.0,0.0,0.0,4.0,0.0,0.05,0.0,0.05,0.05,0.05,0.5,0.5,1.5,2.0,0.02,0.07,0.1,0.02,0.1,42,MAR,DF,Nîmes,fr Ligue 1,20.0,1998.0,21.1,1.0,13.0,3.0,23.1,0.62,0.14,0.08,0.33,22.3,0.0,0.0,0.0,0.5,0.5,0.04,0.5,0.5
Lucas Alario,43,ARG,FW,Leverkusen,de Bundesliga,25.0,1992.0,27.0,11.0,1265.0,14.1,9.0,3.0,9.0,0.0,0.0,1.0,0.0,0.64,0.21,0.85,0.64,0.85,6.7,6.7,1.4,8.1,0.47,0.1,0.57,0.47,0.57,43,ARG,FW,Leverkusen,de Bundesliga,25.0,1992.0,14.1,9.0,43.0,16.0,37.2,3.06,1.14,0.21,0.56,11.7,0.0,0.0,0.0,6.7,6.7,0.15,2.3,2.3
Jordi Alba,44,ESP,DF,Barcelona,es La Liga,29.0,1989.0,36.0,32.0,2991.0,33.2,2.0,8.0,2.0,0.0,0.0,6.0,0.0,0.06,0.24,0.3,0.06,0.3,1.8,1.8,6.7,8.5,0.05,0.2,0.25,0.05,0.25,44,ESP,DF,Barcelona,es La Liga,29.0,1989.0,33.2,2.0,13.0,4.0,30.8,0.39,0.12,0.15,0.5,14.7,0.0,0.0,0.0,1.8,1.8,0.14,0.2,0.2
Luis Alberto,45,ESP,"MF,FW",Lazio,it Serie A,25.0,1992.0,27.0,25.0,1990.0,22.1,4.0,5.0,3.0,1.0,1.0,5.0,1.0,0.18,0.23,0.41,0.14,0.36,4.2,3.4,5.9,9.4,0.19,0.27,0.46,0.16,0.42,45,ESP,"MF,FW",Lazio,it Serie A,25.0,1992.0,22.1,4.0,67.0,12.0,17.9,3.03,0.54,0.04,0.25,22.5,7.0,1.0,1.0,4.2,3.4,0.05,-0.2,-0.4
Raúl Albiol,46,ESP,DF,Napoli,it Serie A,32.0,1985.0,20.0,19.0,1713.0,19.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0,0.05,0.0,0.05,0.05,0.05,0.3,0.3,0.4,0.7,0.01,0.02,0.04,0.01,0.04,46,ESP,DF,Napoli,it Serie A,32.0,1985.0,19.0,1.0,4.0,1.0,25.0,0.21,0.05,0.25,1.0,10.0,0.0,0.0,0.0,0.3,0.3,0.07,0.7,0.7
Miiko Albornoz,47,CHL,"DF,MF",Hannover 96,de Bundesliga,27.0,1990.0,22.0,19.0,1660.0,18.4,1.0,3.0,1.0,0.0,0.0,3.0,1.0,0.05,0.16,0.22,0.05,0.22,0.3,0.3,1.5,1.8,0.02,0.08,0.1,0.02,0.1,47,CHL,"DF,MF",Hannover 96,de Bundesliga,27.0,1990.0,18.4,1.0,11.0,4.0,36.4,0.6,0.22,0.09,0.25,25.5,0.0,0.0,0.0,0.3,0.3,0.03,0.7,0.7
Marc Albrighton,48,GBR,"FW,MF",Leicester City,eng Premier League,28.0,1989.0,27.0,18.0,1625.0,18.1,2.0,2.0,2.0,0.0,0.0,3.0,0.0,0.11,0.11,0.22,0.11,0.22,1.2,1.2,2.9,4.1,0.07,0.16,0.23,0.07,0.23,48,GBR,"FW,MF",Leicester City,eng Premier League,28.0,1989.0,18.1,2.0,19.0,7.0,36.8,1.05,0.39,0.11,0.29,21.4,0.0,0.0,0.0,1.2,1.2,0.06,0.8,0.8
Paco Alcácer,49,ESP,FW,Dortmund,de Bundesliga,24.0,1993.0,26.0,11.0,1211.0,13.5,18.0,0.0,17.0,1.0,1.0,0.0,0.0,1.34,0.0,1.34,1.26,1.26,9.5,8.8,1.6,10.4,0.71,0.12,0.83,0.65,0.77,49,ESP,FW,Dortmund,de Bundesliga,24.0,1993.0,13.5,18.0,51.0,26.0,51.0,3.79,1.93,0.33,0.65,16.0,6.0,1.0,1.0,9.5,8.8,0.17,8.5,8.2
Pedro Alcalá,50,ESP,DF,Girona,es La Liga,29.0,1989.0,25.0,20.0,1868.0,20.8,1.0,1.0,1.0,0.0,0.0,9.0,0.0,0.05,0.05,0.1,0.05,0.1,1.0,1.0,0.6,1.6,0.05,0.03,0.08,0.05,0.08,50,ESP,DF,Girona,es La Liga,29.0,1989.0,20.8,1.0,15.0,3.0,20.0,0.72,0.14,0.07,0.33,20.2,4.0,0.0,0.0,1.0,1.0,0.07,0.0,0.0
Thiago Alcántara,52,ESP,MF,Bayern Munich,de Bundesliga,27.0,1991.0,30.0,26.0,2408.0,26.8,2.0,6.0,2.0,0.0,0.0,5.0,0.0,0.07,0.22,0.3,0.07,0.3,1.9,1.9,3.5,5.4,0.07,0.13,0.2,0.07,0.2,52,ESP,MF,Bayern Munich,de Bundesliga,27.0,1991.0,26.8,2.0,23.0,7.0,30.4,0.86,0.26,0.09,0.29,20.1,1.0,0.0,0.0,1.9,1.9,0.08,0.1,0.1
Rubén Alcaraz,53,ESP,MF,Valladolid,es La Liga,27.0,1991.0,34.0,34.0,2976.0,33.1,3.0,2.0,3.0,0.0,1.0,13.0,0.0,0.09,0.06,0.15,0.09,0.15,3.5,2.7,0.9,3.6,0.1,0.03,0.13,0.08,0.11,53,ESP,MF,Valladolid,es La Liga,27.0,1991.0,33.1,3.0,51.0,11.0,21.6,1.54,0.33,0.06,0.27,25.9,11.0,0.0,1.0,3.5,2.7,0.05,-0.5,0.3
Toby Alderweireld,54,BEL,DF,Tottenham,eng Premier League,29.0,1989.0,34.0,33.0,2922.0,32.5,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,1.1,0.6,1.8,0.03,0.02,0.05,0.03,0.05,54,BEL,DF,Tottenham,eng Premier League,29.0,1989.0,32.5,0.0,19.0,5.0,26.3,0.59,0.15,0.0,0.0,14.1,0.0,0.0,0.0,1.1,1.1,0.06,-1.1,-1.1
Álex Alegría,55,ESP,"FW,MF",Rayo Vallecano,es La Liga,25.0,1992.0,9.0,0.0,140.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.4,0.6,0.16,0.24,0.4,0.16,0.4,55,ESP,"FW,MF",Rayo Vallecano,es La Liga,25.0,1992.0,1.6,0.0,3.0,2.0,66.7,1.93,1.29,0.0,0.0,16.8,0.0,0.0,0.0,0.2,0.2,0.08,-0.2,-0.2
