,# Pl,Poss,90s,Touches - Touches,Touches - Def Pen,Touches - Def 3rd,Touches - Mid 3rd,Touches - Att 3rd,Touches - Att Pen,Touches - Live,Take-Ons - Att,Take-Ons - Succ,Take-Ons - Succ%,Take-Ons - Tkld,Take-Ons - Tkld%,Carries - Carries,Carries - TotDist,Carries - PrgDist,Carries - PrgC,Carries - 1/3,Carries - CPA,Carries - Mis,Carries - Dis,Receiving - Rec,Receiving - PrgR
28,28,47.4,38.0,20894,2792,7114,8751,5240,789,20887,547,291,53.2,255,46.6,11739,64693,34764,658,438,129,584,335,12671,1465
29,34,46.9,38.0,20970,2604,7525,9167,4471,581,20965,616,373,60.6,243,39.4,11191,60124,30222,610,468,119,563,331,13239,1196
30,33,40.0,38.0,19075,2289,6394,7899,5013,728,19068,634,337,53.2,295,46.5,9422,53443,25599,512,388,143,640,325,10276,1086
31,28,57.7,38.0,24439,2417,8057,10824,5796,923,24427,542,301,55.5,240,44.3,14623,77944,39314,755,546,184,618,275,17288,1567
32,26,49.0,34.0,19480,2322,6642,8357,4649,750,19474,420,226,53.8,194,46.2,9662,49455,24484,401,331,102,538,219,11501,1223
33,40,43.9,38.0,20229,2408,6913,9038,4503,696,20222,581,302,52.0,278,47.8,10185,50318,24651,517,384,133,732,373,11085,1090
34,31,41.5,38.0,18658,2003,5988,8734,4125,551,18653,452,242,53.5,210,46.5,9326,44746,20748,399,328,92,603,301,10197,910
35,32,44.7,38.0,19055,2401,6704,8239,4287,600,19050,495,270,54.5,225,45.5,9255,49523,24761,435,354,96,588,321,10466,1036
36,29,43.6,34.0,17946,2396,6666,7952,3509,505,17941,536,266,49.6,270,50.4,9290,47683,22121,413,281,107,621,308,10087,967
37,31,50.6,38.0,21791,2173,6491,10061,5483,883,21783,590,313,53.1,276,46.8,11502,60870,30016,677,468,175,683,383,12927,1572
38,36,43.7,34.0,18046,2255,6954,7844,3430,547,18043,526,281,53.4,245,46.6,8883,47745,22989,462,296,92,537,316,10214,959
39,32,53.2,34.0,21823,2385,7462,9467,5067,866,21823,525,249,47.4,275,52.4,12635,63453,31714,588,350,151,551,241,14184,1462
40,27,56.5,38.0,25692,2568,8099,11248,6574,1193,25680,471,255,54.1,216,45.9,15187,75463,39052,782,500,205,544,245,18155,1768
41,32,51.5,38.0,23918,2492,7794,11044,5316,885,23911,637,367,57.6,271,42.5,13534,68320,34106,701,483,184,607,312,16334,1456
42,26,54.8,34.0,20891,2450,7559,8852,4687,781,20890,509,252,49.5,256,50.3,11262,57192,28130,550,391,105,584,258,12515,1398
43,27,55.4,38.0,26867,2495,8040,13314,5750,804,26858,610,334,54.8,274,44.9,15747,79463,41085,788,564,183,555,273,19495,1516
44,29,52.3,38.0,22705,2608,8521,9502,4919,789,22700,655,339,51.8,316,48.2,12260,67099,36354,671,412,170,676,298,13865,1467
45,28,52.0,38.0,24409,2771,8575,11067,4962,746,24407,547,297,54.3,250,45.7,13897,68708,34763,622,467,157,601,368,16036,1351
46,28,50.7,38.0,24163,2058,6639,12383,5399,748,24158,594,345,58.1,250,42.1,15515,88191,47289,763,564,142,617,336,16448,1680
47,31,47.2,38.0,20500,2377,7382,8840,4535,719,20487,683,348,51.0,335,49.0,10842,56754,29187,569,405,154,614,302,12487,1334
48,29,53.7,34.0,22247,2353,7516,10602,4364,806,22241,706,401,56.8,305,43.2,13043,70540,37410,709,494,177,608,296,14605,1334
49,26,50.8,38.0,23068,2112,6990,11083,5263,793,23063,620,313,50.5,306,49.4,14302,79012,40425,725,540,183,655,347,14980,1472
50,27,62.7,38.0,29575,2130,7195,14176,8419,1377,29567,635,343,54.0,291,45.8,17262,84190,45325,885,672,290,590,366,21042,2227
51,29,44.4,38.0,21037,2054,6869,10009,4373,597,21034,597,307,51.4,290,48.6,12358,64255,31731,569,446,126,644,332,13060,1251
52,30,58.4,38.0,27712,2276,7862,13801,6302,913,27704,814,489,60.1,325,39.9,18559,92512,45471,781,625,207,704,408,19671,1739
53,26,54.0,34.0,21886,2151,7493,10390,4173,745,21879,610,359,58.9,251,41.1,12219,58910,30071,527,348,163,573,309,14453,1287
54,28,46.5,34.0,19090,1958,6503,8458,4323,753,19086,506,269,53.2,237,46.8,9359,44413,21380,445,312,114,670,295,10664,1169
55,33,45.3,38.0,19305,2231,6593,8320,4619,647,19298,612,368,60.1,244,39.9,10034,55423,27611,575,449,112,613,404,10923,1110
56,26,67.9,38.0,31381,1837,6566,15281,9729,1499,31372,741,425,57.4,316,42.6,21064,110018,61200,1145,840,386,497,316,24212,2402
57,29,52.7,38.0,24652,2256,7391,11141,6331,883,24647,631,368,58.3,263,41.7,13954,76394,41495,784,587,213,538,333,16590,1562
58,27,61.7,38.0,27998,1932,7517,14192,6507,861,27988,573,307,53.6,266,46.4,19841,101736,52302,762,630,200,569,328,21071,1854
59,36,42.9,38.0,20273,2201,7342,9598,3595,412,20272,609,334,54.8,275,45.2,12090,68592,32106,572,464,90,710,364,11964,1004
60,28,54.0,38.0,23507,2057,6813,10934,6067,987,23499,779,456,58.5,323,41.5,13142,77523,41919,806,583,198,627,312,15548,1468
61,27,54.1,38.0,24599,2002,6595,12120,6112,936,24590,652,366,56.1,286,43.9,15043,79820,40906,750,546,189,654,321,16188,1855
62,26,48.2,38.0,21921,2665,7961,9658,4518,574,21917,590,316,53.6,274,46.4,13539,71134,35564,604,424,95,648,340,13818,1269
63,26,43.9,38.0,20769,1992,6238,9782,4964,703,20764,676,333,49.3,343,50.7,11889,64267,30486,607,467,173,587,352,12477,1319
64,27,58.3,38.0,26604,2258,7411,13013,6400,969,26590,595,357,60.0,238,40.0,16522,80220,42230,827,571,243,525,294,19439,1658
65,29,40.4,38.0,18281,2310,6731,7483,4314,727,18278,632,359,56.8,273,43.2,9243,50896,23964,544,397,163,622,359,10113,911
66,27,51.5,38.0,23930,2031,6830,12258,5096,752,23920,699,387,55.4,310,44.3,15574,85662,42891,732,580,150,635,349,16009,1458
67,28,42.9,38.0,20234,2911,8245,8047,4167,601,20231,581,298,51.3,283,48.7,11136,60854,30074,566,356,126,548,313,12047,1018
68,29,46.9,38.0,20565,2013,6066,9272,5397,697,20557,467,261,55.9,206,44.1,10211,50361,23279,417,358,76,597,309,11775,1313
69,36,63.0,38.0,30477,2211,7261,15653,7791,1017,30469,872,490,56.2,381,43.7,21529,108747,56045,877,815,236,554,348,23683,2032
70,28,49.9,38.0,21279,2161,6591,9702,5241,734,21275,639,357,55.9,282,44.1,10829,61444,32089,697,497,151,696,371,12632,1299
71,29,56.1,34.0,23539,2043,6990,11522,5238,926,23530,561,347,61.9,213,38.0,13246,62485,31289,542,412,161,647,356,16072,1454
72,31,59.9,38.0,28389,2399,8154,12038,8430,1198,28377,780,456,58.5,324,41.5,18562,96303,51714,1029,757,330,495,277,21234,2061
73,32,54.3,38.0,23452,2574,7504,10671,5504,851,23442,670,360,53.7,310,46.3,13289,69380,36038,667,546,178,626,391,15188,1447
74,35,42.2,38.0,20184,2495,7676,8540,4230,585,20178,594,329,55.4,265,44.6,11812,67583,34288,614,455,127,701,324,11991,1174
75,28,55.9,38.0,25210,2049,7040,12435,5946,900,25206,530,287,54.2,243,45.8,15801,85120,42452,676,536,141,587,269,17502,1723
76,29,51.4,38.0,22920,2037,7038,10754,5378,950,22911,631,331,52.5,299,47.4,12532,69249,35320,733,538,178,615,287,15103,1572
77,39,48.5,38.0,22334,2054,7008,10845,4749,605,22329,736,397,53.9,339,46.1,12777,72054,36381,685,516,156,725,398,13788,1391
78,42,41.2,38.0,18655,2352,6217,8257,4416,685,18650,586,314,53.6,272,46.4,9642,51208,25814,528,429,95,616,330,10598,1021
79,34,46.1,38.0,20985,2663,7609,9149,4408,639,20981,422,228,54.0,194,46.0,11438,53480,25783,467,358,79,543,270,12778,1175
80,29,54.9,38.0,24369,2657,8125,11171,5330,792,24362,678,403,59.4,275,40.6,14716,79816,42134,815,598,207,601,386,16865,1499
81,33,59.4,38.0,25980,2692,8904,11372,5872,742,25977,588,305,51.9,283,48.1,15097,68309,34977,625,517,139,589,326,18197,1580
82,25,47.7,38.0,21418,2216,6541,9409,5713,830,21414,624,350,56.1,274,43.9,11085,62327,31425,728,561,197,626,366,12388,1314
83,30,42.7,38.0,19686,2657,7663,8066,4175,585,19681,546,292,53.5,254,46.5,10353,53481,25772,511,390,129,649,353,11519,992
84,26,49.5,38.0,22693,2019,6434,10911,5563,830,22685,498,272,54.6,226,45.4,13461,70285,35497,573,474,117,589,300,14474,1579
85,34,50.7,34.0,21548,2343,7263,10064,4479,666,21545,693,372,53.7,321,46.3,12162,62523,31412,571,420,137,707,302,13666,1262
86,31,53.3,38.0,22240,1992,6337,10386,5725,744,22234,512,295,57.6,216,42.2,12481,64081,31432,628,538,156,643,286,13797,1302
87,25,51.8,38.0,24853,2515,8010,11453,5627,864,24848,667,375,56.2,291,43.6,15122,82037,42338,791,596,195,588,341,17097,1450
88,35,44.4,38.0,20860,2469,7825,9020,4253,534,20853,586,318,54.3,268,45.7,13005,68621,33290,598,455,96,588,322,12988,1209
89,29,42.7,38.0,19617,2307,6580,8424,4863,847,19613,680,363,53.4,316,46.5,10325,57488,30348,669,464,205,653,334,11548,1219
90,28,43.7,34.0,18570,2048,6538,8339,3889,646,18565,413,244,59.1,168,40.7,9551,48478,22821,429,282,105,572,231,10576,1114
91,34,43.6,38.0,17905,1994,5790,7525,4822,630,17896,642,360,56.1,282,43.9,9186,52453,27482,554,449,109,656,294,9503,1187
92,39,42.3,38.0,19705,2975,8135,7823,3969,548,19701,577,300,52.0,276,47.8,10506,57625,29460,540,378,103,609,313,11485,1075
93,29,56.8,38.0,24258,2439,7743,10778,5950,974,24252,746,450,60.3,296,39.7,14622,78519,42169,790,483,240,570,332,16415,1683
94,30,40.7,38.0,19161,2469,7245,7827,4328,625,19159,751,395,52.6,356,47.4,9428,51370,24863,557,380,148,639,389,10320,1057
95,25,47.9,38.0,22331,2444,7012,9992,5543,810,22325,545,306,56.1,239,43.9,12622,68100,32664,646,479,171,520,294,14229,1437
96,30,50.5,34.0,20456,2349,7267,9364,4020,633,20452,541,319,59.0,222,41.0,11258,55405,26778,502,364,99,603,284,12511,1212
97,26,49.5,38.0,23334,2657,8472,10204,4887,703,23333,771,450,58.4,321,41.6,12837,69338,36188,723,522,190,598,341,15117,1262
