,Player,Squad,90s,Tackles - Tkl,Tackles - TklW,Tackles - Def 3rd,Tackles - Mid 3rd,Tackles - Att 3rd,Challenges - Tkl,Challenges - Att,Challenges - Tkl%,Challenges - Lost,Blocks - Blocks,Blocks - Sh,Blocks - Pass,Int,Tkl+Int,Clr,Err
1433,Yerson Mosquera,Wolves,4.9,11,7,9,2,0,9,14,64.3,5,13,10,3,10,21,14,0
1434,Dany Mota,Monza,2.6,2,0,1,0,1,0,0,0.0,0,3,0,3,2,4,2,0
1435,Aimen Moueffek,Saint-Étienne,3.4,5,1,0,4,1,1,5,20.0,4,5,3,2,2,7,12,0
1436,Youssoufa Moukoko,Nice,1.2,1,0,1,0,0,0,1,0.0,1,0,0,0,0,1,0,0
1437,Steve Mounie,Augsburg,2.0,2,2,0,0,2,0,1,0.0,1,1,1,0,0,2,1,0
1438,Mason Mount,Manchester Utd,1.6,5,1,2,3,0,4,5,80.0,1,3,0,3,0,5,0,0
1439,Santiago Mourino,Alavés,2.7,11,8,10,1,0,6,12,50.0,6,1,0,1,4,15,9,0
1440,Louis Mouton,Saint-Étienne,0.6,5,2,2,1,2,1,3,33.3,2,0,0,0,0,5,2,0
1441,Mykhailo Mudryk,Chelsea,0.9,0,0,0,0,0,0,0,0.0,0,1,1,0,0,0,0,0
1442,Ngal'Ayel Mukau,Lille,1.4,7,5,2,4,1,5,9,55.6,4,2,0,2,2,9,1,0
1443,Nordi Mukiele,Leverkusen,0.6,2,2,0,1,1,2,2,100.0,0,1,0,1,1,3,2,1
1444,Florian Muller,Freiburg,2.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
1445,Kevin Muller,Heidenheim,6.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,2,0
1446,Thomas Muller,Bayern Munich,2.4,3,1,0,2,1,2,4,50.0,2,2,0,2,0,3,2,0
1447,Abdul Mumin,Rayo Vallecano,9.0,8,7,5,3,0,1,6,16.7,5,15,10,5,12,20,50,0
1448,Marshall Munetsi,Reims,6.9,12,8,8,2,2,7,12,58.3,5,10,3,7,5,17,9,0
1449,Rodrigo Muniz,Fulham,3.2,0,0,0,0,0,0,0,0.0,0,1,1,0,1,1,4,0
1450,Aihen Munoz,Real Sociedad,1.4,1,1,1,0,0,1,2,50.0,1,0,0,0,1,2,7,0
1451,Alex Munoz,Las Palmas,5.7,17,14,8,8,1,11,14,78.6,3,11,4,7,7,24,23,0
1452,Daniel Munoz,Crystal Palace,6.1,20,14,10,9,1,7,13,53.8,6,6,1,5,5,25,16,0
1453,Iker Munoz,Osasuna,0.5,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0
1454,Javier Munoz,Las Palmas,6.8,10,9,3,5,2,4,10,40.0,6,7,0,7,6,16,5,1
1456,Arijanet Muric,Ipswich Town,6.0,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,2,3
1457,Murillo,Nott'ham Forest,7.0,7,4,4,3,0,5,13,38.5,8,12,9,3,3,10,40,1
