,# Pl,90s,Tackles - Tkl,Tackles - TklW,Tackles - Def 3rd,Tackles - Mid 3rd,Tackles - Att 3rd,Challenges - Tkl,Challenges - Att,Challenges - Tkl%,Challenges - Lost,Blocks - Blocks,Blocks - Sh,Blocks - Pass,Int,Tkl+Int,Clr,Err
52,20,8.0,153,93,87,51,15,80,140,57.1,60,92,27,65,70,223,166,4
53,27,8.0,138,78,50,56,32,60,173,34.7,113,83,24,59,71,209,106,3
54,23,7.0,107,66,48,50,9,48,100,48.0,52,114,44,70,66,173,172,0
55,22,7.0,102,58,52,40,10,52,109,47.7,57,83,16,67,89,191,129,1
56,21,9.0,185,110,91,77,17,88,165,53.3,77,80,30,50,84,269,168,3
57,24,8.0,113,68,52,43,18,54,96,56.3,42,64,16,48,42,155,88,4
58,25,8.0,135,80,60,50,25,71,160,44.4,89,101,28,73,56,191,143,1
59,22,8.0,121,72,57,47,17,56,122,45.9,66,89,27,62,80,201,169,1
60,28,8.0,127,78,65,38,24,46,116,39.7,70,97,32,65,93,220,178,0
61,23,8.0,96,55,52,32,12,44,88,50.0,44,78,30,48,61,157,106,1
62,19,8.0,150,92,44,83,23,71,147,48.3,76,87,16,71,94,244,116,1
63,22,7.9,129,99,69,43,17,74,167,44.3,93,79,20,59,71,200,136,0
64,24,8.0,135,78,69,53,13,59,111,53.2,52,73,27,46,66,201,114,3
65,26,8.0,127,75,66,51,10,58,117,49.6,59,93,29,64,77,204,187,0
66,21,8.0,144,84,65,56,23,70,149,47.0,79,66,14,52,56,200,84,0
67,20,8.0,123,77,57,51,15,55,135,40.7,80,94,30,64,42,165,112,3
68,21,8.0,128,82,58,53,17,66,134,49.3,68,91,23,68,64,192,109,3
69,25,8.0,147,86,92,41,14,65,124,52.4,59,92,39,53,74,221,211,2
70,22,9.0,118,72,50,50,18,57,130,43.8,73,91,25,66,71,189,195,3
71,21,8.0,134,82,50,51,33,65,130,50.0,65,82,21,61,64,198,80,4
72,22,9.0,137,80,61,57,19,62,144,43.1,82,85,22,63,59,196,205,2
73,21,7.0,127,74,58,59,10,55,119,46.2,64,97,13,84,54,181,100,1
74,21,9.0,135,84,63,60,12,57,105,54.3,48,83,29,54,82,217,126,3
75,24,9.0,135,85,62,54,19,59,135,43.7,76,93,25,68,62,197,141,4
76,21,8.0,160,93,81,59,20,86,186,46.2,100,107,33,74,88,248,174,1
77,24,8.0,110,69,46,43,21,59,112,52.7,53,91,30,61,78,188,134,2
78,23,8.0,143,87,60,66,17,64,124,51.6,60,71,18,53,53,196,93,2
79,23,8.0,108,67,61,34,13,58,119,48.7,61,77,32,45,67,175,133,4
80,26,8.0,99,57,54,37,8,46,103,44.7,57,77,24,53,70,169,145,3
81,27,8.0,158,109,74,58,26,78,144,54.2,66,79,22,57,70,228,143,0
82,25,8.0,146,81,79,46,21,57,143,39.9,86,137,48,89,78,224,240,4
83,20,8.0,143,81,70,60,13,76,152,50.0,76,93,26,67,76,219,131,4
84,22,7.0,105,59,48,47,10,58,103,56.3,45,67,21,46,58,163,130,1
85,23,8.0,91,56,36,44,11,35,84,41.7,49,69,20,49,66,157,113,2
86,21,8.0,160,101,76,56,28,78,144,54.2,66,95,30,65,72,232,159,2
87,22,8.0,120,78,64,47,9,62,137,45.3,75,120,43,77,65,185,209,2
88,25,8.0,119,67,71,36,12,57,120,47.5,63,76,23,53,61,180,136,5
89,24,7.0,108,71,40,45,23,56,98,57.1,42,80,21,59,66,174,144,0
90,24,9.0,166,98,76,71,19,80,162,49.4,82,94,17,77,69,235,181,3
91,23,9.0,150,96,75,55,20,63,131,48.1,68,89,30,59,62,212,168,3
92,24,7.0,131,77,57,63,11,63,127,49.6,64,90,29,61,44,175,157,2
93,19,8.0,146,96,80,49,17,68,136,50.0,68,121,49,72,89,235,228,1
94,21,7.0,104,60,57,34,13,49,108,45.4,59,103,19,84,64,168,164,1
95,21,8.0,148,87,86,49,13,65,127,51.2,62,102,44,58,69,217,177,2
