,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Performance - CrdY,Performance - CrdR,Performance - 2CrdY,Performance - Fls,Performance - Fld,Performance - Off,Performance - Crs,Performance - Int,Performance - TklW,Performance - PKwon,Performance - PKcon,Performance - OG,Performance - Recov,Aerial Duels - Won,Aerial Duels - Lost,Aerial Duels - Won%
17,Yacine Adli,fr FRA,MF,Bordeaux,Ligue 1,19.0,2000.0,11.3,3.0,0.0,0.0,13.0,18.0,0.0,39.0,8.0,14.0,0.0,0.0,0.0,57.0,10.0,13.0,43.5
18,Adrián,es ESP,GK,Liverpool,Premier League,32.0,1987.0,9.7,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,4.0,0.0,100.0
19,Aritz Aduriz,es ESP,"FW,MF",Athletic Club,La Liga,38.0,1981.0,2.3,3.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,21.0,10.0,67.7
20,Lumor Agbenyenu,gh GHA,DF,Mallorca,La Liga,22.0,1996.0,20.1,5.0,1.0,1.0,13.0,9.0,0.0,81.0,21.0,21.0,0.0,0.0,0.0,118.0,17.0,16.0,51.5
21,Martin Agirregabiria,es ESP,DF,Alavés,La Liga,23.0,1996.0,23.3,5.0,1.0,0.0,33.0,19.0,1.0,33.0,18.0,30.0,0.0,1.0,0.0,125.0,26.0,27.0,49.1
22,Lucien Agoume,fr FRA,MF,Inter,Serie A,17.0,2002.0,0.8,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,
23,Kevin Agudelo,co COL,"MF,FW",Fiorentina,Serie A,20.0,1998.0,0.7,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0
24,Kevin Agudelo,co COL,"MF,FW",Genoa,Serie A,20.0,1998.0,7.4,5.0,1.0,1.0,20.0,11.0,1.0,11.0,6.0,14.0,0.0,1.0,0.0,30.0,3.0,6.0,33.3
26,Nayef Aguerd,ma MAR,DF,Dijon,Ligue 1,23.0,1996.0,10.6,2.0,0.0,0.0,13.0,6.0,0.0,1.0,18.0,9.0,0.0,0.0,0.0,55.0,43.0,13.0,76.8
27,Sergio Agüero,ar ARG,FW,Manchester City,Premier League,31.0,1988.0,16.1,1.0,0.0,0.0,9.0,9.0,6.0,9.0,3.0,4.0,2.0,0.0,0.0,37.0,3.0,12.0,20.0
28,Ruben Aguilar,fr FRA,DF,Monaco,Ligue 1,26.0,1993.0,11.9,2.0,2.0,0.0,10.0,20.0,0.0,63.0,11.0,22.0,0.0,0.0,0.0,72.0,16.0,13.0,55.2
29,Emmanuel Agyemang-Badu,gh GHA,MF,Hellas Verona,Serie A,28.0,1990.0,2.6,2.0,0.0,0.0,7.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,10.0,5.0,12.0,29.4
30,Jean-Eudes Aholou,ci CIV,MF,Saint-Étienne,Ligue 1,25.0,1994.0,7.0,3.0,1.0,0.0,11.0,14.0,1.0,3.0,15.0,12.0,0.0,0.0,0.0,57.0,10.0,11.0,47.6
31,Joseph Aidoo,gh GHA,DF,Celta Vigo,La Liga,23.0,1995.0,27.8,4.0,0.0,0.0,17.0,17.0,0.0,1.0,45.0,27.0,0.0,2.0,0.0,143.0,49.0,51.0,49.0
32,Ola Aina,ng NGA,DF,Torino,Serie A,22.0,1996.0,23.1,8.0,0.0,0.0,25.0,36.0,2.0,62.0,41.0,24.0,0.0,0.0,0.0,130.0,28.0,26.0,51.9
33,Youssef Aït Bennasser,ma MAR,MF,Bordeaux,Ligue 1,23.0,1996.0,6.0,1.0,0.0,0.0,10.0,3.0,0.0,2.0,4.0,8.0,0.0,0.0,0.0,43.0,5.0,5.0,50.0
34,Rayan Aït Nouri,dz ALG,DF,Angers,Ligue 1,18.0,2001.0,14.2,3.0,0.0,0.0,12.0,12.0,0.0,43.0,18.0,22.0,0.0,0.0,0.0,99.0,17.0,6.0,73.9
35,Albian Ajeti,ch SUI,FW,West Ham,Premier League,22.0,1997.0,1.5,0.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,10.0,9.1
36,Ludovic Ajorque,fr FRA,FW,Strasbourg,Ligue 1,25.0,1994.0,22.9,3.0,0.0,0.0,38.0,21.0,4.0,13.0,2.0,10.0,1.0,1.0,0.0,43.0,114.0,78.0,59.4
37,Manuel Akanji,ch SUI,DF,Dortmund,Bundesliga,24.0,1995.0,25.7,2.0,0.0,0.0,11.0,23.0,0.0,2.0,30.0,21.0,0.0,0.0,1.0,119.0,31.0,33.0,48.4
38,Marley Aké,fr FRA,"FW,MF",Marseille,Ligue 1,18.0,2001.0,1.1,1.0,0.0,0.0,3.0,3.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0
39,Nathan Aké,nl NED,DF,Bournemouth,Premier League,24.0,1995.0,27.8,2.0,0.0,0.0,9.0,13.0,3.0,5.0,36.0,21.0,0.0,0.0,0.0,140.0,60.0,61.0,49.6
40,Chadrac Akolo,cd COD,"FW,MF",Amiens,Ligue 1,24.0,1995.0,6.0,1.0,0.0,0.0,9.0,8.0,2.0,6.0,5.0,8.0,0.0,0.0,0.0,36.0,4.0,10.0,28.6
41,Kevin Akpoguma,ng NGA,DF,Hoffenheim,Bundesliga,24.0,1995.0,12.7,2.0,0.0,0.0,8.0,13.0,1.0,3.0,13.0,16.0,0.0,1.0,1.0,72.0,21.0,27.0,43.8
42,David Alaba,at AUT,DF,Bayern Munich,Bundesliga,27.0,1992.0,27.8,0.0,0.0,0.0,10.0,7.0,1.0,29.0,29.0,17.0,0.0,0.0,0.0,213.0,21.0,29.0,42.0
43,Sofiane Alakouch,ma MAR,DF,Nîmes,Ligue 1,21.0,1998.0,15.6,3.0,0.0,0.0,14.0,27.0,1.0,29.0,23.0,26.0,0.0,1.0,1.0,74.0,10.0,16.0,38.5
44,Lucas Alario,ar ARG,FW,Leverkusen,Bundesliga,26.0,1992.0,13.0,6.0,0.0,0.0,23.0,13.0,19.0,4.0,1.0,3.0,0.0,0.0,0.0,24.0,42.0,53.0,44.2
45,Jordi Alba,es ESP,DF,Barcelona,La Liga,30.0,1989.0,24.3,7.0,0.0,0.0,18.0,18.0,5.0,65.0,37.0,13.0,0.0,0.0,0.0,129.0,6.0,15.0,28.6
46,Luis Alberto,es ESP,MF,Lazio,Serie A,26.0,1992.0,34.6,5.0,0.0,0.0,20.0,38.0,0.0,177.0,21.0,30.0,0.0,0.0,0.0,217.0,7.0,14.0,33.3
47,Raúl Albiol,es ESP,DF,Villarreal,La Liga,33.0,1985.0,36.0,9.0,0.0,0.0,30.0,25.0,2.0,3.0,42.0,23.0,0.0,2.0,0.0,155.0,74.0,55.0,57.4
48,Marc Albrighton,eng ENG,"MF,DF",Leicester City,Premier League,29.0,1989.0,9.6,2.0,0.0,0.0,7.0,11.0,1.0,69.0,10.0,17.0,0.0,1.0,0.0,67.0,3.0,7.0,30.0
49,Paco Alcácer,es ESP,FW,Villarreal,La Liga,25.0,1993.0,10.3,1.0,0.0,0.0,4.0,11.0,13.0,1.0,2.0,3.0,1.0,0.0,0.0,25.0,6.0,22.0,21.4
50,Paco Alcácer,es ESP,FW,Dortmund,Bundesliga,25.0,1993.0,5.9,0.0,0.0,0.0,2.0,3.0,7.0,1.0,2.0,2.0,0.0,0.0,0.0,4.0,3.0,15.0,16.7
52,Thiago Alcántara,es ESP,MF,Bayern Munich,Bundesliga,28.0,1991.0,19.7,7.0,0.0,0.0,24.0,13.0,0.0,7.0,45.0,26.0,0.0,0.0,0.0,195.0,35.0,37.0,48.6
53,Rubén Alcaraz,es ESP,MF,Valladolid,La Liga,28.0,1991.0,21.4,10.0,0.0,0.0,37.0,58.0,0.0,26.0,15.0,30.0,0.0,2.0,0.0,178.0,49.0,52.0,48.5
54,Toby Alderweireld,be BEL,DF,Tottenham,Premier League,30.0,1989.0,32.9,7.0,0.0,0.0,18.0,4.0,1.0,9.0,31.0,29.0,0.0,0.0,1.0,154.0,73.0,73.0,50.0
55,Haitam Aleesami,no NOR,DF,Amiens,Ligue 1,28.0,1991.0,21.3,4.0,0.0,0.0,31.0,9.0,1.0,44.0,34.0,16.0,0.0,0.0,0.0,117.0,39.0,19.0,67.2
56,Álex Alegría,es ESP,FW,Mallorca,La Liga,26.0,1992.0,1.2,0.0,0.0,0.0,5.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,9.0,10.0,47.4
57,Carles Aleñá,es ESP,MF,Barcelona,La Liga,21.0,1998.0,1.9,0.0,0.0,0.0,3.0,2.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,10.0,1.0,4.0,20.0
58,Carles Aleñá,es ESP,"MF,FW",Betis,La Liga,21.0,1998.0,8.2,1.0,0.0,0.0,9.0,19.0,3.0,3.0,1.0,9.0,0.0,0.0,0.0,27.0,2.0,11.0,15.4
59,Rúnar Alex Rúnarsson,is ISL,GK,Dijon,Ligue 1,24.0,1995.0,10.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,6.0,0.0,100.0
60,Trent Alexander-Arnold,eng ENG,DF,Liverpool,Premier League,20.0,1998.0,35.3,5.0,0.0,0.0,22.0,9.0,3.0,382.0,45.0,34.0,0.0,0.0,0.0,221.0,15.0,30.0,33.3
61,Enrico Alfonso,it ITA,GK,Brescia,Serie A,31.0,1988.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,
62,Rachid Alioui,ma MAR,FW,Angers,Ligue 1,27.0,1992.0,17.4,1.0,0.0,0.0,24.0,34.0,5.0,15.0,2.0,5.0,0.0,0.0,0.0,40.0,43.0,63.0,40.6
63,Alisson,br BRA,GK,Liverpool,Premier League,26.0,1992.0,28.3,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,63.0,6.0,0.0,100.0
64,Allan,br BRA,MF,Napoli,Serie A,28.0,1991.0,14.2,3.0,0.0,0.0,30.0,24.0,0.0,13.0,16.0,27.0,0.0,0.0,0.0,87.0,9.0,7.0,56.3
65,Dele Alli,eng ENG,"MF,FW",Tottenham,Premier League,23.0,1996.0,20.5,2.0,0.0,0.0,12.0,33.0,6.0,7.0,17.0,16.0,0.0,0.0,0.0,103.0,19.0,37.0,33.9
66,Miguel Almirón,py PAR,"MF,FW",Newcastle Utd,Premier League,25.0,1994.0,33.6,5.0,0.0,0.0,30.0,59.0,24.0,41.0,31.0,39.0,0.0,0.0,0.0,189.0,9.0,28.0,24.3
67,Marcos Alonso,es ESP,DF,Chelsea,Premier League,28.0,1990.0,15.9,4.0,0.0,0.0,16.0,15.0,2.0,66.0,20.0,16.0,1.0,0.0,0.0,96.0,42.0,29.0,59.2
68,Mickaël Alphonse,gp GLP,DF,Dijon,Ligue 1,30.0,1989.0,15.3,2.0,0.0,0.0,16.0,13.0,1.0,31.0,17.0,25.0,0.0,0.0,1.0,70.0,36.0,10.0,78.3
69,Sergio Álvarez,es ESP,"MF,DF",Eibar,La Liga,27.0,1992.0,12.7,6.0,0.0,0.0,24.0,7.0,0.0,2.0,17.0,22.0,0.0,1.0,0.0,70.0,24.0,35.0,40.7
70,Sergio Álvarez,es ESP,GK,Celta Vigo,La Liga,32.0,1986.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
71,Yeray Álvarez,es ESP,DF,Athletic Club,La Liga,24.0,1995.0,31.2,2.0,0.0,0.0,18.0,32.0,1.0,12.0,62.0,19.0,0.0,1.0,0.0,167.0,104.0,69.0,60.1
72,Bruno Alves,pt POR,DF,Parma,Serie A,37.0,1981.0,29.7,4.0,0.0,0.0,24.0,12.0,1.0,13.0,25.0,11.0,0.0,2.0,0.0,116.0,84.0,21.0,80.0
73,Steven Alzate,co COL,"MF,DF",Brighton,Premier League,20.0,1998.0,13.2,1.0,0.0,0.0,17.0,18.0,3.0,8.0,14.0,19.0,0.0,0.0,0.0,75.0,9.0,16.0,36.0
74,Ibrahim Amadou,fr FRA,"DF,MF",Norwich City,Premier League,26.0,1993.0,8.4,1.0,0.0,0.0,8.0,2.0,0.0,1.0,16.0,11.0,0.0,1.0,0.0,39.0,16.0,12.0,57.1
75,Ibrahim Amadou,fr FRA,MF,Leganés,La Liga,26.0,1993.0,8.6,2.0,0.0,0.0,15.0,6.0,0.0,5.0,12.0,9.0,0.0,0.0,0.0,42.0,19.0,14.0,57.6
76,Romain Amalfitano,fr FRA,MF,Dijon,Ligue 1,29.0,1989.0,18.8,5.0,0.0,0.0,26.0,43.0,0.0,25.0,36.0,27.0,0.0,0.0,0.0,107.0,8.0,14.0,36.4
78,Amath,sn SEN,MF,Getafe,La Liga,23.0,1996.0,0.7,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,100.0
79,Jordan Amavi,fr FRA,DF,Marseille,Ligue 1,25.0,1994.0,24.0,9.0,0.0,0.0,41.0,19.0,1.0,31.0,56.0,29.0,0.0,2.0,0.0,126.0,63.0,23.0,73.3
80,Thierry Ambrose,gp GLP,FW,Metz,Ligue 1,22.0,1997.0,6.1,1.0,0.0,0.0,7.0,9.0,1.0,15.0,3.0,5.0,0.0,0.0,0.0,32.0,23.0,18.0,56.1
81,Kelvin Amian,fr FRA,DF,Toulouse,Ligue 1,21.0,1998.0,18.1,3.0,0.0,0.0,23.0,8.0,0.0,12.0,18.0,21.0,0.0,1.0,0.0,84.0,21.0,21.0,50.0
82,Nadiem Amiri,de GER,"MF,FW",Leverkusen,Bundesliga,22.0,1996.0,20.6,3.0,0.0,0.0,27.0,39.0,3.0,114.0,14.0,16.0,1.0,0.0,0.0,140.0,9.0,17.0,34.6
83,Ethan Ampadu,wls WAL,DF,RB Leipzig,Bundesliga,18.0,2000.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,3.0,1.0,0.0,100.0
84,Opoku Ampomah,gh GHA,"FW,MF",Düsseldorf,Bundesliga,23.0,1996.0,5.6,1.0,0.0,0.0,16.0,5.0,8.0,14.0,4.0,4.0,0.0,0.0,0.0,27.0,3.0,9.0,25.0
85,Sofyan Amrabat,ma MAR,MF,Hellas Verona,Serie A,22.0,1996.0,32.4,10.0,2.0,0.0,63.0,60.0,0.0,25.0,31.0,36.0,1.0,0.0,0.0,219.0,20.0,42.0,32.3
86,Joachim Andersen,dk DEN,DF,Lyon,Ligue 1,23.0,1996.0,17.0,3.0,0.0,0.0,17.0,3.0,0.0,1.0,10.0,9.0,0.0,1.0,0.0,84.0,50.0,22.0,69.4
87,Djavan Anderson,nl NED,"FW,DF",Lazio,Serie A,24.0,1995.0,1.9,1.0,0.0,0.0,4.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,12.0,1.0,2.0,33.3
88,Felipe Anderson,br BRA,"MF,FW",West Ham,Premier League,26.0,1993.0,16.6,1.0,0.0,0.0,17.0,24.0,2.0,34.0,22.0,32.0,0.0,0.0,0.0,112.0,6.0,19.0,24.0
89,Sebastian Andersson,se SWE,FW,Union Berlin,Bundesliga,28.0,1991.0,29.8,5.0,0.0,0.0,62.0,40.0,21.0,31.0,5.0,10.0,0.0,0.0,0.0,89.0,243.0,207.0,54.0
90,Florin Andone,ro ROU,FW,Brighton,Premier League,26.0,1993.0,0.8,0.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,4.0,1.0,80.0
91,Benjamin André,fr FRA,MF,Lille,Ligue 1,28.0,1990.0,22.8,6.0,0.0,0.0,55.0,37.0,0.0,12.0,59.0,44.0,0.0,0.0,0.0,178.0,80.0,48.0,62.5
92,Lorenzo Andrenacci,it ITA,GK,Brescia,Serie A,24.0,1995.0,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,100.0
93,Robert Andrich,de GER,MF,Union Berlin,Bundesliga,24.0,1994.0,28.6,13.0,1.0,1.0,65.0,37.0,0.0,39.0,47.0,27.0,1.0,0.0,0.0,189.0,46.0,33.0,58.2
94,Victorien Angban,ci CIV,MF,Metz,Ligue 1,22.0,1996.0,11.4,0.0,0.0,0.0,18.0,26.0,0.0,3.0,8.0,18.0,0.0,0.0,0.0,87.0,8.0,9.0,47.1
95,Miguel Ángel Guerrero,es ESP,FW,Leganés,La Liga,29.0,1990.0,8.8,0.0,0.0,0.0,16.0,8.0,3.0,4.0,2.0,0.0,0.0,0.0,0.0,13.0,23.0,42.0,35.4
96,José Ángel,es ESP,DF,Eibar,La Liga,29.0,1989.0,26.2,4.0,0.0,0.0,21.0,13.0,0.0,148.0,33.0,31.0,0.0,1.0,0.0,181.0,50.0,29.0,63.3
97,Miguel Ángel Moyá,es ESP,GK,Real Sociedad,La Liga,35.0,1984.0,13.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,26.0,2.0,0.0,100.0
98,Angeliño,es ESP,DF,Manchester City,Premier League,22.0,1997.0,4.7,1.0,0.0,0.0,2.0,2.0,0.0,43.0,9.0,2.0,0.0,0.0,0.0,29.0,6.0,7.0,46.2
99,Angeliño,es ESP,"DF,FW",RB Leipzig,Bundesliga,22.0,1997.0,12.2,2.0,0.0,0.0,12.0,16.0,3.0,80.0,19.0,9.0,0.0,0.0,0.0,73.0,7.0,21.0,25.0
100,Faustino Anjorin,eng ENG,FW,Chelsea,Premier League,17.0,2001.0,0.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
101,Peter Ankersen,dk DEN,DF,Genoa,Serie A,28.0,1990.0,11.8,2.0,0.0,0.0,9.0,12.0,1.0,22.0,9.0,4.0,0.0,0.0,0.0,57.0,8.0,4.0,66.7
102,Cristian Ansaldi,ar ARG,"DF,MF",Torino,Serie A,32.0,1986.0,19.6,9.0,0.0,0.0,28.0,30.0,4.0,141.0,14.0,25.0,0.0,0.0,0.0,109.0,9.0,18.0,33.3
104,Janis Antiste,fr FRA,MF,Toulouse,Ligue 1,16.0,2002.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
105,Michail Antonio,jm JAM,FW,West Ham,Premier League,29.0,1990.0,19.6,3.0,0.0,0.0,41.0,35.0,11.0,48.0,9.0,9.0,0.0,0.0,0.0,62.0,88.0,108.0,44.9
106,Antoñito,es ESP,"DF,MF",Valladolid,La Liga,31.0,1987.0,11.4,1.0,0.0,0.0,18.0,7.0,1.0,36.0,15.0,18.0,0.0,0.0,0.0,58.0,7.0,4.0,63.6
107,Mirko Antonucci,it ITA,"FW,MF",Roma,Serie A,20.0,1999.0,0.9,1.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,5.0,0.0,0.0,
108,Vitorino Antunes,pt POR,MF,Getafe,La Liga,32.0,1987.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
109,Christopher Antwi-Adjei,gh GHA,"MF,FW",Paderborn 07,Bundesliga,25.0,1994.0,27.4,2.0,0.0,0.0,17.0,39.0,4.0,69.0,15.0,16.0,0.0,0.0,0.0,132.0,22.0,39.0,36.1
110,Anuar,ma MAR,"MF,FW",Valladolid,La Liga,24.0,1995.0,2.1,1.0,0.0,0.0,3.0,5.0,0.0,1.0,5.0,2.0,0.0,0.0,0.0,16.0,3.0,7.0,30.0
111,Houssem Aouar,fr FRA,"MF,FW",Lyon,Ligue 1,21.0,1998.0,21.7,3.0,0.0,0.0,24.0,42.0,2.0,24.0,13.0,12.0,0.0,0.0,0.0,120.0,17.0,12.0,58.6
112,Adil Aouchiche,fr FRA,MF,Paris S-G,Ligue 1,17.0,2002.0,0.7,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,
113,Dennis Appiah,fr FRA,DF,Nantes,Ligue 1,27.0,1992.0,17.8,2.0,0.0,0.0,26.0,7.0,0.0,32.0,23.0,35.0,0.0,0.0,0.0,100.0,19.0,17.0,52.8
114,Mauro Arambarri,uy URU,MF,Getafe,La Liga,23.0,1995.0,34.1,11.0,1.0,1.0,79.0,63.0,0.0,45.0,43.0,33.0,0.0,0.0,0.0,201.0,71.0,69.0,50.7
115,Guilherme Arana,br BRA,DF,Atalanta,Serie A,22.0,1997.0,0.9,0.0,0.0,0.0,2.0,4.0,0.0,4.0,2.0,4.0,0.0,0.0,0.0,7.0,0.0,0.0,
116,Charles Aránguiz,cl CHI,MF,Leverkusen,Bundesliga,30.0,1989.0,23.5,2.0,0.0,0.0,15.0,44.0,0.0,13.0,22.0,37.0,0.0,0.0,0.0,204.0,14.0,22.0,38.9
117,Luiz Araújo,br BRA,"FW,MF",Lille,Ligue 1,23.0,1996.0,9.2,1.0,0.0,0.0,13.0,23.0,0.0,28.0,4.0,11.0,1.0,0.0,0.0,47.0,4.0,6.0,40.0
118,Néstor Araujo,mx MEX,DF,Celta Vigo,La Liga,27.0,1991.0,32.1,10.0,0.0,0.0,27.0,9.0,0.0,0.0,52.0,27.0,0.0,0.0,0.0,151.0,83.0,44.0,65.4
119,Ronald Araújo,uy URU,DF,Barcelona,La Liga,20.0,1999.0,2.6,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,10.0,6.0,5.0,54.5
120,Anaitz Arbilla,es ESP,DF,Eibar,La Liga,32.0,1987.0,22.3,5.0,0.0,0.0,22.0,12.0,0.0,30.0,29.0,20.0,0.0,0.0,0.0,173.0,56.0,33.0,62.9
121,Alphonse Areola,fr FRA,GK,Real Madrid,La Liga,26.0,1993.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,1.0,0.0,100.0
122,Alphonse Areola,fr FRA,GK,Paris S-G,Ligue 1,26.0,1993.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,
123,Santiago Arias,co COL,DF,Atlético Madrid,La Liga,27.0,1992.0,12.0,1.0,0.0,0.0,8.0,16.0,1.0,24.0,19.0,24.0,0.0,0.0,0.0,60.0,21.0,20.0,51.2
124,Nicolò Armini,it ITA,DF,Lazio,Serie A,18.0,2001.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
125,Stuart Armstrong,sct SCO,MF,Southampton,Premier League,27.0,1992.0,19.1,4.0,0.0,0.0,25.0,20.0,4.0,23.0,11.0,19.0,0.0,0.0,0.0,106.0,13.0,29.0,31.0
126,José Arnaiz,es ESP,"FW,MF",Osasuna,La Liga,24.0,1995.0,8.8,2.0,0.0,0.0,11.0,17.0,5.0,7.0,5.0,2.0,0.0,0.0,0.0,31.0,9.0,18.0,33.3
127,José Arnaiz,es ESP,MF,Leganés,La Liga,24.0,1995.0,3.7,2.0,0.0,0.0,9.0,7.0,1.0,12.0,2.0,0.0,0.0,0.0,0.0,21.0,1.0,5.0,16.7
128,Maximilian Arnold,de GER,MF,Wolfsburg,Bundesliga,25.0,1994.0,31.3,8.0,0.0,0.0,52.0,69.0,0.0,166.0,25.0,24.0,0.0,0.0,0.0,213.0,25.0,24.0,51.0
