,Player,Squad,90s,SCA - SCA,SCA - SCA90,SCA Types - PassLive,SCA Types - PassDead,SCA Types - TO,SCA Types - Sh,SCA Types - Fld,SCA Types - Def,GCA - GCA,GCA - GCA90,GCA Types - PassLive,GCA Types - PassDead,GCA Types - TO,GCA Types - Sh,GCA Types - Fld,GCA Types - Def
101,Sebastian Andersson,Köln,12.5,14,1.12,10,0,0,3,1,0,3,0.24,1,0,0,1,1,0
102,Nicolas Andrade,Udinese,2.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
104,Benjamin Andre,Lille,32.1,64,2.00,55,0,3,2,4,0,5,0.16,4,0,0,0,1,0
105,Marcos Andre,Valladolid,13.1,21,1.61,12,0,3,3,3,0,3,0.23,2,0,0,0,1,0
106,Robert Andrich,Union Berlin,28.1,56,2.00,48,0,3,2,2,1,7,0.25,6,0,0,0,1,0
107,Victorien Angban,Metz,18.6,25,1.35,22,1,0,0,2,0,1,0.05,1,0,0,0,0,0
108,Angel,Granada,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
109,Jose Angel,Eibar,10.0,20,2.00,16,3,1,0,0,0,0,0.00,0,0,0,0,0,0
110,Miguel Angel Rubio,Valladolid,1.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
111,Angelino,RB Leipzig,24.0,96,4.00,65,14,6,6,3,2,9,0.37,5,1,1,1,1,0
112,Davide Angelo Ghislandi,Atalanta,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
113,Philip Ankhrah,Hellas Verona,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
114,Cristian Ansaldi,Torino,21.6,72,3.33,43,15,5,4,3,2,8,0.37,7,0,1,0,0,0
115,Waldemar Anton,Stuttgart,30.1,31,1.03,26,0,0,2,1,2,5,0.17,4,0,0,0,1,0
116,Michail Antonio,West Ham,21.9,76,3.47,41,1,10,8,16,0,11,0.50,5,1,0,2,3,0
117,Jose Antonio Miranda,Getafe,0.3,1,3.46,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
118,Valentin Antov,Bologna,2.6,1,0.39,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
119,Houssem Aouar,Lyon,19.8,105,5.30,73,2,13,7,7,3,12,0.61,7,0,1,3,1,0
120,Adil Aouchiche,Saint-Étienne,19.2,95,4.93,51,33,1,2,8,0,8,0.42,5,3,0,0,0,0
121,Dennis Appiah,Nantes,17.3,32,1.85,28,0,1,0,0,3,5,0.29,5,0,0,0,0,0
122,Aritz Arambarri,Real Sociedad,0.3,1,3.46,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
123,Mauro Arambarri,Getafe,33.1,63,1.90,36,11,4,5,7,0,3,0.09,2,0,0,1,0,0
124,Charles Aranguiz,Leverkusen,18.5,36,1.94,33,0,1,0,0,2,1,0.05,1,0,0,0,0,0
125,Luiz Araujo,Lille,16.6,54,3.25,40,0,9,4,1,0,4,0.24,4,0,0,0,0,0
126,Nestor Araujo,Celta Vigo,27.0,10,0.37,10,0,0,0,0,0,1,0.04,1,0,0,0,0,0
127,Ronald Araujo,Barcelona,16.8,9,0.54,5,0,1,1,1,1,1,0.06,0,0,0,1,0,0
128,Anaitz Arbilla,Eibar,31.2,44,1.41,31,3,4,2,2,2,4,0.13,2,0,1,1,0,0
130,Alphonse Areola,Fulham,36.0,2,0.06,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0
131,Santiago Arias,Leverkusen,1.0,1,1.00,0,0,0,0,0,1,0,0.00,0,0,0,0,0,0
132,Karim Aribi,Nîmes,3.3,6,1.83,4,0,0,1,1,0,0,0.00,0,0,0,0,0,0
133,Unai Arietaleanizbeaskoa,Eibar,0.5,1,1.91,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0
134,Nicolo Armini,Lazio,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
135,Stuart Armstrong,Southampton,30.7,91,2.96,64,3,7,6,8,3,15,0.49,7,0,2,3,2,1
136,Maximilian Arnold,Wolfsburg,28.7,108,3.76,48,42,2,6,10,0,12,0.42,5,4,1,0,2,0
137,Toluwalase Arokodare,Köln,1.2,4,3.21,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0
138,Sergio Arribas,Real Madrid,1.5,4,2.67,4,0,0,0,0,0,2,1.33,2,0,0,0,0,0
139,Kepa Arrizabalaga,Chelsea,6.5,3,0.46,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
140,Tolgay Arslan,Udinese,20.2,35,1.73,26,1,2,1,4,1,2,0.10,1,0,1,0,0,0
141,Kwadwo Asamoah,Cagliari,2.5,3,1.20,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
142,Santiago Ascacibar,Hertha BSC,8.5,14,1.66,10,0,1,1,1,1,1,0.12,0,0,0,1,0,0
143,Sergio Asenjo,Villarreal,36.0,5,0.14,3,2,0,0,0,0,1,0.03,1,0,0,0,0,0
144,Marco Asensio,Real Madrid,20.8,67,3.23,48,9,4,3,3,0,8,0.39,5,1,1,1,0,0
145,Kristoffer Askildsen,Sampdoria,1.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
146,Iago Aspas,Celta Vigo,31.8,119,3.74,92,4,12,7,4,0,26,0.82,19,1,4,1,1,0
147,Roger Assale,Dijon,9.2,9,0.98,4,0,2,1,2,0,3,0.33,1,0,0,1,1,0
148,Youcef Atal,Nice,10.6,23,2.17,16,1,4,0,2,0,1,0.09,1,0,0,0,0,0
149,Miguel Atienza,Eibar,9.3,6,0.64,5,0,0,1,0,0,0,0.00,0,0,0,0,0,0
150,Pierre-Emerick Aubameyang,Arsenal,25.9,48,1.85,40,0,3,2,3,0,7,0.27,6,0,1,0,0,0
151,Emil Audero,Sampdoria,37.0,6,0.16,4,2,0,0,0,0,1,0.03,1,0,0,0,0,0
152,Tommaso Augello,Sampdoria,35.7,56,1.57,49,3,3,1,0,0,5,0.14,5,0,0,0,0,0
153,Jean-Kevin Augustin,Nantes,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
